https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ONE,Volume USDT,tradecount
1655769600000,2022-06-21 00:00:00,ONE/USDT,0.02675000,0.02702000,0.02661000,0.02691000,4552470.10000000,122199.74476800,963
1655683200000,2022-06-20 00:00:00,ONE/USDT,0.02673000,0.02773000,0.02538000,0.02675000,328425101.90000000,8715072.79817100,58966
1655596800000,2022-06-19 00:00:00,ONE/USDT,0.02478000,0.02731000,0.02356000,0.02674000,333654806.20000000,8482379.08629200,62803
1655510400000,2022-06-18 00:00:00,ONE/USDT,0.02596000,0.02656000,0.02235000,0.02478000,397421967.90000000,9541232.55693000,72818
1655424000000,2022-06-17 00:00:00,ONE/USDT,0.02525000,0.02694000,0.02496000,0.02596000,231918971.10000000,6033842.94080200,46477
1655337600000,2022-06-16 00:00:00,ONE/USDT,0.02916000,0.02987000,0.02474000,0.02523000,306901201.80000000,8211627.15627600,64272
1655251200000,2022-06-15 00:00:00,ONE/USDT,0.02724000,0.02924000,0.02453000,0.02917000,488764956.70000000,12898045.57358900,99729
1655164800000,2022-06-14 00:00:00,ONE/USDT,0.02766000,0.02957000,0.02501000,0.02724000,564851526.00000000,15390332.81220700,98988
1655078400000,2022-06-13 00:00:00,ONE/USDT,0.02894000,0.02955000,0.02430000,0.02767000,696396718.90000000,18507678.87515300,132834
1654992000000,2022-06-12 00:00:00,ONE/USDT,0.03280000,0.03312000,0.02887000,0.02893000,420228601.20000000,12874143.39133700,79579
1654905600000,2022-06-11 00:00:00,ONE/USDT,0.03620000,0.03697000,0.03224000,0.03280000,205276379.90000000,7032710.04595000,45885
1654819200000,2022-06-10 00:00:00,ONE/USDT,0.03947000,0.03978000,0.03554000,0.03619000,186969524.60000000,7012066.13716800,44903
1654732800000,2022-06-09 00:00:00,ONE/USDT,0.03925000,0.04083000,0.03841000,0.03947000,135088465.60000000,5339166.39804600,28306
1654646400000,2022-06-08 00:00:00,ONE/USDT,0.04010000,0.04060000,0.03875000,0.03924000,154090662.20000000,6109218.48311800,36610
1654560000000,2022-06-07 00:00:00,ONE/USDT,0.04169000,0.04177000,0.03809000,0.04009000,235386074.50000000,9310077.58277700,54642
1654473600000,2022-06-06 00:00:00,ONE/USDT,0.04088000,0.04362000,0.04076000,0.04169000,203206560.90000000,8599333.14254900,48996
1654387200000,2022-06-05 00:00:00,ONE/USDT,0.04172000,0.04200000,0.04060000,0.04090000,89145889.30000000,3671672.43098500,22606
1654300800000,2022-06-04 00:00:00,ONE/USDT,0.04103000,0.04211000,0.03958000,0.04172000,109617455.10000000,4509715.16277100,28417
1654214400000,2022-06-03 00:00:00,ONE/USDT,0.04269000,0.04284000,0.04021000,0.04101000,137025192.90000000,5657797.75852800,39235
1654128000000,2022-06-02 00:00:00,ONE/USDT,0.04153000,0.04295000,0.04028000,0.04268000,221749190.30000000,9208019.85632100,60145
1654041600000,2022-06-01 00:00:00,ONE/USDT,0.04607000,0.04683000,0.04039000,0.04156000,322924849.30000000,14209998.99152600,87084
1653955200000,2022-05-31 00:00:00,ONE/USDT,0.04674000,0.04831000,0.04420000,0.04609000,322831353.90000000,14923619.85334700,89485
1653868800000,2022-05-30 00:00:00,ONE/USDT,0.04303000,0.04707000,0.04230000,0.04672000,298830984.10000000,13487927.30547300,76343
1653782400000,2022-05-29 00:00:00,ONE/USDT,0.04196000,0.04324000,0.04003000,0.04302000,191033525.10000000,7953980.03069100,44219
1653696000000,2022-05-28 00:00:00,ONE/USDT,0.04075000,0.04264000,0.04002000,0.04197000,185940579.00000000,7727031.55120000,47428
1653609600000,2022-05-27 00:00:00,ONE/USDT,0.04289000,0.04388000,0.03988000,0.04075000,379917748.20000000,15790151.50962000,115644
1653523200000,2022-05-26 00:00:00,ONE/USDT,0.04618000,0.04791000,0.04029000,0.04290000,458279529.90000000,20075536.38766600,112370
1653436800000,2022-05-25 00:00:00,ONE/USDT,0.04743000,0.04872000,0.04523000,0.04620000,239889924.50000000,11206472.34838000,72867
1653350400000,2022-05-24 00:00:00,ONE/USDT,0.04704000,0.04819000,0.04411000,0.04744000,289994751.20000000,13509432.24631800,84576
1653264000000,2022-05-23 00:00:00,ONE/USDT,0.04975000,0.05297000,0.04601000,0.04703000,382057803.90000000,19249410.32975200,114335
1653177600000,2022-05-22 00:00:00,ONE/USDT,0.04741000,0.05039000,0.04648000,0.04978000,236026476.60000000,11571999.56185000,66792
1653091200000,2022-05-21 00:00:00,ONE/USDT,0.04578000,0.04863000,0.04493000,0.04742000,205478708.20000000,9586997.45225000,62280
