https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEXO,Volume USD
1655769600,2022-06-21 00:00:00,NEXO/USD,0.68,0.68,0.68,0.68,1232.01,837.7668000000001
1655683200,2022-06-20 00:00:00,NEXO/USD,0.69,0.69,0.69,0.69,558.23,385.1787
1655596800,2022-06-19 00:00:00,NEXO/USD,0.64,0.67,0.64,0.67,110.83,74.2561
1655510400,2022-06-18 00:00:00,NEXO/USD,0.59,0.61,0.56,0.61,963.56,587.7715999999999
1655424000,2022-06-17 00:00:00,NEXO/USD,0.72,0.72,0.72,0.72,0.00,0.0
1655337600,2022-06-16 00:00:00,NEXO/USD,0.79,0.79,0.72,0.72,239.99,172.7928
1655251200,2022-06-15 00:00:00,NEXO/USD,0.71,0.77,0.62,0.74,3908.44,2892.2456
1655164800,2022-06-14 00:00:00,NEXO/USD,0.73,0.81,0.70,0.72,6762.19,4868.7768
1655078400,2022-06-13 00:00:00,NEXO/USD,0.92,0.92,0.73,0.78,23169.14,18071.9292
1654992000,2022-06-12 00:00:00,NEXO/USD,1.00,1.01,1.00,1.01,1033.14,1043.4714000000001
1654905600,2022-06-11 00:00:00,NEXO/USD,1.17,1.17,1.08,1.09,735.78,802.0002000000001
1654819200,2022-06-10 00:00:00,NEXO/USD,1.22,1.22,1.22,1.22,0.00,0.0
1654732800,2022-06-09 00:00:00,NEXO/USD,1.25,1.25,1.21,1.22,6981.82,8517.820399999999
1654646400,2022-06-08 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,0.00,0.0
1654560000,2022-06-07 00:00:00,NEXO/USD,1.22,1.25,1.21,1.25,841.14,1051.425
1654473600,2022-06-06 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,0.00,0.0
1654387200,2022-06-05 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,0.00,0.0
1654300800,2022-06-04 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,0.00,0.0
1654214400,2022-06-03 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,0.00,0.0
1654128000,2022-06-02 00:00:00,NEXO/USD,1.25,1.25,1.25,1.25,798.08,997.6
1654041600,2022-06-01 00:00:00,NEXO/USD,1.29,1.29,1.29,1.29,11.41,14.718900000000001
1653955200,2022-05-31 00:00:00,NEXO/USD,1.34,1.34,1.34,1.34,20.73,27.778200000000002
1653868800,2022-05-30 00:00:00,NEXO/USD,1.26,1.26,1.26,1.26,419.63,528.7338
1653782400,2022-05-29 00:00:00,NEXO/USD,1.23,1.23,1.22,1.22,558.78,681.7116
1653696000,2022-05-28 00:00:00,NEXO/USD,1.21,1.26,1.21,1.26,23991.06,30228.735600000004
1653609600,2022-05-27 00:00:00,NEXO/USD,1.24,1.24,1.24,1.24,63.64,78.9136
1653523200,2022-05-26 00:00:00,NEXO/USD,1.29,1.29,1.29,1.29,0.00,0.0
1653436800,2022-05-25 00:00:00,NEXO/USD,1.27,1.29,1.26,1.29,253.62,327.1698
1653350400,2022-05-24 00:00:00,NEXO/USD,1.32,1.32,1.32,1.32,0.00,0.0
1653264000,2022-05-23 00:00:00,NEXO/USD,1.32,1.32,1.32,1.32,0.00,0.0
1653177600,2022-05-22 00:00:00,NEXO/USD,1.32,1.32,1.32,1.32,0.00,0.0
1653091200,2022-05-21 00:00:00,NEXO/USD,1.32,1.32,1.32,1.32,0.00,0.0
1653004800,2022-05-20 00:00:00,NEXO/USD,1.34,1.36,1.30,1.32,6969.05,9199.146
1652918400,2022-05-19 00:00:00,NEXO/USD,1.06,1.40,1.06,1.35,10830.83,14621.6205
1652832000,2022-05-18 00:00:00,NEXO/USD,1.38,1.38,1.33,1.33,2068.31,2750.8523
1652745600,2022-05-17 00:00:00,NEXO/USD,1.34,1.37,1.34,1.37,1444.86,1979.4582
1652659200,2022-05-16 00:00:00,NEXO/USD,1.32,1.40,1.32,1.39,2245.15,3120.7585
1652572800,2022-05-15 00:00:00,NEXO/USD,1.33,1.39,1.32,1.39,1544.50,2146.855
1652486400,2022-05-14 00:00:00,NEXO/USD,1.26,1.33,1.26,1.33,1251.07,1663.9231
1652400000,2022-05-13 00:00:00,NEXO/USD,1.22,1.37,1.22,1.35,1510.52,2039.202
1652313600,2022-05-12 00:00:00,NEXO/USD,2.40,2.50,1.02,1.26,2407.46,3033.3996
1652227200,2022-05-11 00:00:00,NEXO/USD,1.73,1.73,1.00,1.69,3694.72,6244.0768
1652140800,2022-05-10 00:00:00,NEXO/USD,1.70,1.84,1.70,1.72,10999.99,18919.982799999998
1652054400,2022-05-09 00:00:00,NEXO/USD,1.90,1.90,1.67,1.73,7217.73,12486.6729
1651968000,2022-05-08 00:00:00,NEXO/USD,1.87,1.88,1.82,1.86,2611.73,4857.817800000001
1651881600,2022-05-07 00:00:00,NEXO/USD,1.86,1.98,1.86,1.98,1040.69,2060.5662
1651795200,2022-05-06 00:00:00,NEXO/USD,2.00,2.00,1.84,1.88,2360.84,4438.3792
1651708800,2022-05-05 00:00:00,NEXO/USD,2.18,2.18,1.90,2.01,10350.98,20805.469799999995
1651622400,2022-05-04 00:00:00,NEXO/USD,2.03,2.27,2.03,2.20,1463.32,3219.304
1651536000,2022-05-03 00:00:00,NEXO/USD,2.19,2.21,2.10,2.12,9872.98,20930.7176
1651449600,2022-05-02 00:00:00,NEXO/USD,2.25,2.31,2.15,2.25,14847.96,33407.909999999996
1651363200,2022-05-01 00:00:00,NEXO/USD,2.27,2.42,2.20,2.25,26677.26,60023.835
1651276800,2022-04-30 00:00:00,NEXO/USD,2.30,2.98,2.30,2.32,73902.05,171452.756
1651190400,2022-04-29 00:00:00,NEXO/USD,2.22,3.15,2.13,2.35,70271.32,165137.602
1651104000,2022-04-28 00:00:00,NEXO/USD,2.18,2.18,2.18,2.18,198.04,431.72720000000004
1651017600,2022-04-27 00:00:00,NEXO/USD,2.22,2.22,2.14,2.14,2173.57,4651.439800000001
1650931200,2022-04-26 00:00:00,NEXO/USD,2.28,2.28,2.12,2.12,851.02,1804.1624000000002
1650844800,2022-04-25 00:00:00,NEXO/USD,2.15,2.19,2.15,2.19,1309.04,2866.7976
1650758400,2022-04-24 00:00:00,NEXO/USD,2.34,2.34,2.34,2.34,0.00,0.0
1650672000,2022-04-23 00:00:00,NEXO/USD,2.34,2.34,2.34,2.34,377.82,884.0988
1650585600,2022-04-22 00:00:00,NEXO/USD,2.41,2.41,2.41,2.41,0.00,0.0
1650499200,2022-04-21 00:00:00,NEXO/USD,2.41,2.41,2.41,2.41,343.74,828.4134
1650412800,2022-04-20 00:00:00,NEXO/USD,2.37,2.37,2.32,2.33,790.35,1841.5155000000002
1650326400,2022-04-19 00:00:00,NEXO/USD,2.39,2.43,2.38,2.41,1047.11,2523.5351
1650240000,2022-04-18 00:00:00,NEXO/USD,2.20,2.37,2.20,2.36,83.53,197.1308
1650153600,2022-04-17 00:00:00,NEXO/USD,2.40,2.40,2.40,2.40,0.00,0.0
1650067200,2022-04-16 00:00:00,NEXO/USD,2.37,2.40,2.36,2.40,3067.35,7361.639999999999
1649980800,2022-04-15 00:00:00,NEXO/USD,2.37,2.42,2.37,2.41,7455.59,17967.9719
1649894400,2022-04-14 00:00:00,NEXO/USD,2.40,2.40,2.36,2.36,273.66,645.8376000000001
1649808000,2022-04-13 00:00:00,NEXO/USD,2.41,2.41,2.38,2.38,11.84,28.179199999999998
1649721600,2022-04-12 00:00:00,NEXO/USD,2.32,2.32,2.32,2.32,16.00,37.12
1649635200,2022-04-11 00:00:00,NEXO/USD,2.31,2.32,2.31,2.32,1162.90,2697.928
1649548800,2022-04-10 00:00:00,NEXO/USD,2.50,2.50,2.50,2.50,26.00,65.0
1649462400,2022-04-09 00:00:00,NEXO/USD,2.39,2.39,2.39,2.39,19.77,47.2503
1649376000,2022-04-08 00:00:00,NEXO/USD,2.46,2.46,2.46,2.46,20.00,49.2
1649289600,2022-04-07 00:00:00,NEXO/USD,2.44,2.44,2.44,2.44,32.23,78.64119999999998
1649203200,2022-04-06 00:00:00,NEXO/USD,2.42,2.44,2.42,2.44,2923.69,7133.8036
1649116800,2022-04-05 00:00:00,NEXO/USD,2.51,2.54,2.51,2.52,1341.46,3380.4792
1649030400,2022-04-04 00:00:00,NEXO/USD,2.80,2.80,2.51,2.51,776.15,1948.1364999999998
1648944000,2022-04-03 00:00:00,NEXO/USD,2.48,2.50,2.48,2.49,215.90,537.591
1648857600,2022-04-02 00:00:00,NEXO/USD,2.47,2.60,2.47,2.50,18787.52,46968.8
1648771200,2022-04-01 00:00:00,NEXO/USD,2.35,2.55,2.35,2.48,1578.02,3913.4896
1648684800,2022-03-31 00:00:00,NEXO/USD,2.39,2.44,2.39,2.44,145.06,353.9464
1648598400,2022-03-30 00:00:00,NEXO/USD,2.41,2.52,2.40,2.40,9032.27,21677.448
1648512000,2022-03-29 00:00:00,NEXO/USD,2.42,2.50,2.41,2.41,1431.83,3450.7103
1648425600,2022-03-28 00:00:00,NEXO/USD,2.25,2.25,2.25,2.25,0.00,0.0
