https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BCH
1655769600000,2022-06-21 00:00:00,BCH/USD,131.8562,132.632,129.3029,132.5635,8783.85783200739,66.26151114
1655683200000,2022-06-20 00:00:00,BCH/USD,131.9901,137.9761,127.4658,131.7721,185372.02898927807,1406.76234946
1655596800000,2022-06-19 00:00:00,BCH/USD,127.765,135.0204,122.7604,131.83,184708.61708898382,1401.11216786
1655510400000,2022-06-18 00:00:00,BCH/USD,133.2645,138.842,121.168,127.9184,190341.72731590254,1487.99334041
1655424000000,2022-06-17 00:00:00,BCH/USD,119.8433,133.85,117.4368,133.225,201366.83608667448,1511.47934762
1655337600000,2022-06-16 00:00:00,BCH/USD,144.9999,144.9999,117.7502,119.7867,162368.93462355158,1355.4838277
1655251200000,2022-06-15 00:00:00,BCH/USD,136.8402,144.996,120.596,142.3061,203952.00593907767,1433.19229421
1655164800000,2022-06-14 00:00:00,BCH/USD,136.9658,146.4332,127.8599,137.0042,184668.98420680192,1347.90746712
1655078400000,2022-06-13 00:00:00,BCH/USD,159.0344,161.147,135.4952,137.0779,215451.81798645202,1571.74729104
1654992000000,2022-06-12 00:00:00,BCH/USD,169.2711,170.5494,158.4472,158.7084,211189.39160349636,1330.67557611
1654905600000,2022-06-11 00:00:00,BCH/USD,179.6493,182.3306,167.2137,169.2019,221505.1569596504,1309.11743284
1654819200000,2022-06-10 00:00:00,BCH/USD,185.8453,187.6839,176.232,179.698,241988.0905536529,1346.63763956
1654732800000,2022-06-09 00:00:00,BCH/USD,187.0254,190.3954,179.6954,185.8925,254736.12529528613,1370.34105892
1654646400000,2022-06-08 00:00:00,BCH/USD,191.5684,192.5313,185.2903,186.9805,244350.0044815204,1306.8207887
1654560000000,2022-06-07 00:00:00,BCH/USD,193.7183,196.8007,181.1753,191.4993,259332.16283670522,1354.21989969
1654473600000,2022-06-06 00:00:00,BCH/USD,191.1322,198.698,190.1084,193.6458,264358.451568454,1365.16491227
1654387200000,2022-06-05 00:00:00,BCH/USD,199.6894,201.3469,189.9698,190.7854,263128.38050820795,1379.18509754
1654300800000,2022-06-04 00:00:00,BCH/USD,193.4568,200.7598,190.581,199.6881,272524.34844318253,1364.75006995
1654214400000,2022-06-03 00:00:00,BCH/USD,198.3114,200.7367,190.7334,193.5076,262395.7750060309,1355.99725802
1654128000000,2022-06-02 00:00:00,BCH/USD,193.7399,199.0866,191.0181,198.3867,265738.8817150768,1339.49948114
1654041600000,2022-06-01 00:00:00,BCH/USD,211.4618,216.1023,192.7451,193.527,265324.6469258312,1370.99550412
1653955200000,2022-05-31 00:00:00,BCH/USD,205.6667,213.9892,198.8556,211.5445,265033.9362143782,1252.85193524
1653868800000,2022-05-30 00:00:00,BCH/USD,196.3219,207.2141,195.4931,205.5555,269276.351285477,1309.99341436
1653782400000,2022-05-29 00:00:00,BCH/USD,191.002,196.859,187.2101,196.4162,264572.67970811314,1347.00029686
1653696000000,2022-05-28 00:00:00,BCH/USD,189.2657,192.5833,187.5541,191.0736,247852.3759432167,1297.15657183
1653609600000,2022-05-27 00:00:00,BCH/USD,196.6611,202.6956,186.3453,189.039,265946.9872032552,1406.8366168
1653523200000,2022-05-26 00:00:00,BCH/USD,208.5388,211.433,191.0,196.7311,264259.01696122123,1343.24983168
