https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAVES
1655769600000,2022-06-21 00:00:00,WAVES/USD,5.389112,5.389112,5.211917,5.345211,20466.238312291887,3828.89250065
1655683200000,2022-06-20 00:00:00,WAVES/USD,5.246495,5.465376,4.98,5.380437,423946.9770922179,78794.15316864
1655596800000,2022-06-19 00:00:00,WAVES/USD,5.020648,5.29308,4.781308,5.242926,378612.4698970286,72213.96409124
1655510400000,2022-06-18 00:00:00,WAVES/USD,4.999117,5.339047,4.65644,5.02006,414170.20780992287,82503.03936804
1655424000000,2022-06-17 00:00:00,WAVES/USD,4.75249,5.37041,4.61817,5.013929,367522.0122532468,73300.20274584
1655337600000,2022-06-16 00:00:00,WAVES/USD,5.622727,5.814554,4.666279,4.751123,343992.0614206784,72402.26393227
1655251200000,2022-06-15 00:00:00,WAVES/USD,5.278182,5.653883,4.521731,5.58695,499004.5798335585,89316.09909406
1655164800000,2022-06-14 00:00:00,WAVES/USD,5.196497,5.689999,4.86546,5.31188,440237.39232056687,82877.88736202
1655078400000,2022-06-13 00:00:00,WAVES/USD,5.849562,5.93774,4.927183,5.189807,488732.8630067391,94171.68364965
1654992000000,2022-06-12 00:00:00,WAVES/USD,6.873175,6.934879,5.84137,5.84137,454225.7363471032,77760.13783532
1654905600000,2022-06-11 00:00:00,WAVES/USD,7.472656,7.83,6.551101,6.883036,526148.4612974594,76441.33508781
1654819200000,2022-06-10 00:00:00,WAVES/USD,8.260338,8.27074,7.4,7.477798,582456.0967567598,77891.39219283
1654732800000,2022-06-09 00:00:00,WAVES/USD,8.104515,8.7,8.094258,8.272248,646600.5328598499,78165.03239021
1654646400000,2022-06-08 00:00:00,WAVES/USD,8.185262,8.721718,8.086028,8.102335,628365.4184131153,77553.62107505
1654560000000,2022-06-07 00:00:00,WAVES/USD,8.648248,8.78186,7.85978,8.188603,711621.5072364499,86903.89645663
1654473600000,2022-06-06 00:00:00,WAVES/USD,8.53,9.486854,8.350693,8.675131,641898.6208686027,73992.95997589
1654387200000,2022-06-05 00:00:00,WAVES/USD,9.377169,9.471437,8.422828,8.615773,671188.9674440204,77902.35042683
1654300800000,2022-06-04 00:00:00,WAVES/USD,10.353417,10.492209,9.15054,9.394305,722108.5142626547,76866.62443498
1654214400000,2022-06-03 00:00:00,WAVES/USD,9.947448,11.082399,9.78709,10.343311,820316.6046163801,79308.8987285
1654128000000,2022-06-02 00:00:00,WAVES/USD,9.594194,10.89718,9.097318,9.987765,927157.6025411428,92829.33694787
1654041600000,2022-06-01 00:00:00,WAVES/USD,9.266826,12.299999,7.941948,9.598357,1189456.2987723602,123922.90667792
1653955200000,2022-05-31 00:00:00,WAVES/USD,7.954489,10.7996,7.714105,9.291145,1271956.9812545155,136899.9172066
1653868800000,2022-05-30 00:00:00,WAVES/USD,4.690548,8.14826,4.619291,7.937211,976994.7798973523,123090.43817751
