https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XEM
1655769600000,2022-06-21 00:00:00,XEM/USD,0.04561376,0.04611969,0.04463632,0.04595696,777.5934530075472,16920.03676935
1655683200000,2022-06-20 00:00:00,XEM/USD,0.04380654,0.048226,0.04175681,0.04569751,15611.130807423195,341618.84985469
1655596800000,2022-06-19 00:00:00,XEM/USD,0.04160776,0.04417348,0.03985715,0.04379216,15632.126888514435,356961.76869363
1655510400000,2022-06-18 00:00:00,XEM/USD,0.04385714,0.04467704,0.03910577,0.04174729,15631.742393444816,374437.29625192
1655424000000,2022-06-17 00:00:00,XEM/USD,0.04179227,0.04487435,0.04155992,0.04379586,15035.498243194568,343308.66532121
1655337600000,2022-06-16 00:00:00,XEM/USD,0.04557604,0.04600793,0.04086649,0.04172818,13821.13683353614,331218.2998045
1655251200000,2022-06-15 00:00:00,XEM/USD,0.04347962,0.0459,0.03941487,0.04560053,16752.85599112518,367382.92276702
1655164800000,2022-06-14 00:00:00,XEM/USD,0.04220767,0.04393103,0.03930217,0.04350846,16108.954105137147,370248.77702261
1655078400000,2022-06-13 00:00:00,XEM/USD,0.04515684,0.04637613,0.04064327,0.04222573,15739.52831016373,372747.33462663
1654992000000,2022-06-12 00:00:00,XEM/USD,0.04783762,0.04882547,0.043926,0.04506983,16505.414911951026,366218.70799049
1654905600000,2022-06-11 00:00:00,XEM/USD,0.05021959,0.0519046,0.0469634,0.04782814,17378.60641719005,363355.26359984
1654819200000,2022-06-10 00:00:00,XEM/USD,0.05311075,0.05319724,0.0501283,0.05022929,18047.336962298356,359299.06559098
1654732800000,2022-06-09 00:00:00,XEM/USD,0.05307386,0.05502333,0.0525433,0.05312278,19134.193439458093,360188.1046033
1654646400000,2022-06-08 00:00:00,XEM/USD,0.05500073,0.0553211,0.05232969,0.05309679,19090.193817679756,359535.74251249
1654560000000,2022-06-07 00:00:00,XEM/USD,0.0554154,0.05662399,0.0514785,0.05505903,19871.38153261982,360910.49066102
1654473600000,2022-06-06 00:00:00,XEM/USD,0.05429158,0.05717862,0.05045879,0.05554319,19819.37063211547,356828.09417528
1654387200000,2022-06-05 00:00:00,XEM/USD,0.05358574,0.05492097,0.0527425,0.05428947,18983.052538715743,349663.6187223
1654300800000,2022-06-04 00:00:00,XEM/USD,0.0524438,0.05540149,0.05124486,0.05362344,18648.602162513103,347769.59781978
1654214400000,2022-06-03 00:00:00,XEM/USD,0.05437875,0.05538927,0.05131406,0.05273457,18936.500440708995,359090.82866721
1654128000000,2022-06-02 00:00:00,XEM/USD,0.05228645,0.05517856,0.05166703,0.05401609,19167.88090436571,354855.02383393
1654041600000,2022-06-01 00:00:00,XEM/USD,0.0551008,0.05803069,0.05152386,0.05233101,18861.79953865858,360432.55306287
1653955200000,2022-05-31 00:00:00,XEM/USD,0.05585591,0.05626849,0.05348221,0.0551968,21176.322150702017,383651.26512229
1653868800000,2022-05-30 00:00:00,XEM/USD,0.05215412,0.05595925,0.05132483,0.05584854,20424.575442073932,365713.68637522
1653782400000,2022-05-29 00:00:00,XEM/USD,0.05143403,0.05293709,0.0501,0.05216039,18463.835270637457,353981.92518571
1653696000000,2022-05-28 00:00:00,XEM/USD,0.05216969,0.05359447,0.0503876,0.05142805,19149.810399044185,372361.19975469
1653609600000,2022-05-27 00:00:00,XEM/USD,0.0532361,0.05566202,0.050275,0.05166032,18280.430163340352,353858.24484518
1653523200000,2022-05-26 00:00:00,XEM/USD,0.05831506,0.05999998,0.05295925,0.05326254,19963.644196133537,374815.84986622
1653436800000,2022-05-25 00:00:00,XEM/USD,0.05952781,0.0611288,0.0565,0.05877022,23305.80427969449,396558.05745996
1653350400000,2022-05-24 00:00:00,XEM/USD,0.06116805,0.06172693,0.05704071,0.05901467,20028.949834136296,339389.33885653
1653264000000,2022-05-23 00:00:00,XEM/USD,0.06459675,0.0653274,0.06049928,0.06112046,23340.164852570513,381871.55091062
1653177600000,2022-05-22 00:00:00,XEM/USD,0.05899211,0.077,0.0585478,0.06562864,26409.468188835675,402407.67123676
1653091200000,2022-05-21 00:00:00,XEM/USD,0.05908206,0.05991556,0.05787195,0.05889528,20923.309101804873,355262.91923232
1653004800000,2022-05-20 00:00:00,XEM/USD,0.06136976,0.06197531,0.05800311,0.05902954,20864.177913376905,353453.16791181
1652918400000,2022-05-19 00:00:00,XEM/USD,0.0595677,0.0630142,0.05783234,0.06124659,21882.981669347642,357293.06185614
1652832000000,2022-05-18 00:00:00,XEM/USD,0.06792724,0.06830564,0.05945769,0.05945769,22561.834099880674,379460.32043762
1652745600000,2022-05-17 00:00:00,XEM/USD,0.06454398,0.07075883,0.06428222,0.06783009,24461.4149709751,360627.78290542
1652659200000,2022-05-16 00:00:00,XEM/USD,0.07328169,0.07328169,0.06309177,0.06437545,23572.70607858111,366175.39882954
1652572800000,2022-05-15 00:00:00,XEM/USD,0.06300117,0.07681076,0.05974013,0.07339207,27336.515211285292,372472.32856745
1652486400000,2022-05-14 00:00:00,XEM/USD,0.06333127,0.0740141,0.05651839,0.06309575,27393.48565881831,434157.38237232
1652400000000,2022-05-13 00:00:00,XEM/USD,0.04819901,0.06846986,0.04733978,0.06377686,30565.798663464237,479261.57956764
1652313600000,2022-05-12 00:00:00,XEM/USD,0.05614991,0.05759342,0.046,0.04867379,22262.146720443307,457374.42513606
1652227200000,2022-05-11 00:00:00,XEM/USD,0.06860808,0.07028747,0.05500001,0.05605163,24959.50656136295,445294.92828956
1652140800000,2022-05-10 00:00:00,XEM/USD,0.07278628,0.0766,0.067,0.06882498,27145.18938451215,394408.96872781
1652054400000,2022-05-09 00:00:00,XEM/USD,0.08505811,0.08523404,0.06867395,0.07272547,31135.666490857457,428126.02642317
1651968000000,2022-05-08 00:00:00,XEM/USD,0.09078834,0.09529479,0.08503774,0.08505917,35002.24728299148,411504.68883004
1651881600000,2022-05-07 00:00:00,XEM/USD,0.09099608,0.098,0.09,0.09149763,31880.24428330132,348426.99513967
1651795200000,2022-05-06 00:00:00,XEM/USD,0.09144607,0.09244054,0.09,0.09100288,32007.549985181213,351720.18715431
1651708800000,2022-05-05 00:00:00,XEM/USD,0.09783764,0.09879939,0.0913562,0.09141137,38316.32160243097,419163.62923377
1651622400000,2022-05-04 00:00:00,XEM/USD,0.09652039,0.09975334,0.0939,0.09778013,35881.15898067477,366957.57083443
1651536000000,2022-05-03 00:00:00,XEM/USD,0.09855592,0.09870206,0.093736,0.09524251,31134.703819757804,326899.23669334
1651449600000,2022-05-02 00:00:00,XEM/USD,0.09498811,0.10090059,0.0935,0.09867369,35528.737979568825,360062.93044852
1651363200000,2022-05-01 00:00:00,XEM/USD,0.09443236,0.09666079,0.09358667,0.09518185,34493.22759825446,362392.90997448
1651276800000,2022-04-30 00:00:00,XEM/USD,0.09542997,0.09767915,0.09400002,0.09440281,33390.13830419923,353698.56367834
1651190400000,2022-04-29 00:00:00,XEM/USD,0.10058296,0.10109518,0.095,0.0952739,32609.904769443103,342275.32167197
1651104000000,2022-04-28 00:00:00,XEM/USD,0.10208523,0.10397751,0.09771,0.10037705,36381.4320283476,362447.71118844
1651017600000,2022-04-27 00:00:00,XEM/USD,0.09885504,0.10327077,0.09841073,0.10205931,35678.64805001412,349587.39237032
1650931200000,2022-04-26 00:00:00,XEM/USD,0.10495485,0.10569998,0.09811272,0.09891035,35464.845909429605,358555.45864947
1650844800000,2022-04-25 00:00:00,XEM/USD,0.10468388,0.10789635,0.100592,0.10505812,38478.200411642116,366256.31994597
1650758400000,2022-04-24 00:00:00,XEM/USD,0.1045772,0.10536572,0.10442522,0.1050195,1832.590275,17450.0
1650672000000,2022-04-23 00:00:00,XEM/USD,0.10584962,0.10633606,0.102658,0.10453266,37483.06747121145,358577.57251381
1650585600000,2022-04-22 00:00:00,XEM/USD,0.10726663,0.11078899,0.10418553,0.10578274,37005.987564943505,349830.10994935
1650412800000,2022-04-20 00:00:00,XEM/USD,0.11015393,0.11045908,0.10902223,0.11045908,1491.19758,13500.0
1650326400000,2022-04-19 00:00:00,XEM/USD,0.10692979,0.110585,0.1068,0.11013973,39812.7627267233,361475.03472837
1650240000000,2022-04-18 00:00:00,XEM/USD,0.10807945,0.10807945,0.102233,0.10685129,39006.32940880201,365052.48938784
1650153600000,2022-04-17 00:00:00,XEM/USD,0.10990434,0.110589,0.10803827,0.10807824,37121.69009930103,343470.52745586
1650067200000,2022-04-16 00:00:00,XEM/USD,0.10984288,0.1105086,0.10685348,0.10990309,38867.32456497163,353650.88065287
1649980800000,2022-04-15 00:00:00,XEM/USD,0.10743391,0.10999605,0.1064984,0.10974914,38231.035278540316,348349.2925643
1649894400000,2022-04-14 00:00:00,XEM/USD,0.11081501,0.11209188,0.10322938,0.10733979,38191.36471355738,355798.76496458
1649808000000,2022-04-13 00:00:00,XEM/USD,0.107106,0.11090487,0.10452,0.11089246,38877.9849465026,350591.78005883
1649721600000,2022-04-12 00:00:00,XEM/USD,0.10414556,0.10833363,0.10322935,0.10756484,39176.356469683196,364211.54412244
1649635200000,2022-04-11 00:00:00,XEM/USD,0.11064134,0.11175617,0.1041,0.10412179,36881.617964011275,354216.13443268
1649548800000,2022-04-10 00:00:00,XEM/USD,0.11354789,0.11384023,0.11316913,0.11335212,1557.4581288,13740.0
1649462400000,2022-04-09 00:00:00,XEM/USD,0.10924159,0.11419681,0.10917324,0.11374619,39891.3526562512,350704.95685395
1649376000000,2022-04-08 00:00:00,XEM/USD,0.11372803,0.11462999,0.108,0.10926349,39704.764666144176,363385.46998768
1649289600000,2022-04-07 00:00:00,XEM/USD,0.11055018,0.11462399,0.11047998,0.11365474,42511.97976015354,374044.93433493
1649203200000,2022-04-06 00:00:00,XEM/USD,0.11923258,0.1206623,0.10618738,0.1104857,45692.701439458986,413562.13011692
1649116800000,2022-04-05 00:00:00,XEM/USD,0.12261822,0.124402,0.1191272,0.12077277,39413.9656794568,326348.11373008
1649030400000,2022-04-04 00:00:00,XEM/USD,0.12706279,0.12706279,0.11785278,0.12266496,45700.45583346896,372563.24734846
1648944000000,2022-04-03 00:00:00,XEM/USD,0.1260577,0.12806012,0.12416389,0.12685232,47282.6313058972,372737.61572431
1648857600000,2022-04-02 00:00:00,XEM/USD,0.12694912,0.12996911,0.1255,0.12589881,47937.82903421144,380764.7509473
1648771200000,2022-04-01 00:00:00,XEM/USD,0.12160189,0.12772434,0.12067899,0.12700473,44036.7777069234,346733.36738658
1648684800000,2022-03-31 00:00:00,XEM/USD,0.12562236,0.13,0.11868858,0.12171455,47804.692403045054,392760.70447654
1648598400000,2022-03-30 00:00:00,XEM/USD,0.12376152,0.12661532,0.12045337,0.12521436,48442.62647099664,386877.56317244
1648512000000,2022-03-29 00:00:00,XEM/USD,0.11639414,0.126,0.11632,0.12467262,58718.95613206979,470985.17807735
1648425600000,2022-03-28 00:00:00,XEM/USD,0.12137765,0.12389,0.11632,0.11642293,48237.14640958526,414326.85476637
1648339200000,2022-03-27 00:00:00,XEM/USD,0.11378681,0.12273992,0.11343525,0.12087631,48766.74398578366,403443.35449836
1648252800000,2022-03-26 00:00:00,XEM/USD,0.1121216,0.1159388,0.110724,0.11373227,41081.76767428075,361214.69899687
1648166400000,2022-03-25 00:00:00,XEM/USD,0.11335213,0.11573756,0.11164746,0.1120175,44373.67711385576,396131.6500891
1648080000000,2022-03-24 00:00:00,XEM/USD,0.11316179,0.12147605,0.11168616,0.11351915,45693.15896839103,402514.98507865
1647993600000,2022-03-23 00:00:00,XEM/USD,0.11244322,0.1142623,0.11107335,0.11313938,45559.89987404158,402688.25827083
1647907200000,2022-03-22 00:00:00,XEM/USD,0.11096671,0.11645662,0.10850156,0.11265531,42581.337878961545,377978.9685809
1647820800000,2022-03-21 00:00:00,XEM/USD,0.10287904,0.11417492,0.10046255,0.11113197,44883.1857543394,403872.85273841
1647734400000,2022-03-20 00:00:00,XEM/USD,0.10480237,0.10502392,0.10135186,0.10294721,40798.42016435697,396304.28220791
1647648000000,2022-03-19 00:00:00,XEM/USD,0.10431757,0.10650462,0.10204331,0.10456308,37440.33499651284,358064.57687085
1647561600000,2022-03-18 00:00:00,XEM/USD,0.10300115,0.10485876,0.10072917,0.1042526,37699.82016004411,361619.9515412
1647475200000,2022-03-17 00:00:00,XEM/USD,0.10404752,0.10408438,0.10127237,0.10301079,36696.321907526646,356237.65148803
