https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1655697600000,2022-06-20 04:00:00,1INCH/USD,0.564,0.7278,0.5596,0.6603,52097.200859,34399.7817271977
1655611200000,2022-06-19 04:00:00,1INCH/USD,0.5341,0.5852,0.5292,0.564,24309.629294,13710.630921815999
1655524800000,2022-06-18 04:00:00,1INCH/USD,0.5809,0.5857,0.5145,0.5341,165842.448391,88576.4516856331
1655438400000,2022-06-17 04:00:00,1INCH/USD,0.5796,0.6011,0.5757,0.5809,43033.964799,24998.4301517391
1655352000000,2022-06-16 04:00:00,1INCH/USD,0.6264,0.6264,0.569,0.5796,13198.768441,7650.0061884036
1655265600000,2022-06-15 04:00:00,1INCH/USD,0.5737,0.6359,0.5532,0.6264,10592.777049,6635.3155434936
1655179200000,2022-06-14 04:00:00,1INCH/USD,0.5872,0.6044,0.5725,0.5737,45295.537979,25986.0501385523
1655092800000,2022-06-13 04:00:00,1INCH/USD,0.6259,0.652,0.5501,0.5872,72440.719403,42537.1904334416
1655006400000,2022-06-12 04:00:00,1INCH/USD,0.6715,0.6949,0.6113,0.6259,55003.34976,34426.596614784
1654920000000,2022-06-11 04:00:00,1INCH/USD,0.7645,0.7706,0.664,0.6715,35107.558929,23574.7258208235
1654833600000,2022-06-10 04:00:00,1INCH/USD,0.798,0.8023,0.7439,0.7645,44292.180929,33861.3723202205
1654747200000,2022-06-09 04:00:00,1INCH/USD,0.8169,0.8236,0.785,0.798,33192.828967,26487.877515666
1654660800000,2022-06-08 04:00:00,1INCH/USD,0.8136,0.8363,0.808,0.8169,7140.605672,5833.1607734568
1654574400000,2022-06-07 04:00:00,1INCH/USD,0.8475,0.865,0.8115,0.8136,22177.626353,18043.7168008008
1654488000000,2022-06-06 04:00:00,1INCH/USD,0.8788,0.8959,0.8364,0.8475,35569.222812,30144.91633317
1654401600000,2022-06-05 04:00:00,1INCH/USD,0.858,0.8788,0.8515,0.8788,10320.56318,9069.710922584
1654315200000,2022-06-04 04:00:00,1INCH/USD,0.8556,0.87,0.8486,0.858,40726.055484,34942.955605272
1654228800000,2022-06-03 04:00:00,1INCH/USD,0.9126,0.9126,0.837,0.8556,24056.46805,20582.71406358
1654142400000,2022-06-02 04:00:00,1INCH/USD,0.9287,0.9356,0.9,0.9126,35484.748915,32383.381859828994
1654056000000,2022-06-01 04:00:00,1INCH/USD,0.9657,0.9868,0.9273,0.9287,18352.91828,17044.355206636003
1653969600000,2022-05-31 04:00:00,1INCH/USD,0.9948,1.0034,0.9514,0.9657,55174.636437,53282.1464072109
1653883200000,2022-05-30 04:00:00,1INCH/USD,0.9479,1.0127,0.9432,0.9948,33325.327212,33152.0355104976
1653796800000,2022-05-29 04:00:00,1INCH/USD,0.9031,0.9479,0.8975,0.9479,9127.46472,8651.923808088
1653710400000,2022-05-28 04:00:00,1INCH/USD,0.9092,0.9258,0.8963,0.9031,11141.007947,10061.444276935701
1653624000000,2022-05-27 04:00:00,1INCH/USD,0.9171,0.9228,0.8855,0.9092,23951.856939,21777.028328938803
1653537600000,2022-05-26 04:00:00,1INCH/USD,0.9608,0.9608,0.8921,0.9171,9413.416664,8633.0444225544
1653451200000,2022-05-25 04:00:00,1INCH/USD,1.0013,1.0013,0.9542,0.9608,647.799002,622.4052811216
1653364800000,2022-05-24 04:00:00,1INCH/USD,0.9826,1.0284,0.9605,1.0013,13314.114543,13331.4228919059
1653278400000,2022-05-23 04:00:00,1INCH/USD,0.9945,1.052,0.9448,0.9826,32954.430673,32381.023579289802
