https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AMP,Volume USD
1655697600000,2022-06-20 04:00:00,AMP/USD,0.00874,0.00929,0.00855,0.00894,33447227.269743,299018.2117915024
1655611200000,2022-06-19 04:00:00,AMP/USD,0.00832,0.00923,0.00818,0.00874,39611050.822516,346200.5841887898
1655524800000,2022-06-18 04:00:00,AMP/USD,0.00892,0.00894,0.00791,0.00832,40836986.038125,339763.72383719997
1655438400000,2022-06-17 04:00:00,AMP/USD,0.00891,0.00938,0.0088,0.00892,25841282.552802,230504.24037099385
1655352000000,2022-06-16 04:00:00,AMP/USD,0.00954,0.00954,0.00874,0.00891,10367072.1935,92370.61324408499
1655265600000,2022-06-15 04:00:00,AMP/USD,0.00968,0.00987,0.00891,0.00954,20287978.521458,193547.3150947093
1655179200000,2022-06-14 04:00:00,AMP/USD,0.00922,0.0099,0.00897,0.00968,51686243.039091,500322.8326184008
1655092800000,2022-06-13 04:00:00,AMP/USD,0.0102,0.01028,0.00861,0.00922,115145009.351643,1061636.9862221484
1655006400000,2022-06-12 04:00:00,AMP/USD,0.01023,0.01075,0.00983,0.0102,43423900.242704,442923.7824755808
1654920000000,2022-06-11 04:00:00,AMP/USD,0.01101,0.01107,0.01,0.01023,28318381.155896,289697.0392248161
1654833600000,2022-06-10 04:00:00,AMP/USD,0.0112,0.01129,0.01083,0.01101,20563242.335854,226401.29811775257
1654747200000,2022-06-09 04:00:00,AMP/USD,0.0113,0.01145,0.01103,0.0112,26672867.40092,298736.114890304
1654660800000,2022-06-08 04:00:00,AMP/USD,0.0113,0.01154,0.01104,0.0113,13356180.515221,150924.83982199727
1654574400000,2022-06-07 04:00:00,AMP/USD,0.01132,0.01185,0.01113,0.0113,17273143.556999,195186.5221940887
1654488000000,2022-06-06 04:00:00,AMP/USD,0.01176,0.01191,0.01126,0.01132,17575563.272984,198955.3762501789
1654401600000,2022-06-05 04:00:00,AMP/USD,0.01161,0.01186,0.0113,0.01176,5654769.276365,66500.0866900524
1654315200000,2022-06-04 04:00:00,AMP/USD,0.01131,0.012,0.01131,0.01161,21169554.756526,245778.5307232669
1654228800000,2022-06-03 04:00:00,AMP/USD,0.01182,0.01182,0.0112,0.01131,11588908.821978,131070.5587765712
1654142400000,2022-06-02 04:00:00,AMP/USD,0.01146,0.01204,0.01141,0.01182,26655642.392638,315069.6930809812
1654056000000,2022-06-01 04:00:00,AMP/USD,0.01257,0.01261,0.0114,0.01146,27617416.510611,316495.59321160207
1653969600000,2022-05-31 04:00:00,AMP/USD,0.01241,0.01265,0.012,0.01257,20061880.528475,252177.83824293077
1653883200000,2022-05-30 04:00:00,AMP/USD,0.01211,0.01274,0.01187,0.01241,34099830.760076,423178.89973254316
1653796800000,2022-05-29 04:00:00,AMP/USD,0.01154,0.01223,0.0115,0.01211,21620825.590594,261828.19790209335
1653710400000,2022-05-28 04:00:00,AMP/USD,0.01177,0.01189,0.01141,0.01154,7680695.058,88635.22096932
1653624000000,2022-05-27 04:00:00,AMP/USD,0.01206,0.01214,0.0114,0.01177,35957618.262073,423221.1669445992
1653537600000,2022-05-26 04:00:00,AMP/USD,0.01283,0.01289,0.0119,0.01206,13197155.787459,159157.69879675552
1653451200000,2022-05-25 04:00:00,AMP/USD,0.01331,0.01331,0.01283,0.01283,535590.317845,6871.623777951349
1653364800000,2022-05-24 04:00:00,AMP/USD,0.01299,0.01419,0.01266,0.01331,45714011.072034,608453.4873687726
1653278400000,2022-05-23 04:00:00,AMP/USD,0.01318,0.01369,0.01272,0.01299,47468727.28066,616618.7673757734
1653192000000,2022-05-22 04:00:00,AMP/USD,0.01302,0.01346,0.0129,0.01318,23444667.107148,309000.71247221064
1653105600000,2022-05-21 04:00:00,AMP/USD,0.01317,0.01335,0.01282,0.01302,31103731.05193,404970.5782961286
1653019200000,2022-05-20 04:00:00,AMP/USD,0.01359,0.01374,0.01291,0.01317,47182099.070425,621388.2447574972
1652932800000,2022-05-19 04:00:00,AMP/USD,0.01359,0.01399,0.01303,0.01359,55974278.200381,760690.4407431778
1652846400000,2022-05-18 04:00:00,AMP/USD,0.01404,0.01435,0.01304,0.01359,89600006.730487,1217664.0914673184
1652760000000,2022-05-17 04:00:00,AMP/USD,0.01415,0.01448,0.01356,0.01404,107806922.587966,1513609.1931350427
1652673600000,2022-05-16 04:00:00,AMP/USD,0.01371,0.01425,0.01294,0.01415,104347074.976396,1476511.1109160034
1652587200000,2022-05-15 04:00:00,AMP/USD,0.01313,0.01443,0.01301,0.01371,53221562.217834,729667.6180065041
