https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1655697600000,2022-06-20 04:00:00,APE/USD,3.954,4.822,3.943,4.506,593123.135738,2672612.8496354283
1655611200000,2022-06-19 04:00:00,APE/USD,3.438,4.513,3.406,3.954,787664.686849,3114426.1718009464
1655524800000,2022-06-18 04:00:00,APE/USD,3.585,3.75,3.115,3.438,414511.276968,1425089.770215984
1655438400000,2022-06-17 04:00:00,APE/USD,3.456,3.86,3.449,3.585,397674.173645,1425661.9125173248
1655352000000,2022-06-16 04:00:00,APE/USD,3.917,3.917,3.293,3.456,277322.249481,958425.694206336
1655265600000,2022-06-15 04:00:00,APE/USD,3.46,4.284,3.13,3.917,431141.649793,1688781.842239181
1655179200000,2022-06-14 04:00:00,APE/USD,3.596,3.936,3.388,3.46,323166.959585,1118157.6801641
1655092800000,2022-06-13 04:00:00,APE/USD,3.782,3.919,3.208,3.596,755206.194905,2715721.4768783804
1655006400000,2022-06-12 04:00:00,APE/USD,4.296,4.5,3.531,3.782,437433.0444,1654371.7739208
1654920000000,2022-06-11 04:00:00,APE/USD,5.256,5.581,4.22,4.296,353973.679675,1520670.9278838001
1654833600000,2022-06-10 04:00:00,APE/USD,5.679,5.724,5.116,5.256,142609.103116,749553.4459776961
1654747200000,2022-06-09 04:00:00,APE/USD,5.779,5.908,5.52,5.679,86307.283625,490139.063706375
1654660800000,2022-06-08 04:00:00,APE/USD,5.934,5.981,5.647,5.779,78330.259108,452670.56738513196
1654574400000,2022-06-07 04:00:00,APE/USD,6.054,6.248,5.844,5.934,190100.081986,1128053.8865049242
1654488000000,2022-06-06 04:00:00,APE/USD,6.339,6.428,5.929,6.054,129601.264623,784606.056027642
1654401600000,2022-06-05 04:00:00,APE/USD,6.107,6.361,6.059,6.339,98785.273829,626199.850802031
1654315200000,2022-06-04 04:00:00,APE/USD,6.072,6.219,6.041,6.107,27995.437691,170968.137978937
1654228800000,2022-06-03 04:00:00,APE/USD,6.36,6.36,6.009,6.072,97411.435974,591482.239234128
1654142400000,2022-06-02 04:00:00,APE/USD,5.998,6.485,5.984,6.36,216415.79112,1376404.4315232001
1654056000000,2022-06-01 04:00:00,APE/USD,6.605,7.019,5.943,5.998,304055.33218,1823723.8824156402
1653969600000,2022-05-31 04:00:00,APE/USD,7.233,7.263,6.554,6.605,235191.738222,1553441.4309563101
1653883200000,2022-05-30 04:00:00,APE/USD,6.544,7.453,6.517,7.233,261632.021497,1892384.411487801
1653796800000,2022-05-29 04:00:00,APE/USD,6.086,6.611,6.042,6.544,111761.636685,731368.15046664
1653710400000,2022-05-28 04:00:00,APE/USD,6.193,6.388,5.974,6.086,155055.251062,943666.257963332
1653624000000,2022-05-27 04:00:00,APE/USD,6.133,6.414,5.797,6.193,251876.199762,1559869.3051260659
1653537600000,2022-05-26 04:00:00,APE/USD,7.291,7.291,5.891,6.133,108512.765288,665508.789511304
1653451200000,2022-05-25 04:00:00,APE/USD,7.596,7.596,7.252,7.291,23627.052536,172264.840039976
1653364800000,2022-05-24 04:00:00,APE/USD,7.778,7.781,7.006,7.596,176256.009189,1338840.645799644
1653278400000,2022-05-23 04:00:00,APE/USD,7.91,8.488,7.594,7.778,157044.987572,1221495.913335016
1653192000000,2022-05-22 04:00:00,APE/USD,7.987,8.225,7.762,7.91,106244.942062,840397.49171042
1653105600000,2022-05-21 04:00:00,APE/USD,7.807,8.214,7.667,7.987,78717.673982,628718.0620942339
1653019200000,2022-05-20 04:00:00,APE/USD,8.019,8.175,7.523,7.807,175847.382122,1372840.5122264542
1652932800000,2022-05-19 04:00:00,APE/USD,7.857,8.359,7.421,8.019,194885.21365,1562784.52825935
1652846400000,2022-05-18 04:00:00,APE/USD,8.44,8.66,7.457,7.857,340217.249353,2673086.9281665212
1652760000000,2022-05-17 04:00:00,APE/USD,8.618,9.241,8.131,8.44,387330.513886,3269069.5371978395
1652673600000,2022-05-16 04:00:00,APE/USD,8.453,8.718,7.817,8.618,421690.457422,3634128.362062796
1652587200000,2022-05-15 04:00:00,APE/USD,8.209,9.186,8.114,8.453,213040.281202,1800829.497000506
1652500800000,2022-05-14 04:00:00,APE/USD,8.512,8.967,7.213,8.209,459568.228197,3772595.5852691727
1652414400000,2022-05-13 04:00:00,APE/USD,8.56,9.757,8.337,8.512,713092.269807,6069841.400597184
1652328000000,2022-05-12 04:00:00,APE/USD,5.973,8.99,5.192,8.56,2348217.576191,20100742.452194963
1652241600000,2022-05-11 04:00:00,APE/USD,8.886,8.886,5.2,5.973,863519.638986,5157802.803663378
1652155200000,2022-05-10 04:00:00,APE/USD,8.694,10.191,7.978,8.886,527120.370703,4683991.614066858
1652068800000,2022-05-09 04:00:00,APE/USD,11.164,11.43,7.798,8.694,635486.034445,5524915.58346483
1651982400000,2022-05-08 04:00:00,APE/USD,12.042,12.315,10.893,11.164,160199.733954,1788469.8298624558
1651896000000,2022-05-07 04:00:00,APE/USD,12.51,13.083,11.756,12.042,183235.628301,2206523.436000642
1651809600000,2022-05-06 04:00:00,APE/USD,13.429,13.885,12.41,12.51,194208.542613,2429548.86808863
1651723200000,2022-05-05 04:00:00,APE/USD,16.131,16.75,12.9,13.429,297813.707279,3999340.2750496916
1651636800000,2022-05-04 04:00:00,APE/USD,14.502,17.618,14.015,16.131,459814.817981,7417272.828851511
1651550400000,2022-05-03 04:00:00,APE/USD,14.685,15.778,13.88,14.502,137081.128082,1987950.5194451641
1651464000000,2022-05-02 04:00:00,APE/USD,16.604,17.377,14.217,14.685,243797.454745,3580165.622930325
1651377600000,2022-05-01 04:00:00,APE/USD,18.212,18.746,15.532,16.604,625246.054976,10381585.496821504
1651291200000,2022-04-30 04:00:00,APE/USD,22.697,25.529,18.041,18.212,876129.724144,15956074.536110528
1651204800000,2022-04-29 04:00:00,APE/USD,20.993,23.715,18.414,22.697,969950.510746,22014966.74240196
1651118400000,2022-04-28 04:00:00,APE/USD,19.748,27.579,19.599,20.993,955543.96861,20059734.533029728
1651032000000,2022-04-27 04:00:00,APE/USD,18.076,20.202,18.076,19.748,188975.856239,3731895.209007772
1650945600000,2022-04-26 04:00:00,APE/USD,18.6,18.791,17.42,18.076,252497.726832,4564148.910215232
1650859200000,2022-04-25 04:00:00,APE/USD,16.941,19.646,16.199,18.6,470407.223674,8749574.3603364
1650772800000,2022-04-24 04:00:00,APE/USD,16.214,17.873,15.931,16.941,219488.243838,3718350.3388595576
1650686400000,2022-04-23 04:00:00,APE/USD,16.535,18.427,16.018,16.214,475469.754577,7709266.600711477
1650600000000,2022-04-22 04:00:00,APE/USD,13.837,16.642,13.814,16.535,251269.029422,4154733.40149277
1650513600000,2022-04-21 04:00:00,APE/USD,15.545,15.799,13.731,13.837,203135.038493,2810779.527627641
1650427200000,2022-04-20 04:00:00,APE/USD,16.184,16.586,15.352,15.545,76267.316502,1185575.43502359
1650340800000,2022-04-19 04:00:00,APE/USD,12.445,17.05,12.121,16.184,388211.816455,6282820.037507721
1650254400000,2022-04-18 04:00:00,APE/USD,11.638,12.479,10.917,12.445,107374.791253,1336279.277143585
1650168000000,2022-04-17 04:00:00,APE/USD,11.535,12.095,11.495,11.638,58781.391419,684097.833334322
