https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USD
1655697600000,2022-06-20 04:00:00,AXS/USD,13.3,15.11,13.08,14.22,2264.096688,32195.45490336
1655611200000,2022-06-19 04:00:00,AXS/USD,12.57,14.23,12.43,13.3,2648.499234,35225.0398122
1655524800000,2022-06-18 04:00:00,AXS/USD,13.59,13.66,11.87,12.57,10213.313964,128381.35652748002
1655438400000,2022-06-17 04:00:00,AXS/USD,13.62,14.16,13.45,13.59,3114.86358,42330.996052200004
1655352000000,2022-06-16 04:00:00,AXS/USD,15.27,15.27,13.24,13.62,1158.501001,15778.78363362
1655265600000,2022-06-15 04:00:00,AXS/USD,13.39,16.32,12.89,15.27,2603.132651,39749.83558077
1655179200000,2022-06-14 04:00:00,AXS/USD,14.21,15.26,13.39,13.39,2531.331894,33894.53406066
1655092800000,2022-06-13 04:00:00,AXS/USD,13.58,14.57,12.25,14.21,8443.057207,119975.84291147001
1655006400000,2022-06-12 04:00:00,AXS/USD,15.36,16.11,12.86,13.58,4404.892744,59818.443463519994
1654920000000,2022-06-11 04:00:00,AXS/USD,18.45,18.46,14.86,15.36,4474.343934,68725.92282624
1654833600000,2022-06-10 04:00:00,AXS/USD,19.36,19.53,17.86,18.45,3399.530266,62721.3334077
1654747200000,2022-06-09 04:00:00,AXS/USD,19.56,19.95,18.85,19.36,2078.430112,40238.40696832
1654660800000,2022-06-08 04:00:00,AXS/USD,19.25,19.79,19.25,19.56,431.56326,8441.3773656
1654574400000,2022-06-07 04:00:00,AXS/USD,19.55,20.23,19.11,19.25,2892.405292,55678.801870999996
1654488000000,2022-06-06 04:00:00,AXS/USD,20.87,22.61,19.09,19.55,2944.027545,57555.73850475
1654401600000,2022-06-05 04:00:00,AXS/USD,20.02,20.87,19.8,20.87,3004.875856,62711.75911472001
1654315200000,2022-06-04 04:00:00,AXS/USD,20.19,21.0,19.88,20.02,1569.028831,31411.957196620002
1654228800000,2022-06-03 04:00:00,AXS/USD,21.26,21.26,19.51,20.19,1387.646663,28016.586125970003
1654142400000,2022-06-02 04:00:00,AXS/USD,19.76,21.49,19.74,21.26,3589.952229,76322.38438854
1654056000000,2022-06-01 04:00:00,AXS/USD,22.46,23.49,19.74,19.76,4789.260592,94635.78929792
1653969600000,2022-05-31 04:00:00,AXS/USD,27.02,28.1,22.31,22.46,4807.153228,107968.66150088
1653883200000,2022-05-30 04:00:00,AXS/USD,18.99,27.69,18.82,27.02,6717.900275,181517.6654305
1653796800000,2022-05-29 04:00:00,AXS/USD,17.88,19.19,17.67,18.99,1010.359082,19186.718967179997
1653710400000,2022-05-28 04:00:00,AXS/USD,18.27,18.63,17.67,17.88,883.972035,15805.4199858
1653624000000,2022-05-27 04:00:00,AXS/USD,18.89,19.06,17.86,18.27,2064.439569,37717.31092563
1653537600000,2022-05-26 04:00:00,AXS/USD,21.37,21.37,18.4,18.89,827.246566,15626.68763174
1653451200000,2022-05-25 04:00:00,AXS/USD,21.34,21.57,21.26,21.37,88.358834,1888.22828258
1653364800000,2022-05-24 04:00:00,AXS/USD,21.29,21.73,20.09,21.34,1802.954825,38475.0559655
1653278400000,2022-05-23 04:00:00,AXS/USD,22.68,23.47,20.8,21.29,3062.237289,65195.03188281
1653192000000,2022-05-22 04:00:00,AXS/USD,20.88,23.49,20.66,22.68,2318.437565,52582.163974200004
1653105600000,2022-05-21 04:00:00,AXS/USD,20.71,21.29,20.37,20.88,935.098488,19524.85642944
1653019200000,2022-05-20 04:00:00,AXS/USD,21.49,21.82,20.19,20.71,1729.016478,35807.93125938
1652932800000,2022-05-19 04:00:00,AXS/USD,21.52,22.04,19.79,21.49,3453.702703,74220.07108746999
1652846400000,2022-05-18 04:00:00,AXS/USD,21.45,22.62,20.74,21.52,4275.612004,92011.17032607998
1652760000000,2022-05-17 04:00:00,AXS/USD,21.78,23.33,21.42,21.45,6215.189885,133315.82303325
1652673600000,2022-05-16 04:00:00,AXS/USD,23.42,24.37,20.34,21.78,1816.75009,39568.816960200005
1652587200000,2022-05-15 04:00:00,AXS/USD,21.46,24.0,21.09,23.42,1875.495217,43924.09798214
1652500800000,2022-05-14 04:00:00,AXS/USD,20.93,23.4,19.94,21.46,4019.081228,86249.48315288
1652414400000,2022-05-13 04:00:00,AXS/USD,21.94,24.86,20.34,20.93,10066.516659,210692.19367287002
1652328000000,2022-05-12 04:00:00,AXS/USD,18.36,25.5,17.44,21.94,12388.57124,271805.2530056
1652241600000,2022-05-11 04:00:00,AXS/USD,24.23,24.23,18.1,18.36,6787.589414,124620.14164104
1652155200000,2022-05-10 04:00:00,AXS/USD,26.0,28.5,23.59,24.23,4662.591533,112974.59284458999
1652068800000,2022-05-09 04:00:00,AXS/USD,30.43,31.05,23.73,26.0,8447.24752,219628.43552000003
1651982400000,2022-05-08 04:00:00,AXS/USD,28.5,31.51,28.5,30.43,5269.806162,160360.20150966
1651896000000,2022-05-07 04:00:00,AXS/USD,27.77,29.57,27.49,28.5,1833.178784,52245.595344
1651809600000,2022-05-06 04:00:00,AXS/USD,28.98,29.14,27.3,27.77,2090.953082,58065.76708714
1651723200000,2022-05-05 04:00:00,AXS/USD,33.81,35.18,28.05,28.98,3013.576401,87333.44410097999
1651636800000,2022-05-04 04:00:00,AXS/USD,29.28,34.74,28.2,33.81,3269.807087,110552.17761147002
1651550400000,2022-05-03 04:00:00,AXS/USD,30.16,31.33,28.79,29.28,3365.485265,98541.4085592
1651464000000,2022-05-02 04:00:00,AXS/USD,31.29,31.73,29.85,30.16,11326.087885,341594.8106116
1651377600000,2022-05-01 04:00:00,AXS/USD,30.17,32.68,29.91,31.29,2066.284932,64654.055522279996
1651291200000,2022-04-30 04:00:00,AXS/USD,33.82,34.86,26.5,30.17,5276.266797,159184.96926549
1651204800000,2022-04-29 04:00:00,AXS/USD,37.21,37.26,33.45,33.82,8344.58704,282213.9336928
1651118400000,2022-04-28 04:00:00,AXS/USD,38.2,40.09,36.97,37.21,2552.370688,94973.71330048
1651032000000,2022-04-27 04:00:00,AXS/USD,39.03,39.61,37.11,38.2,1326.951393,50689.54321260001
1650945600000,2022-04-26 04:00:00,AXS/USD,42.49,43.39,38.0,39.03,5882.215923,229582.88747469
1650859200000,2022-04-25 04:00:00,AXS/USD,43.44,43.57,40.0,42.49,5449.896958,231566.12174542
1650772800000,2022-04-24 04:00:00,AXS/USD,45.44,45.54,42.8,43.44,1133.819124,49253.102746560005
1650686400000,2022-04-23 04:00:00,AXS/USD,45.49,46.11,44.96,45.44,878.648897,39925.805879679996
1650600000000,2022-04-22 04:00:00,AXS/USD,45.51,46.69,44.9,45.49,787.456042,35821.375350580005
1650513600000,2022-04-21 04:00:00,AXS/USD,46.94,48.0,44.37,45.51,1469.277067,66866.79931917
1650427200000,2022-04-20 04:00:00,AXS/USD,47.58,47.58,46.52,46.94,372.974016,17507.40031104
1650340800000,2022-04-19 04:00:00,AXS/USD,45.74,48.38,45.61,47.58,2236.788647,106426.40382425999
1650254400000,2022-04-18 04:00:00,AXS/USD,45.8,46.69,43.06,45.74,2817.407633,128868.22513342
1650168000000,2022-04-17 04:00:00,AXS/USD,47.23,47.98,45.31,45.8,859.897733,39383.3161714
1650081600000,2022-04-16 04:00:00,AXS/USD,47.83,48.21,46.69,47.23,605.763639,28610.21666997
1649995200000,2022-04-15 04:00:00,AXS/USD,47.83,50.19,46.89,47.83,1841.685811,88087.83234013
1649908800000,2022-04-14 04:00:00,AXS/USD,48.77,49.31,45.72,47.83,3062.547452,146481.64462915997
1649822400000,2022-04-13 04:00:00,AXS/USD,47.62,49.54,47.62,48.77,1648.680789,80406.16207953001
1649736000000,2022-04-12 04:00:00,AXS/USD,46.57,53.89,45.52,47.62,6584.799009,313568.12880858
1649649600000,2022-04-11 04:00:00,AXS/USD,47.26,47.89,44.31,46.57,4762.65078,221796.6468246
1649563200000,2022-04-10 04:00:00,AXS/USD,51.96,53.37,46.85,47.26,2588.792353,122346.32660277998
1649476800000,2022-04-09 04:00:00,AXS/USD,51.04,52.67,50.6,51.96,1022.976799,53153.87447604
1649390400000,2022-04-08 04:00:00,AXS/USD,54.96,55.38,50.2,51.04,3415.68631,174336.6292624
1649304000000,2022-04-07 04:00:00,AXS/USD,53.75,55.85,52.79,54.96,2504.596394,137652.61781424002
1649217600000,2022-04-06 04:00:00,AXS/USD,57.74,57.74,52.2,53.75,1878.23679,100955.2274625
1649131200000,2022-04-05 04:00:00,AXS/USD,63.77,65.28,55.82,57.74,5759.851509,332573.82612966
1649044800000,2022-04-04 04:00:00,AXS/USD,65.55,67.04,61.6,63.77,3062.601637,195302.10639149003
1648958400000,2022-04-03 04:00:00,AXS/USD,66.13,68.57,64.7,65.55,3463.039106,227002.2133983
1648872000000,2022-04-02 04:00:00,AXS/USD,72.51,73.34,64.2,66.13,4620.924526,305581.73890437995
1648785600000,2022-04-01 04:00:00,AXS/USD,61.35,75.43,61.35,72.51,7619.878654,552517.40120154
1648699200000,2022-03-31 04:00:00,AXS/USD,66.53,67.45,60.34,61.35,14845.083508,910745.8732158
1648612800000,2022-03-30 04:00:00,AXS/USD,63.33,68.58,63.33,66.53,1190.371818,79195.43705154001
1648526400000,2022-03-29 04:00:00,AXS/USD,67.43,70.73,61.82,63.33,10391.48415,658092.6912195
1648440000000,2022-03-28 04:00:00,AXS/USD,67.78,72.21,65.65,67.43,5391.530077,363550.87309211004
1648353600000,2022-03-27 04:00:00,AXS/USD,65.67,68.52,64.3,67.78,2283.690918,154788.57042203998
1648267200000,2022-03-26 04:00:00,AXS/USD,69.34,69.83,65.45,65.67,1284.197141,84333.22624947001
1648180800000,2022-03-25 04:00:00,AXS/USD,71.22,74.48,67.69,69.34,6581.498716,456361.12096744
1648094400000,2022-03-24 04:00:00,AXS/USD,59.26,74.59,58.6,71.22,11538.716152,821787.3643454401
1648008000000,2022-03-23 04:00:00,AXS/USD,51.31,62.74,51.31,59.26,5684.237648,336847.92302048
1647921600000,2022-03-22 04:00:00,AXS/USD,51.88,53.44,51.08,51.31,1830.477908,93921.82145948001
1647835200000,2022-03-21 04:00:00,AXS/USD,49.71,52.08,49.71,51.88,409.828722,21261.914097360004
1647748800000,2022-03-20 04:00:00,AXS/USD,51.98,52.52,49.23,49.71,980.552718,48743.27561178
1647662400000,2022-03-19 04:00:00,AXS/USD,50.6,54.45,50.46,51.98,2783.360787,144679.09370825998
1647576000000,2022-03-18 04:00:00,AXS/USD,49.2,51.32,48.61,50.6,1353.832807,68503.9400342
1647489600000,2022-03-17 04:00:00,AXS/USD,50.39,51.17,49.09,49.2,2348.088891,115525.9734372
1647403200000,2022-03-16 04:00:00,AXS/USD,46.83,50.74,46.83,50.39,1285.836931,64793.322953090006
1647316800000,2022-03-15 04:00:00,AXS/USD,46.99,48.45,45.97,46.83,1664.169349,77933.05061367
1647230400000,2022-03-14 04:00:00,AXS/USD,45.22,48.93,45.2,46.99,1583.738166,74419.85642034
1647144000000,2022-03-13 04:00:00,AXS/USD,47.42,47.57,44.66,45.22,1104.353743,49938.87625846
1647057600000,2022-03-12 04:00:00,AXS/USD,47.09,48.01,46.44,47.42,1015.111105,48136.5685991
1646971200000,2022-03-11 04:00:00,AXS/USD,46.07,48.52,45.59,47.09,982.04149,46244.3337641
1646884800000,2022-03-10 04:00:00,AXS/USD,47.33,48.01,45.09,46.07,1803.169474,83072.01766718
1646798400000,2022-03-09 04:00:00,AXS/USD,48.44,48.96,46.94,47.33,594.763571,28150.159815429997
1646712000000,2022-03-08 04:00:00,AXS/USD,46.98,48.77,46.22,48.44,400.46023,19398.2935412
1646625600000,2022-03-07 04:00:00,AXS/USD,47.11,50.16,45.8,46.98,1999.357133,93929.79810834
1646539200000,2022-03-06 04:00:00,AXS/USD,50.46,51.15,46.43,47.11,1623.913176,76502.54972136
1646452800000,2022-03-05 04:00:00,AXS/USD,49.93,53.0,49.37,50.46,920.168626,46431.70886796
1646366400000,2022-03-04 04:00:00,AXS/USD,51.24,53.15,48.8,49.93,1660.004789,82884.03911477
1646280000000,2022-03-03 04:00:00,AXS/USD,54.33,55.69,50.59,51.24,3306.028147,169400.88225228002
1646193600000,2022-03-02 04:00:00,AXS/USD,57.33,57.33,53.93,54.33,1365.670685,74196.88831605
