https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USD
1655697600000,2022-06-20 04:00:00,COMP/USD,30.82,35.33,30.32,34.28,1773.566393,60797.85595204
1655611200000,2022-06-19 04:00:00,COMP/USD,27.79,32.53,27.19,30.82,1624.293459,50060.72440638
1655524800000,2022-06-18 04:00:00,COMP/USD,31.66,31.94,26.17,27.79,1037.749015,28839.04512685
1655438400000,2022-06-17 04:00:00,COMP/USD,30.66,33.06,30.62,31.66,508.29,16092.4614
1655352000000,2022-06-16 04:00:00,COMP/USD,34.65,34.65,29.33,30.66,397.222492,12178.841604719999
1655265600000,2022-06-15 04:00:00,COMP/USD,33.26,36.26,29.97,34.65,635.022965,22003.54573725
1655179200000,2022-06-14 04:00:00,COMP/USD,35.63,37.11,33.05,33.26,4083.113577,135804.35757102
1655092800000,2022-06-13 04:00:00,COMP/USD,38.08,39.24,32.37,35.63,4183.523369,149058.93763747
1655006400000,2022-06-12 04:00:00,COMP/USD,42.45,45.8,36.72,38.08,1438.364473,54772.919131840004
1654920000000,2022-06-11 04:00:00,COMP/USD,51.79,52.43,41.97,42.45,2589.177099,109910.56785255001
1654833600000,2022-06-10 04:00:00,COMP/USD,55.22,55.48,50.38,51.79,1103.414906,57145.857981739995
1654747200000,2022-06-09 04:00:00,COMP/USD,55.88,56.82,53.67,55.22,480.921439,26556.48186158
1654660800000,2022-06-08 04:00:00,COMP/USD,55.62,56.42,54.74,55.88,498.172499,27837.879244120002
1654574400000,2022-06-07 04:00:00,COMP/USD,56.56,59.33,55.25,55.62,970.526102,53980.66179324
1654488000000,2022-06-06 04:00:00,COMP/USD,60.25,61.74,54.82,56.56,1138.159657,64374.31019992
1654401600000,2022-06-05 04:00:00,COMP/USD,57.26,60.3,56.81,60.25,474.444998,28585.3111295
1654315200000,2022-06-04 04:00:00,COMP/USD,55.17,58.37,55.11,57.26,360.713407,20654.44968482
1654228800000,2022-06-03 04:00:00,COMP/USD,58.61,58.61,54.93,55.17,314.401602,17345.53638234
