https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume USD
1655697600000,2022-06-20 04:00:00,CRV/USD,0.6262,0.7344,0.6137,0.7014,202207.626693,141828.4293624702
1655611200000,2022-06-19 04:00:00,CRV/USD,0.5568,0.6618,0.5551,0.6262,243660.326104,152580.0962063248
1655524800000,2022-06-18 04:00:00,CRV/USD,0.6459,0.6516,0.5361,0.5568,417327.307406,232367.84476366077
1655438400000,2022-06-17 04:00:00,CRV/USD,0.6674,0.6933,0.6376,0.6459,105315.994516,68023.6008578844
1655352000000,2022-06-16 04:00:00,CRV/USD,0.7501,0.7501,0.645,0.6674,105939.70197,70704.157094778
1655265600000,2022-06-15 04:00:00,CRV/USD,0.6941,0.788,0.6489,0.7501,211770.275268,158848.88347852678
1655179200000,2022-06-14 04:00:00,CRV/USD,0.7023,0.7447,0.6841,0.6941,289848.756248,201184.02171173683
1655092800000,2022-06-13 04:00:00,CRV/USD,0.7355,0.7487,0.6268,0.7023,712023.756197,500054.2839771531
1655006400000,2022-06-12 04:00:00,CRV/USD,0.8647,0.9541,0.6771,0.7355,209845.697848,154341.51076720402
1654920000000,2022-06-11 04:00:00,CRV/USD,1.0445,1.06,0.8523,0.8647,197233.780428,170548.04993609161
1654833600000,2022-06-10 04:00:00,CRV/USD,1.1566,1.1572,1.0172,1.0445,90548.922683,94578.34974239349
1654747200000,2022-06-09 04:00:00,CRV/USD,1.158,1.1768,1.12,1.1566,74488.941043,86153.9092103338
1654660800000,2022-06-08 04:00:00,CRV/USD,1.1729,1.1807,1.1376,1.158,23218.33272,26886.829289759997
1654574400000,2022-06-07 04:00:00,CRV/USD,1.1949,1.2391,1.1589,1.1729,81929.763061,96095.41909424691
1654488000000,2022-06-06 04:00:00,CRV/USD,1.2631,1.3313,1.1657,1.1949,58550.690392,69962.2199494008
1654401600000,2022-06-05 04:00:00,CRV/USD,1.1639,1.2659,1.1542,1.2631,36206.363872,45732.2582067232
1654315200000,2022-06-04 04:00:00,CRV/USD,1.1599,1.1886,1.1515,1.1639,24984.365404,29079.302893715598
1654228800000,2022-06-03 04:00:00,CRV/USD,1.2504,1.2504,1.146,1.1599,59534.076772,69053.5756478428
1654142400000,2022-06-02 04:00:00,CRV/USD,1.2283,1.2666,1.2025,1.2504,28634.168763,35804.1646212552
1654056000000,2022-06-01 04:00:00,CRV/USD,1.3687,1.4068,1.2283,1.2283,101333.00605,124467.33133121498
1653969600000,2022-05-31 04:00:00,CRV/USD,1.3824,1.4654,1.3146,1.3687,173743.308804,237802.46676003482
1653883200000,2022-05-30 04:00:00,CRV/USD,1.2876,1.4056,1.2744,1.3824,71728.935552,99158.0805070848
1653796800000,2022-05-29 04:00:00,CRV/USD,1.195,1.304,1.1835,1.2876,33838.05447,43569.87893557201
1653710400000,2022-05-28 04:00:00,CRV/USD,1.2042,1.2935,1.1784,1.195,53570.932177,64017.26395151501
1653624000000,2022-05-27 04:00:00,CRV/USD,1.2027,1.2158,1.1131,1.2042,93372.235821,112438.8463756482
1653537600000,2022-05-26 04:00:00,CRV/USD,1.2509,1.2509,1.1469,1.2027,34539.210637,41540.3086331199
1653451200000,2022-05-25 04:00:00,CRV/USD,1.2783,1.2783,1.2355,1.2509,842.783335,1054.2376737514999
1653364800000,2022-05-24 04:00:00,CRV/USD,1.2952,1.2971,1.1835,1.2783,281962.9831,360433.28129673004
1653278400000,2022-05-23 04:00:00,CRV/USD,1.2651,1.4164,1.2495,1.2952,252290.5275,326766.69121799996
1653192000000,2022-05-22 04:00:00,CRV/USD,1.2104,1.29,1.1894,1.2651,100525.941706,127175.36885226058
1653105600000,2022-05-21 04:00:00,CRV/USD,1.1551,1.2379,1.1362,1.2104,220722.064852,267161.9872968608
1653019200000,2022-05-20 04:00:00,CRV/USD,1.0982,1.1809,1.0701,1.1551,250826.29154,289729.449357854
1652932800000,2022-05-19 04:00:00,CRV/USD,1.2432,1.2681,0.9942,1.0982,581393.503416,638486.3454514513
1652846400000,2022-05-18 04:00:00,CRV/USD,1.3502,1.3753,1.1894,1.2432,295521.846475,367392.75953772006
1652760000000,2022-05-17 04:00:00,CRV/USD,1.4189,1.461,1.2915,1.3502,171281.886657,231264.8033642814
1652673600000,2022-05-16 04:00:00,CRV/USD,1.4186,1.4363,1.3154,1.4189,161184.873959,228705.21766042509
1652587200000,2022-05-15 04:00:00,CRV/USD,1.3816,1.5136,1.3674,1.4186,186060.14069,263944.91558283404
1652500800000,2022-05-14 04:00:00,CRV/USD,1.3541,1.4472,1.2441,1.3816,213003.063702,294285.0328106832
1652414400000,2022-05-13 04:00:00,CRV/USD,1.4253,1.5882,1.2972,1.3541,413891.272188,560450.1716697708
1652328000000,2022-05-12 04:00:00,CRV/USD,1.3122,1.4472,1.0495,1.4253,297446.789993,423950.9097770229
1652241600000,2022-05-11 04:00:00,CRV/USD,1.966,1.966,1.3122,1.3122,462176.458734,606467.9491507548
1652155200000,2022-05-10 04:00:00,CRV/USD,2.0047,2.1541,1.9018,1.966,212803.293999,418371.27600203396
1652068800000,2022-05-09 04:00:00,CRV/USD,2.3047,2.3297,1.8581,2.0047,225817.899228,452697.1425823716
1651982400000,2022-05-08 04:00:00,CRV/USD,2.2155,2.4622,2.2155,2.3047,63260.473432,145796.4131187304
1651896000000,2022-05-07 04:00:00,CRV/USD,2.2741,2.3672,2.1756,2.2155,41530.256417,92010.2830918635
1651809600000,2022-05-06 04:00:00,CRV/USD,2.4979,2.5017,2.1933,2.2741,64233.450814,146073.2904961174
1651723200000,2022-05-05 04:00:00,CRV/USD,2.6072,2.657,2.271,2.4979,86841.265655,216920.79747962448
1651636800000,2022-05-04 04:00:00,CRV/USD,2.1941,2.6676,2.1888,2.6072,140076.282012,365206.88246168644
1651550400000,2022-05-03 04:00:00,CRV/USD,2.0857,2.2145,2.0629,2.1941,83724.504609,183699.9355626069
1651464000000,2022-05-02 04:00:00,CRV/USD,2.1023,2.1351,1.9901,2.0857,46243.126856,96449.28968355921
1651377600000,2022-05-01 04:00:00,CRV/USD,2.0204,2.1197,1.9847,2.1023,66816.331597,140467.9739163731
1651291200000,2022-04-30 04:00:00,CRV/USD,2.2126,2.2495,1.9511,2.0204,105511.955153,213176.3541911212
1651204800000,2022-04-29 04:00:00,CRV/USD,2.3822,2.415,2.2024,2.2126,61278.971233,135585.8517501358
1651118400000,2022-04-28 04:00:00,CRV/USD,2.4594,2.5394,2.3704,2.3822,30932.300989,73686.9274159958
1651032000000,2022-04-27 04:00:00,CRV/USD,2.4149,2.5123,2.3932,2.4594,20829.826842,51228.8761352148
