https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD
1655697600000,2022-06-20 04:00:00,ENJ/USD,0.4334,0.4662,0.4261,0.4488,26329.468745,11816.665572756
1655611200000,2022-06-19 04:00:00,ENJ/USD,0.3992,0.4477,0.394,0.4334,40879.171416,17717.032891694398
1655524800000,2022-06-18 04:00:00,ENJ/USD,0.4346,0.4367,0.3796,0.3992,124065.003439,49526.7493728488
1655438400000,2022-06-17 04:00:00,ENJ/USD,0.4286,0.454,0.4273,0.4346,90762.770153,39445.4999084938
1655352000000,2022-06-16 04:00:00,ENJ/USD,0.4697,0.4697,0.4164,0.4286,58217.702508,24952.1072949288
1655265600000,2022-06-15 04:00:00,ENJ/USD,0.4346,0.4934,0.4107,0.4697,23506.917832,11041.1993056904
1655179200000,2022-06-14 04:00:00,ENJ/USD,0.4541,0.497,0.4346,0.4346,93927.982542,40821.1012127532
1655092800000,2022-06-13 04:00:00,ENJ/USD,0.4579,0.4749,0.4075,0.4541,198847.879732,90296.8221863012
1655006400000,2022-06-12 04:00:00,ENJ/USD,0.5026,0.538,0.442,0.4579,123416.463241,56512.3985180539
1654920000000,2022-06-11 04:00:00,ENJ/USD,0.5907,0.5982,0.4948,0.5026,268263.934818,134829.45363952682
1654833600000,2022-06-10 04:00:00,ENJ/USD,0.6257,0.6268,0.5701,0.5907,49135.59174,29024.394040818002
1654747200000,2022-06-09 04:00:00,ENJ/USD,0.6194,0.6457,0.6066,0.6257,76907.050515,48120.7415072355
1654660800000,2022-06-08 04:00:00,ENJ/USD,0.6153,0.6264,0.6069,0.6194,6210.568644,3846.8262180935994
1654574400000,2022-06-07 04:00:00,ENJ/USD,0.6155,0.6459,0.6056,0.6153,38815.430241,23883.1342272873
1654488000000,2022-06-06 04:00:00,ENJ/USD,0.6572,0.6687,0.6076,0.6155,68941.617568,42433.565613104
1654401600000,2022-06-05 04:00:00,ENJ/USD,0.6143,0.6605,0.6108,0.6572,44191.396922,29042.5860571384
1654315200000,2022-06-04 04:00:00,ENJ/USD,0.6032,0.6259,0.6032,0.6143,33208.328821,20399.8763947403
1654228800000,2022-06-03 04:00:00,ENJ/USD,0.6438,0.6438,0.597,0.6032,38083.900291,22972.208655531198
1654142400000,2022-06-02 04:00:00,ENJ/USD,0.6238,0.6522,0.6207,0.6438,124421.806978,80102.7593324364
1654056000000,2022-06-01 04:00:00,ENJ/USD,0.6754,0.6932,0.6213,0.6238,143949.679679,89795.8101837602
1653969600000,2022-05-31 04:00:00,ENJ/USD,0.7044,0.708,0.6706,0.6754,69262.98721,46780.221561634
1653883200000,2022-05-30 04:00:00,ENJ/USD,0.6319,0.7163,0.6274,0.7044,135531.554909,95468.42727789961
1653796800000,2022-05-29 04:00:00,ENJ/USD,0.5881,0.6377,0.5854,0.6319,52055.205765,32893.6845229035
1653710400000,2022-05-28 04:00:00,ENJ/USD,0.5997,0.6079,0.58,0.5881,31587.387169,18576.542394088898
1653624000000,2022-05-27 04:00:00,ENJ/USD,0.6183,0.6374,0.5779,0.5997,50056.753461,30019.0350505617
1653537600000,2022-05-26 04:00:00,ENJ/USD,0.7038,0.7038,0.595,0.6183,13435.962849,8307.455829536699
1653451200000,2022-05-25 04:00:00,ENJ/USD,0.6885,0.7086,0.6885,0.7038,2089.002274,1470.2398004412
1653364800000,2022-05-24 04:00:00,ENJ/USD,0.69,0.6995,0.6405,0.6885,240232.744387,165400.2445104495
1653278400000,2022-05-23 04:00:00,ENJ/USD,0.7151,0.7445,0.6648,0.69,362177.729264,249902.63319216
1653192000000,2022-05-22 04:00:00,ENJ/USD,0.6952,0.7392,0.6802,0.7151,97326.101858,69597.89543865579
1653105600000,2022-05-21 04:00:00,ENJ/USD,0.6736,0.7091,0.6579,0.6952,68845.380076,47861.3082288352
1653019200000,2022-05-20 04:00:00,ENJ/USD,0.6887,0.7129,0.6458,0.6736,98738.27213,66510.10010676799
1652932800000,2022-05-19 04:00:00,ENJ/USD,0.6555,0.7141,0.6318,0.6887,355556.345125,244871.6548875875
1652846400000,2022-05-18 04:00:00,ENJ/USD,0.711,0.745,0.625,0.6555,88140.96261,57776.400990855
