https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USD
1655697600000,2022-06-20 04:00:00,FIL/USD,5.3609,5.664,5.2849,5.4097,43981.579104,237927.14847890878
1655611200000,2022-06-19 04:00:00,FIL/USD,5.0301,5.5356,5.0016,5.3609,31877.7242,170893.29166378
1655524800000,2022-06-18 04:00:00,FIL/USD,5.2834,5.3097,4.8,5.0301,69446.582423,349323.2542459323
1655438400000,2022-06-17 04:00:00,FIL/USD,5.331,5.4675,5.2509,5.2834,18661.626361,98596.8367157074
1655352000000,2022-06-16 04:00:00,FIL/USD,5.741,5.741,5.1962,5.331,5668.630331,30219.468294561004
1655265600000,2022-06-15 04:00:00,FIL/USD,5.3112,5.9368,5.1858,5.741,29410.712668,168846.90142698798
1655179200000,2022-06-14 04:00:00,FIL/USD,5.4403,5.7138,5.2853,5.3112,102174.620605,542669.844957276
1655092800000,2022-06-13 04:00:00,FIL/USD,5.5,5.6358,5.0,5.4403,82164.466793,446999.3486939579
1655006400000,2022-06-12 04:00:00,FIL/USD,5.7603,6.1582,5.3519,5.5,22766.134025,125213.7371375
1654920000000,2022-06-11 04:00:00,FIL/USD,6.8619,6.9019,5.6438,5.7603,53812.565335,309976.5200992005
1654833600000,2022-06-10 04:00:00,FIL/USD,7.1906,7.2238,6.748,6.8619,39124.865199,268470.9125090181
1654747200000,2022-06-09 04:00:00,FIL/USD,7.2096,7.328,7.0752,7.1906,6351.345555,45669.985347783
1654660800000,2022-06-08 04:00:00,FIL/USD,7.1831,7.3086,7.0835,7.2096,9671.668685,69728.862551376
1654574400000,2022-06-07 04:00:00,FIL/USD,7.2677,7.6468,7.1236,7.1831,14059.051756,100987.5746685236
1654488000000,2022-06-06 04:00:00,FIL/USD,7.6693,7.8616,7.0261,7.2677,19905.072526,144664.0955972102
1654401600000,2022-06-05 04:00:00,FIL/USD,7.3776,7.6693,7.2731,7.6693,13705.971751,105115.20914994429
1654315200000,2022-06-04 04:00:00,FIL/USD,7.2666,7.5218,7.2666,7.3776,5023.962552,37064.786123635204
1654228800000,2022-06-03 04:00:00,FIL/USD,7.6805,7.6805,7.2405,7.2666,17600.455217,127895.46787985219
1654142400000,2022-06-02 04:00:00,FIL/USD,7.321,7.808,7.3035,7.6805,8337.658221,64037.3839663905
1654056000000,2022-06-01 04:00:00,FIL/USD,7.9207,8.126,7.321,7.321,33633.145293,246228.256690053
1653969600000,2022-05-31 04:00:00,FIL/USD,8.1993,8.2483,7.8317,7.9207,26381.174295,208957.3672384065
1653883200000,2022-05-30 04:00:00,FIL/USD,7.8284,8.3367,7.7539,8.1993,31255.892242,256276.4372598306
1653796800000,2022-05-29 04:00:00,FIL/USD,7.3722,7.889,7.3422,7.8284,21952.289479,171851.3029574036
1653710400000,2022-05-28 04:00:00,FIL/USD,7.3115,7.5779,7.2878,7.3722,32829.253076,242023.8195268872
1653624000000,2022-05-27 04:00:00,FIL/USD,7.5642,7.6993,7.1431,7.3115,23772.85596,173815.23635154
1653537600000,2022-05-26 04:00:00,FIL/USD,8.1031,8.1031,7.3573,7.5642,7686.839611,58144.7921855262
1653451200000,2022-05-25 04:00:00,FIL/USD,8.5447,8.5447,8.1031,8.1031,863.032674,6993.2400606894
1653364800000,2022-05-24 04:00:00,FIL/USD,8.4027,8.5932,8.0384,8.5447,21923.180714,187327.0022469158
1653278400000,2022-05-23 04:00:00,FIL/USD,8.3315,9.451,8.0405,8.4027,35532.784827,298571.3310658329
1653192000000,2022-05-22 04:00:00,FIL/USD,8.1244,8.518,8.032,8.3315,18304.127091,152500.8348586665
1653105600000,2022-05-21 04:00:00,FIL/USD,7.9493,8.3328,7.9133,8.1244,16224.63602,131815.432880888
1653019200000,2022-05-20 04:00:00,FIL/USD,8.126,8.2751,7.7046,7.9493,12088.848631,96097.8844224083
