https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USD
1655697600000,2022-06-20 04:00:00,FTM/USD,0.2381,0.2676,0.234,0.2524,3566677.320497,900229.3556934429
1655611200000,2022-06-19 04:00:00,FTM/USD,0.2147,0.2445,0.2112,0.2381,2725799.498784,649012.8606604704
1655524800000,2022-06-18 04:00:00,FTM/USD,0.2361,0.2375,0.2044,0.2147,2382027.243576,511421.2491957672
1655438400000,2022-06-17 04:00:00,FTM/USD,0.2332,0.2473,0.2328,0.2361,4812756.294551,1136291.7611434911
1655352000000,2022-06-16 04:00:00,FTM/USD,0.2483,0.2483,0.2198,0.2332,1952310.87563,455278.89619691594
1655265600000,2022-06-15 04:00:00,FTM/USD,0.2254,0.2614,0.2148,0.2483,3611565.802323,896751.7887168009
1655179200000,2022-06-14 04:00:00,FTM/USD,0.2419,0.257,0.2253,0.2254,2315464.795954,521905.7650080316
1655092800000,2022-06-13 04:00:00,FTM/USD,0.219,0.2476,0.194,0.2419,8132519.274982,1967256.4126181458
1655006400000,2022-06-12 04:00:00,FTM/USD,0.256,0.2677,0.2028,0.219,6388516.77006,1399085.17264314
1654920000000,2022-06-11 04:00:00,FTM/USD,0.3131,0.326,0.2549,0.256,5802774.331048,1485510.228748288
1654833600000,2022-06-10 04:00:00,FTM/USD,0.3375,0.3394,0.3056,0.3131,3139360.027423,982933.6245861412
1654747200000,2022-06-09 04:00:00,FTM/USD,0.3383,0.3512,0.3263,0.3375,2903691.658016,979995.9345804
1654660800000,2022-06-08 04:00:00,FTM/USD,0.3445,0.3477,0.3288,0.3383,1364803.617836,461713.06391391874
1654574400000,2022-06-07 04:00:00,FTM/USD,0.3445,0.3615,0.3399,0.3445,920777.502271,317207.84953235945
1654488000000,2022-06-06 04:00:00,FTM/USD,0.3719,0.3868,0.3363,0.3445,1842530.681293,634751.8197054385
1654401600000,2022-06-05 04:00:00,FTM/USD,0.3464,0.374,0.3437,0.3719,1939246.659799,721205.8327792481
1654315200000,2022-06-04 04:00:00,FTM/USD,0.3451,0.3572,0.3412,0.3464,859549.45423,297747.930945272
1654228800000,2022-06-03 04:00:00,FTM/USD,0.3763,0.3763,0.3426,0.3451,1072501.522854,370120.27553691546
1654142400000,2022-06-02 04:00:00,FTM/USD,0.3539,0.3833,0.3532,0.3763,1427163.65715,537041.6841855451
1654056000000,2022-06-01 04:00:00,FTM/USD,0.3953,0.411,0.3539,0.3539,2528813.725163,894947.1773351857
1653969600000,2022-05-31 04:00:00,FTM/USD,0.4212,0.4222,0.3888,0.3953,2754802.700982,1088973.5076981846
1653883200000,2022-05-30 04:00:00,FTM/USD,0.386,0.4299,0.383,0.4212,3066327.961362,1291537.3373256745
1653796800000,2022-05-29 04:00:00,FTM/USD,0.3589,0.3889,0.3559,0.386,3227296.370749,1245736.399109114
1653710400000,2022-05-28 04:00:00,FTM/USD,0.3548,0.3769,0.348,0.3589,5062614.616328,1816972.3858001193
1653624000000,2022-05-27 04:00:00,FTM/USD,0.3655,0.3783,0.3363,0.3548,4065803.749747,1442547.1704102356
1653537600000,2022-05-26 04:00:00,FTM/USD,0.4092,0.4092,0.3544,0.3655,1035327.007251,378412.0211502405
1653451200000,2022-05-25 04:00:00,FTM/USD,0.4299,0.4299,0.4044,0.4092,748212.315778,306168.47961635765
1653364800000,2022-05-24 04:00:00,FTM/USD,0.4454,0.4546,0.3941,0.4299,5118267.859686,2200343.3528790115
1653278400000,2022-05-23 04:00:00,FTM/USD,0.4281,0.5225,0.4271,0.4454,6399446.887515,2850313.6436991813
1653192000000,2022-05-22 04:00:00,FTM/USD,0.4265,0.4579,0.4043,0.4281,3019088.913413,1292471.9638321053
1653105600000,2022-05-21 04:00:00,FTM/USD,0.3737,0.4626,0.3569,0.4265,4735896.852899,2019860.0077614235
1653019200000,2022-05-20 04:00:00,FTM/USD,0.3435,0.3759,0.3221,0.3737,2701676.082788,1009616.3521378755
1652932800000,2022-05-19 04:00:00,FTM/USD,0.3214,0.3618,0.3029,0.3435,3366619.80364,1156433.9025503402
1652846400000,2022-05-18 04:00:00,FTM/USD,0.3483,0.3729,0.3097,0.3214,3574549.805114,1148860.3073636396
1652760000000,2022-05-17 04:00:00,FTM/USD,0.3576,0.38,0.3346,0.3483,4142113.716848,1442698.2075781585
1652673600000,2022-05-16 04:00:00,FTM/USD,0.3693,0.3747,0.3316,0.3576,4058443.153829,1451299.2718092503
1652587200000,2022-05-15 04:00:00,FTM/USD,0.3635,0.4013,0.3459,0.3693,3661557.595053,1352213.219853073
1652500800000,2022-05-14 04:00:00,FTM/USD,0.3267,0.3872,0.2942,0.3635,4114900.843476,1495766.456603526
1652414400000,2022-05-13 04:00:00,FTM/USD,0.3249,0.7,0.3141,0.3267,6323691.558724,2065950.0322351307
1652328000000,2022-05-12 04:00:00,FTM/USD,0.2652,0.3963,0.2268,0.3249,8297507.227622,2695860.0982543877
1652241600000,2022-05-11 04:00:00,FTM/USD,0.5243,0.5243,0.2635,0.2652,5737097.416715,1521478.2349128178
1652155200000,2022-05-10 04:00:00,FTM/USD,0.5588,0.6142,0.5128,0.5243,3599274.753054,1887099.753026212
1652068800000,2022-05-09 04:00:00,FTM/USD,0.655,0.6663,0.5242,0.5588,4268118.386488,2385024.5543694943
1651982400000,2022-05-08 04:00:00,FTM/USD,0.6779,0.7067,0.6412,0.655,1341721.424476,878827.53303178
1651896000000,2022-05-07 04:00:00,FTM/USD,0.7056,0.7294,0.6616,0.6779,1240470.204882,840914.7518895078
1651809600000,2022-05-06 04:00:00,FTM/USD,0.7397,0.745,0.6963,0.7056,915851.028622,646224.4857956832
1651723200000,2022-05-05 04:00:00,FTM/USD,0.8671,0.8694,0.7127,0.7397,2403630.45166,1777965.4450929018
1651636800000,2022-05-04 04:00:00,FTM/USD,0.7713,0.8728,0.7566,0.8671,2652969.373355,2300389.74363612
1651550400000,2022-05-03 04:00:00,FTM/USD,0.7799,0.8134,0.7422,0.7713,2776036.008459,2141156.5733244265
1651464000000,2022-05-02 04:00:00,FTM/USD,0.7834,0.8042,0.7232,0.7799,2575496.934668,2008630.0593475732
1651377600000,2022-05-01 04:00:00,FTM/USD,0.6918,0.8073,0.6689,0.7834,3362937.566685,2634525.289741029
1651291200000,2022-04-30 04:00:00,FTM/USD,0.8386,0.8437,0.6525,0.6918,2880985.278226,1993065.6154767466
1651204800000,2022-04-29 04:00:00,FTM/USD,0.959,0.9647,0.8002,0.8386,1667700.045062,1398533.2577889932
1651118400000,2022-04-28 04:00:00,FTM/USD,0.9865,1.0165,0.95,0.959,941246.492686,902655.386485874
1651032000000,2022-04-27 04:00:00,FTM/USD,0.9863,0.9981,0.9747,0.9865,678616.325628,669455.005232022
1650945600000,2022-04-26 04:00:00,FTM/USD,1.065,1.0754,0.9571,0.9863,1605511.928693,1583516.415269906
1650859200000,2022-04-25 04:00:00,FTM/USD,1.0386,1.0844,0.9865,1.065,1114228.120478,1186652.94830907
1650772800000,2022-04-24 04:00:00,FTM/USD,1.0979,1.1005,1.018,1.0386,591267.146594,614090.0584525284
1650686400000,2022-04-23 04:00:00,FTM/USD,1.09,1.1239,1.0825,1.0979,445444.57481,489053.5986838991
1650600000000,2022-04-22 04:00:00,FTM/USD,1.127,1.1488,1.0881,1.09,1340693.826464,1461356.2708457601
1650513600000,2022-04-21 04:00:00,FTM/USD,1.1888,1.2091,1.1,1.127,897476.583758,1011456.109895266
1650427200000,2022-04-20 04:00:00,FTM/USD,1.1752,1.1908,1.1752,1.1888,31514.19637,37464.076644656
1650340800000,2022-04-19 04:00:00,FTM/USD,1.1361,1.1926,1.1339,1.1752,435634.517325,511957.68476034
1650254400000,2022-04-18 04:00:00,FTM/USD,1.121,1.1579,1.0573,1.1361,1048597.361943,1191311.4629034423
1650168000000,2022-04-17 04:00:00,FTM/USD,1.1487,1.1656,1.1061,1.121,246161.369514,275946.895225194
1650081600000,2022-04-16 04:00:00,FTM/USD,1.1716,1.176,1.1317,1.1487,606682.494838,696896.1818204107
1649995200000,2022-04-15 04:00:00,FTM/USD,1.1782,1.1843,1.15,1.1716,594262.407992,696237.8372034272
1649908800000,2022-04-14 04:00:00,FTM/USD,1.208,1.224,1.1357,1.1782,379875.948196,447569.84216452716
