https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume USD
1655697600000,2022-06-20 04:00:00,GALA/USD,0.05389,0.05779,0.05325,0.05544,1263554.1625,70051.44276900002
1655611200000,2022-06-19 04:00:00,GALA/USD,0.05144,0.05682,0.05062,0.05389,957716.214262,51611.326786579186
1655524800000,2022-06-18 04:00:00,GALA/USD,0.0561,0.05644,0.04983,0.05144,10525446.722398,541428.9794001532
1655438400000,2022-06-17 04:00:00,GALA/USD,0.05562,0.05785,0.05531,0.0561,778339.199316,43664.8290816276
1655352000000,2022-06-16 04:00:00,GALA/USD,0.06199,0.06199,0.05416,0.05562,658361.06384,36618.0423707808
1655265600000,2022-06-15 04:00:00,GALA/USD,0.05751,0.0663,0.05477,0.06199,2150957.901257,133337.88029892143
1655179200000,2022-06-14 04:00:00,GALA/USD,0.06421,0.06652,0.05751,0.05751,3429635.436214,197238.33393666713
1655092800000,2022-06-13 04:00:00,GALA/USD,0.05714,0.06527,0.05029,0.06421,7902336.839312,507409.04845222353
1655006400000,2022-06-12 04:00:00,GALA/USD,0.05869,0.06386,0.05333,0.05714,5710863.302559,326318.7291082213
1654920000000,2022-06-11 04:00:00,GALA/USD,0.07017,0.07108,0.05758,0.05869,3662646.60316,214960.7291394604
1654833600000,2022-06-10 04:00:00,GALA/USD,0.07552,0.07577,0.06829,0.07017,3370385.753833,236499.9683464616
1654747200000,2022-06-09 04:00:00,GALA/USD,0.07604,0.07805,0.07381,0.07552,1827773.555438,138033.45890667776
1654660800000,2022-06-08 04:00:00,GALA/USD,0.07791,0.07965,0.07389,0.07604,1393380.16408,105952.6276766432
1654574400000,2022-06-07 04:00:00,GALA/USD,0.08113,0.08506,0.0773,0.07791,3195527.659457,248963.55994829486
1654488000000,2022-06-06 04:00:00,GALA/USD,0.07745,0.09027,0.0768,0.08113,4339208.801729,352040.01008427376
1654401600000,2022-06-05 04:00:00,GALA/USD,0.07377,0.07745,0.07248,0.07745,1075074.462123,83264.51709142636
1654315200000,2022-06-04 04:00:00,GALA/USD,0.07173,0.07582,0.07173,0.07377,928005.087822,68458.93532862894
1654228800000,2022-06-03 04:00:00,GALA/USD,0.07577,0.07577,0.07086,0.07173,829294.049134,59485.26214438182
1654142400000,2022-06-02 04:00:00,GALA/USD,0.07277,0.07746,0.07216,0.07577,1351663.072008,102415.51096604616
1654056000000,2022-06-01 04:00:00,GALA/USD,0.08035,0.08311,0.07157,0.07277,2078214.178275,151231.64575307176
1653969600000,2022-05-31 04:00:00,GALA/USD,0.08584,0.08638,0.0796,0.08035,4611300.608911,370518.00392599887
1653883200000,2022-05-30 04:00:00,GALA/USD,0.08121,0.0879,0.07874,0.08584,2265445.988091,194465.88361773142
1653796800000,2022-05-29 04:00:00,GALA/USD,0.0712,0.08229,0.0705,0.08121,1619844.473286,131547.56967555606
1653710400000,2022-05-28 04:00:00,GALA/USD,0.07155,0.07328,0.0699,0.0712,639536.003939,45534.9634804568
1653624000000,2022-05-27 04:00:00,GALA/USD,0.07213,0.07427,0.06784,0.07155,1789949.184919,128070.86418095445
1653537600000,2022-05-26 04:00:00,GALA/USD,0.08191,0.08191,0.06937,0.07213,1671117.165005,120537.68111181066
1653451200000,2022-05-25 04:00:00,GALA/USD,0.08308,0.08308,0.08127,0.08191,83278.943101,6821.37822940291
