https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USD
1655697600000,2022-06-20 04:00:00,GRT/USD,0.0996,0.1083,0.0983,0.1025,477458.791093,48939.52608703249
1655611200000,2022-06-19 04:00:00,GRT/USD,0.0958,0.104,0.0925,0.0996,768556.544323,76548.2318145708
1655524800000,2022-06-18 04:00:00,GRT/USD,0.0973,0.1,0.0891,0.0958,823486.345089,78889.9918595262
1655438400000,2022-06-17 04:00:00,GRT/USD,0.0972,0.1018,0.0953,0.0973,322272.010949,31357.0666653377
1655352000000,2022-06-16 04:00:00,GRT/USD,0.1091,0.1091,0.0943,0.0972,73437.313306,7138.106853343199
1655265600000,2022-06-15 04:00:00,GRT/USD,0.099,0.1161,0.0958,0.1091,815745.749529,88997.8612736139
1655179200000,2022-06-14 04:00:00,GRT/USD,0.1029,0.1156,0.099,0.099,699808.190207,69281.010830493
1655092800000,2022-06-13 04:00:00,GRT/USD,0.1052,0.1139,0.0952,0.1029,1218080.071907,125340.4393992303
1655006400000,2022-06-12 04:00:00,GRT/USD,0.1166,0.1238,0.1006,0.1052,802613.286263,84434.9177148676
1654920000000,2022-06-11 04:00:00,GRT/USD,0.139,0.141,0.1128,0.1166,1059815.072035,123574.43739928099
1654833600000,2022-06-10 04:00:00,GRT/USD,0.1483,0.1495,0.1353,0.139,295474.82606,41071.00082234
1654747200000,2022-06-09 04:00:00,GRT/USD,0.1467,0.1519,0.1442,0.1483,205506.955948,30476.681567088395
1654660800000,2022-06-08 04:00:00,GRT/USD,0.149,0.1521,0.1434,0.1467,96514.433902,14158.6674534234
1654574400000,2022-06-07 04:00:00,GRT/USD,0.149,0.1581,0.1478,0.149,233006.286621,34717.936706529
1654488000000,2022-06-06 04:00:00,GRT/USD,0.1648,0.1692,0.1452,0.149,263972.650869,39331.924979481
1654401600000,2022-06-05 04:00:00,GRT/USD,0.1701,0.1715,0.1554,0.1648,180239.915465,29703.538068632
1654315200000,2022-06-04 04:00:00,GRT/USD,0.1454,0.1744,0.1453,0.1701,934578.109207,158971.7363761107
1654228800000,2022-06-03 04:00:00,GRT/USD,0.1518,0.1526,0.1436,0.1454,288994.135022,42019.7472321988
1654142400000,2022-06-02 04:00:00,GRT/USD,0.1426,0.153,0.1405,0.1518,255731.951403,38820.110222975396
1654056000000,2022-06-01 04:00:00,GRT/USD,0.1549,0.1648,0.142,0.1426,322712.980914,46018.8710783364
1653969600000,2022-05-31 04:00:00,GRT/USD,0.1573,0.1654,0.1486,0.1549,323808.76509,50157.977712441
1653883200000,2022-05-30 04:00:00,GRT/USD,0.15,0.1607,0.1474,0.1573,862823.690764,135722.1665571772
1653796800000,2022-05-29 04:00:00,GRT/USD,0.1352,0.1522,0.1341,0.15,172007.490527,25801.123579049996
1653710400000,2022-05-28 04:00:00,GRT/USD,0.1375,0.1421,0.1333,0.1352,155834.558377,21068.832292570398
1653624000000,2022-05-27 04:00:00,GRT/USD,0.1386,0.1443,0.1316,0.1375,234808.584551,32286.180375762502
1653537600000,2022-05-26 04:00:00,GRT/USD,0.1495,0.1495,0.1314,0.1386,122421.592409,16967.632707887402
1653451200000,2022-05-25 04:00:00,GRT/USD,0.1569,0.1569,0.1494,0.1495,6801.627591,1016.8433248545
1653364800000,2022-05-24 04:00:00,GRT/USD,0.1597,0.1609,0.1438,0.1569,788318.577799,123687.18485666311
1653278400000,2022-05-23 04:00:00,GRT/USD,0.1624,0.1743,0.1526,0.1597,1065237.997125,170118.5081408625
1653192000000,2022-05-22 04:00:00,GRT/USD,0.1578,0.1678,0.1551,0.1624,448280.830415,72800.80685939599
