https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1655697600000,2022-06-20 04:00:00,MANA/USD,0.7998,0.8481,0.79161,0.81606,96497.694492,78747.90856714152
1655611200000,2022-06-19 04:00:00,MANA/USD,0.75875,0.83502,0.74666,0.7998,144124.881004,115271.0798269992
1655524800000,2022-06-18 04:00:00,MANA/USD,0.82718,0.83113,0.72477,0.75875,395035.351167,299733.0726979613
1655438400000,2022-06-17 04:00:00,MANA/USD,0.8182,0.87338,0.81747,0.82718,252533.467972,208890.63403707897
1655352000000,2022-06-16 04:00:00,MANA/USD,0.89343,0.89343,0.79827,0.8182,82419.469915,67435.610284453
1655265600000,2022-06-15 04:00:00,MANA/USD,0.78184,0.93596,0.78184,0.89343,142278.135781,127115.55485081881
1655179200000,2022-06-14 04:00:00,MANA/USD,0.84306,0.87605,0.78107,0.78184,267860.321957,209423.91411886088
1655092800000,2022-06-13 04:00:00,MANA/USD,0.7964,0.88274,0.74164,0.84306,696864.07739,587498.2290844134
1655006400000,2022-06-12 04:00:00,MANA/USD,0.78218,0.87722,0.74888,0.7964,378902.875195,301758.249805298
1654920000000,2022-06-11 04:00:00,MANA/USD,0.90513,0.91468,0.7528,0.78218,480096.085311,375521.55600855796
1654833600000,2022-06-10 04:00:00,MANA/USD,0.97366,0.97594,0.88204,0.90513,124512.415031,112699.92221700902
1654747200000,2022-06-09 04:00:00,MANA/USD,0.99027,1.00327,0.95065,0.97366,51224.930091,49875.66543240306
1654660800000,2022-06-08 04:00:00,MANA/USD,0.99289,0.99624,0.96616,0.99027,17427.584481,17258.01408399987
1654574400000,2022-06-07 04:00:00,MANA/USD,0.96372,1.03575,0.94616,0.99289,209252.756152,207764.96905575928
1654488000000,2022-06-06 04:00:00,MANA/USD,1.03051,1.058,0.93905,0.96372,738333.700709,711546.9540472775
1654401600000,2022-06-05 04:00:00,MANA/USD,0.96508,1.03064,0.95831,1.03051,64609.313144,66580.54328802344
