https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume USD
1655697600000,2022-06-20 04:00:00,PAXG/USD,1850.0,1850.0,1839.1,1848.25,5.59465008,10340.31201036
1655611200000,2022-06-19 04:00:00,PAXG/USD,1832.26,1850.0,1821.07,1850.0,49.28135157,91170.5004045
1655524800000,2022-06-18 04:00:00,PAXG/USD,1844.13,1848.49,1820.84,1832.26,111.1067217,203576.40190204198
1655438400000,2022-06-17 04:00:00,PAXG/USD,1849.97,1858.65,1833.88,1844.13,118.37764145,218303.7599271885
1655352000000,2022-06-16 04:00:00,PAXG/USD,1836.03,1869.08,1836.03,1849.97,141.01511755,260873.73701397353
1655265600000,2022-06-15 04:00:00,PAXG/USD,1823.42,1847.95,1823.42,1836.03,25.90571331,47563.6668085593
1655179200000,2022-06-14 04:00:00,PAXG/USD,1830.58,1843.99,1805.62,1823.42,236.40689667,431069.0635260114
1655092800000,2022-06-13 04:00:00,PAXG/USD,1863.57,1868.25,1819.0,1830.58,929.45365712,1701439.2756507294
1655006400000,2022-06-12 04:00:00,PAXG/USD,1875.32,1892.78,1859.53,1863.57,62.9703605,117349.674716985
1654920000000,2022-06-11 04:00:00,PAXG/USD,1881.43,1886.86,1871.14,1875.32,127.88523691,239825.7424820612
1654833600000,2022-06-10 04:00:00,PAXG/USD,1846.0,1881.85,1829.3,1881.43,113.60273298,213735.5899105614
1654747200000,2022-06-09 04:00:00,PAXG/USD,1859.12,1870.9,1842.22,1846.0,104.52360254,192950.57028884
1654660800000,2022-06-08 04:00:00,PAXG/USD,1850.01,1860.74,1850.01,1859.12,1.20023298,2231.3771377775997
1654574400000,2022-06-07 04:00:00,PAXG/USD,1843.2,1858.44,1839.1,1850.01,6.17871805,11430.6901796805
1654488000000,2022-06-06 04:00:00,PAXG/USD,1860.23,1860.23,1839.11,1843.2,51.12376487,94231.323408384
1654401600000,2022-06-05 04:00:00,PAXG/USD,1860.74,1863.26,1848.55,1860.23,58.9183745,109601.727796135
1654315200000,2022-06-04 04:00:00,PAXG/USD,1851.84,1860.74,1847.68,1860.74,7.4826961,13923.351941114
1654228800000,2022-06-03 04:00:00,PAXG/USD,1871.0,1871.0,1850.21,1851.84,26.5444367,49156.049658528
1654142400000,2022-06-02 04:00:00,PAXG/USD,1844.98,1876.14,1844.71,1871.0,101.70954037,190298.55003227
1654056000000,2022-06-01 04:00:00,PAXG/USD,1836.86,1852.18,1829.98,1844.98,15.73747094,29035.3191348812
1653969600000,2022-05-31 04:00:00,PAXG/USD,1851.88,1857.76,1829.0,1836.86,26.61214765,48882.789532379
1653883200000,2022-05-30 04:00:00,PAXG/USD,1857.5,1864.27,1849.98,1851.88,5.94879531,11016.4550586828
1653796800000,2022-05-29 04:00:00,PAXG/USD,1854.19,1857.5,1844.54,1857.5,10.8241514,20105.8612255
