https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QNT,Volume USD
1655697600000,2022-06-20 04:00:00,QNT/USD,53.73,57.56,53.53,54.85,531.35527,29144.836559500003
1655611200000,2022-06-19 04:00:00,QNT/USD,47.05,59.69,46.33,53.73,1001.315159,53800.663493069995
1655524800000,2022-06-18 04:00:00,QNT/USD,46.13,51.11,42.92,47.05,1086.878073,51137.61333465
1655438400000,2022-06-17 04:00:00,QNT/USD,45.0,46.73,43.49,46.13,264.069829,12181.541211770002
1655352000000,2022-06-16 04:00:00,QNT/USD,49.42,49.42,43.05,45.0,380.806829,17136.307305
1655265600000,2022-06-15 04:00:00,QNT/USD,47.75,52.28,44.32,49.42,688.289052,34015.24494984
1655179200000,2022-06-14 04:00:00,QNT/USD,51.01,52.94,46.37,47.75,951.151202,45417.4698955
1655092800000,2022-06-13 04:00:00,QNT/USD,48.73,51.58,41.0,51.01,1944.183135,99172.78171635
1655006400000,2022-06-12 04:00:00,QNT/USD,54.3,55.91,46.51,48.73,540.132645,26320.663790849998
1654920000000,2022-06-11 04:00:00,QNT/USD,61.6,65.65,52.31,54.3,1720.550596,93425.8973628
1654833600000,2022-06-10 04:00:00,QNT/USD,63.71,63.82,60.26,61.6,335.444458,20663.3786128
1654747200000,2022-06-09 04:00:00,QNT/USD,64.15,65.0,62.48,63.71,323.43089,20605.7820019
1654660800000,2022-06-08 04:00:00,QNT/USD,64.57,66.97,63.91,64.15,245.507737,15749.32132855
1654574400000,2022-06-07 04:00:00,QNT/USD,65.36,66.87,63.28,64.57,345.876047,22333.216354789998
1654488000000,2022-06-06 04:00:00,QNT/USD,68.26,69.59,63.61,65.36,292.510835,19118.5081756
1654401600000,2022-06-05 04:00:00,QNT/USD,65.06,68.78,64.62,68.26,270.793331,18484.352774060004
1654315200000,2022-06-04 04:00:00,QNT/USD,64.09,65.98,63.91,65.06,173.096116,11261.63330696
1654228800000,2022-06-03 04:00:00,QNT/USD,68.54,68.54,63.91,64.09,164.99695,10574.6545255
1654142400000,2022-06-02 04:00:00,QNT/USD,67.18,69.11,65.38,68.54,130.074242,8915.28854668
1654056000000,2022-06-01 04:00:00,QNT/USD,69.19,72.69,65.82,67.18,399.293153,26824.514018540005
1653969600000,2022-05-31 04:00:00,QNT/USD,73.11,73.11,69.06,69.19,332.490647,23005.027865930002
1653883200000,2022-05-30 04:00:00,QNT/USD,68.31,73.85,68.0,73.11,381.37946,27882.6523206
1653796800000,2022-05-29 04:00:00,QNT/USD,64.8,69.0,64.8,68.31,173.311727,11838.92407137
1653710400000,2022-05-28 04:00:00,QNT/USD,62.77,66.82,62.65,64.8,136.340682,8834.8761936
1653624000000,2022-05-27 04:00:00,QNT/USD,63.51,64.73,60.81,62.77,731.459509,45913.713379930006
1653537600000,2022-05-26 04:00:00,QNT/USD,67.03,67.03,61.42,63.51,58.303152,3702.8331835199997
1653451200000,2022-05-25 04:00:00,QNT/USD,68.61,68.61,66.76,67.03,26.188512,1755.41595936
1653364800000,2022-05-24 04:00:00,QNT/USD,68.32,71.09,65.6,68.61,200.650634,13766.63999874
1653278400000,2022-05-23 04:00:00,QNT/USD,69.53,72.15,67.51,68.32,482.277813,32949.220184159996
1653192000000,2022-05-22 04:00:00,QNT/USD,68.0,70.31,66.84,69.53,161.063375,11198.736463750001
1653105600000,2022-05-21 04:00:00,QNT/USD,66.95,69.57,65.99,68.0,300.564099,20438.358732
1653019200000,2022-05-20 04:00:00,QNT/USD,66.87,71.02,64.76,66.95,131.56488,8808.268715999999
1652932800000,2022-05-19 04:00:00,QNT/USD,65.87,70.8,63.6,66.87,223.619229,14953.41784323
1652846400000,2022-05-18 04:00:00,QNT/USD,71.67,72.89,62.91,65.87,543.115518,35775.01917066
1652760000000,2022-05-17 04:00:00,QNT/USD,72.51,77.08,70.52,71.67,685.42379,49124.3230293
1652673600000,2022-05-16 04:00:00,QNT/USD,71.97,76.49,68.72,72.51,537.503737,38974.395969870006
1652587200000,2022-05-15 04:00:00,QNT/USD,69.48,75.89,68.41,71.97,659.413452,47457.98614044
