https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SAND,Volume USD
1655697600000,2022-06-20 04:00:00,SAND/USD,0.82371,0.88752,0.81353,0.86151,181517.071962,156378.7726659826
1655611200000,2022-06-19 04:00:00,SAND/USD,0.77067,0.86401,0.75959,0.82371,260341.289313,214445.72342001123
1655524800000,2022-06-18 04:00:00,SAND/USD,0.84146,0.84699,0.73,0.77067,662612.222666,510655.3616420062
1655438400000,2022-06-17 04:00:00,SAND/USD,0.84395,0.88843,0.83413,0.84146,288598.031861,242843.69988975706
1655352000000,2022-06-16 04:00:00,SAND/USD,0.92549,0.92549,0.8157,0.84395,145578.590849,122861.05174701355
1655265600000,2022-06-15 04:00:00,SAND/USD,0.85174,0.97665,0.8079,0.92549,259030.809894,239730.42424879808
1655179200000,2022-06-14 04:00:00,SAND/USD,0.90439,0.95068,0.84461,0.85174,519713.870272,442661.0918654733
1655092800000,2022-06-13 04:00:00,SAND/USD,0.88113,0.91621,0.77715,0.90439,967096.695327,874632.5802867855
1655006400000,2022-06-12 04:00:00,SAND/USD,0.99717,1.04978,0.85503,0.88113,651680.338864,574215.0969832364
1654920000000,2022-06-11 04:00:00,SAND/USD,1.20845,1.21623,0.97959,0.99717,427090.277103,425881.61161879846
1654833600000,2022-06-10 04:00:00,SAND/USD,1.29121,1.29448,1.18727,1.20845,175003.239016,211482.66418888522
1654747200000,2022-06-09 04:00:00,SAND/USD,1.30184,1.32076,1.2604,1.29121,116691.956359,150673.8209703044
1654660800000,2022-06-08 04:00:00,SAND/USD,1.28602,1.30677,1.28228,1.30184,52671.038425,68569.264663202
1654574400000,2022-06-07 04:00:00,SAND/USD,1.28429,1.34796,1.26599,1.28602,162439.468008,208900.40464764816
1654488000000,2022-06-06 04:00:00,SAND/USD,1.354,1.39241,1.25984,1.28429,195314.897584,250840.96981815534
1654401600000,2022-06-05 04:00:00,SAND/USD,1.2772,1.35808,1.27042,1.354,137854.846588,186655.462280152
1654315200000,2022-06-04 04:00:00,SAND/USD,1.26354,1.3,1.26301,1.2772,221634.751074,283071.90407171275
1654228800000,2022-06-03 04:00:00,SAND/USD,1.35728,1.35728,1.2394,1.26354,248918.749754,314518.7970641692
1654142400000,2022-06-02 04:00:00,SAND/USD,1.29699,1.37144,1.29674,1.35728,173367.757132,235308.58940012095
1654056000000,2022-06-01 04:00:00,SAND/USD,1.40341,1.43531,1.24965,1.29699,277413.835123,359802.97001617984
1653969600000,2022-05-31 04:00:00,SAND/USD,1.49836,1.50609,1.37988,1.40341,288966.526228,405538.5125736375
1653883200000,2022-05-30 04:00:00,SAND/USD,1.3444,1.52272,1.33567,1.49836,341067.112628,511041.31887729
1653796800000,2022-05-29 04:00:00,SAND/USD,1.27185,1.35724,1.26346,1.3444,179285.873394,241031.9281908936
1653710400000,2022-05-28 04:00:00,SAND/USD,1.30165,1.32294,1.25584,1.27185,201292.608802,256014.00450482368
1653624000000,2022-05-27 04:00:00,SAND/USD,1.31904,1.37149,1.24914,1.30165,457312.710928,595261.0901794311
1653537600000,2022-05-26 04:00:00,SAND/USD,1.48065,1.48065,1.27326,1.31904,277990.707913,366680.86336556356
1653451200000,2022-05-25 04:00:00,SAND/USD,1.30731,1.51423,1.30731,1.48065,30564.113474,45254.7546152781
1653364800000,2022-05-24 04:00:00,SAND/USD,1.30846,1.32587,1.21843,1.30731,502860.347034,657394.3602810185
1653278400000,2022-05-23 04:00:00,SAND/USD,1.40412,1.44237,1.27095,1.30846,314370.781697,411341.59301925666
1653192000000,2022-05-22 04:00:00,SAND/USD,1.34382,1.45767,1.31375,1.40412,192129.93814,269773.4887411368
1653105600000,2022-05-21 04:00:00,SAND/USD,1.28123,1.38733,1.26127,1.34382,197856.652557,265883.72683914774
1653019200000,2022-05-20 04:00:00,SAND/USD,1.29507,1.38144,1.21754,1.28123,293530.605498,376080.2176822026
1652932800000,2022-05-19 04:00:00,SAND/USD,1.19962,1.34588,1.1496,1.29507,274809.460373,355897.4878452611
1652846400000,2022-05-18 04:00:00,SAND/USD,1.32336,1.35008,1.13988,1.19962,631607.441515,757688.9189902241
1652760000000,2022-05-17 04:00:00,SAND/USD,1.35714,1.40347,1.29629,1.32336,326726.24195,432376.439546952
1652673600000,2022-05-16 04:00:00,SAND/USD,1.36755,1.38263,1.27897,1.35714,403533.432133,547651.3620849797
1652587200000,2022-05-15 04:00:00,SAND/USD,1.333,1.45931,1.30781,1.36755,350976.376576,479977.7437865088
1652500800000,2022-05-14 04:00:00,SAND/USD,1.43727,1.45121,1.22339,1.333,596519.425398,795160.394055534
1652414400000,2022-05-13 04:00:00,SAND/USD,1.45543,1.53333,1.25798,1.43727,885485.570901,1272681.8464888805
1652328000000,2022-05-12 04:00:00,SAND/USD,1.13433,1.7,0.93,1.45543,1240901.713637,1806045.5810786989
1652241600000,2022-05-11 04:00:00,SAND/USD,1.72188,1.72188,1.12978,1.13433,942344.248033,1068929.350871273
1652155200000,2022-05-10 04:00:00,SAND/USD,1.76653,2.00911,1.6505,1.72188,718685.443834,1237490.092028888
1652068800000,2022-05-09 04:00:00,SAND/USD,1.93749,1.97034,1.63388,1.76653,519702.427632,918069.9294847569
1651982400000,2022-05-08 04:00:00,SAND/USD,1.91308,2.05186,1.89569,1.93749,261736.664629,507112.1703520412
1651896000000,2022-05-07 04:00:00,SAND/USD,2.00229,2.05073,1.875,1.91308,162931.143766,311700.31251585926
1651809600000,2022-05-06 04:00:00,SAND/USD,2.122,2.12557,1.98158,2.00229,224584.633855,449683.5665215279
1651723200000,2022-05-05 04:00:00,SAND/USD,2.43351,2.43351,2.05437,2.122,320120.629855,679295.9765523099
1651636800000,2022-05-04 04:00:00,SAND/USD,2.1807,2.45687,2.13782,2.43351,248970.464324,605872.1146370972
1651550400000,2022-05-03 04:00:00,SAND/USD,2.13885,2.30099,2.0841,2.1807,210157.849709,458291.2228604163
1651464000000,2022-05-02 04:00:00,SAND/USD,2.11284,2.17745,2.01265,2.13885,264187.141479,565056.6675523592
1651377600000,2022-05-01 04:00:00,SAND/USD,1.98418,2.19609,1.95855,2.11284,313304.281054,661961.8171821333
1651291200000,2022-04-30 04:00:00,SAND/USD,2.31022,2.34321,1.8457,1.98418,742548.573653,1473350.0288708096
1651204800000,2022-04-29 04:00:00,SAND/USD,2.46893,2.48449,2.23009,2.31022,354215.158597,818314.9436939614
1651118400000,2022-04-28 04:00:00,SAND/USD,2.5094,2.57587,2.45887,2.46893,203393.347476,502163.93738392065
1651032000000,2022-04-27 04:00:00,SAND/USD,2.48471,2.54594,2.48471,2.5094,88088.114545,221048.31463922298
1650945600000,2022-04-26 04:00:00,SAND/USD,2.7258,2.7413,2.43368,2.48471,317558.139692,789039.8852741094
1650859200000,2022-04-25 04:00:00,SAND/USD,2.72318,2.74871,2.56627,2.7258,312301.919877,851272.5732007265
1650772800000,2022-04-24 04:00:00,SAND/USD,2.71007,2.83404,2.63,2.72318,298042.548725,811623.5078369456
1650686400000,2022-04-23 04:00:00,SAND/USD,2.70626,2.76427,2.67179,2.71007,152205.698313,412488.0968271119
1650600000000,2022-04-22 04:00:00,SAND/USD,2.7709,2.81452,2.69496,2.70626,135433.728893,366518.8831539701
1650513600000,2022-04-21 04:00:00,SAND/USD,2.89345,2.94895,2.68835,2.7709,336178.996007,931518.3800357963
1650427200000,2022-04-20 04:00:00,SAND/USD,3.01585,3.01585,2.87409,2.89345,14310.246276,41405.9820872922
1650340800000,2022-04-19 04:00:00,SAND/USD,2.72795,3.09424,2.72305,3.01585,406962.094818,1227336.6336568652
1650254400000,2022-04-18 04:00:00,SAND/USD,2.70904,2.78132,2.54702,2.72795,296450.527999,808702.217854872
1650168000000,2022-04-17 04:00:00,SAND/USD,2.79502,2.81312,2.65659,2.70904,451720.024367,1223727.6148111776
1650081600000,2022-04-16 04:00:00,SAND/USD,2.80351,2.91053,2.76965,2.79502,86916.637066,242933.7389322113
1649995200000,2022-04-15 04:00:00,SAND/USD,2.80848,2.84429,2.74886,2.80351,86668.299645,242975.44473775398
1649908800000,2022-04-14 04:00:00,SAND/USD,2.88078,2.89445,2.70843,2.80848,192613.557767,540951.3247174642
