https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume USD
1655697600000,2022-06-20 04:00:00,SNX/USD,2.1104,3.4106,2.1104,3.153,269058.912643,848342.7515633791
1655611200000,2022-06-19 04:00:00,SNX/USD,1.5179,2.1573,1.4969,2.1104,139314.266182,294008.82735049276
1655524800000,2022-06-18 04:00:00,SNX/USD,1.677,1.6924,1.4212,1.5179,33082.039403,50215.22760981371
1655438400000,2022-06-17 04:00:00,SNX/USD,1.7255,1.8002,1.6671,1.677,29747.752069,49886.980219713
1655352000000,2022-06-16 04:00:00,SNX/USD,1.9253,1.9253,1.7125,1.7255,21408.766334,36940.826309317
1655265600000,2022-06-15 04:00:00,SNX/USD,1.7617,2.0112,1.6534,1.9253,21626.330823,41637.174733521904
1655179200000,2022-06-14 04:00:00,SNX/USD,1.8527,1.9346,1.743,1.7617,68941.234228,121453.7723394676
1655092800000,2022-06-13 04:00:00,SNX/USD,1.9974,2.078,1.6952,1.8527,108223.888364,200506.3979719828
1655006400000,2022-06-12 04:00:00,SNX/USD,2.2739,2.3208,1.922,1.9974,83580.4301,166943.55108174
1654920000000,2022-06-11 04:00:00,SNX/USD,2.4941,2.5364,2.25,2.2739,25087.71424,57046.953410336
1654833600000,2022-06-10 04:00:00,SNX/USD,2.7212,2.7291,2.4404,2.4941,13832.910512,34500.6621079792
1654747200000,2022-06-09 04:00:00,SNX/USD,2.6432,2.7742,2.6125,2.7212,34130.467297,92875.82760859642
1654660800000,2022-06-08 04:00:00,SNX/USD,2.5625,2.7046,2.5625,2.6432,6408.349613,16938.549697081602
1654574400000,2022-06-07 04:00:00,SNX/USD,2.5566,2.7835,2.5259,2.5625,46868.415837,120100.3155823125
1654488000000,2022-06-06 04:00:00,SNX/USD,2.7106,2.9,2.5066,2.5566,28202.033046,72101.3176854036
1654401600000,2022-06-05 04:00:00,SNX/USD,2.6188,2.7111,2.5486,2.7106,6056.075796,16415.5990526376
1654315200000,2022-06-04 04:00:00,SNX/USD,2.6037,2.7426,2.6037,2.6188,17792.304757,46594.4876976316
1654228800000,2022-06-03 04:00:00,SNX/USD,2.9013,2.9013,2.5861,2.6037,15724.560517,40942.038218112895
1654142400000,2022-06-02 04:00:00,SNX/USD,2.7886,3.107,2.7643,2.9013,42632.673083,123690.17441570791
1654056000000,2022-06-01 04:00:00,SNX/USD,3.0682,3.3409,2.78,2.7886,37799.414646,105407.4476818356
1653969600000,2022-05-31 04:00:00,SNX/USD,3.2,3.434,3.0195,3.0682,80175.606724,245994.7965505768
1653883200000,2022-05-30 04:00:00,SNX/USD,2.8861,3.3907,2.8296,3.2,78415.664556,250930.12657920003
1653796800000,2022-05-29 04:00:00,SNX/USD,2.4523,2.9099,2.4327,2.8861,11815.746736,34101.426654769595
1653710400000,2022-05-28 04:00:00,SNX/USD,2.4634,2.536,2.3925,2.4523,10169.74384,24939.262818831998
1653624000000,2022-05-27 04:00:00,SNX/USD,2.3922,2.5145,2.3135,2.4634,36977.182396,91089.59111430639
1653537600000,2022-05-26 04:00:00,SNX/USD,2.639,2.639,2.313,2.3922,36128.190792,86425.8580126224
1653451200000,2022-05-25 04:00:00,SNX/USD,2.6811,2.6811,2.5856,2.639,5067.921798,13374.245624922
1653364800000,2022-05-24 04:00:00,SNX/USD,2.7576,2.7796,2.4856,2.6811,25845.533509,69294.4598909799
1653278400000,2022-05-23 04:00:00,SNX/USD,2.7351,2.9209,2.5599,2.7576,14927.696011,41164.6145199336
1653192000000,2022-05-22 04:00:00,SNX/USD,2.5925,2.8016,2.5819,2.7351,11674.568596,31931.112566919597
1653105600000,2022-05-21 04:00:00,SNX/USD,2.5723,2.6593,2.5122,2.5925,5618.637001,14566.316425092498
1653019200000,2022-05-20 04:00:00,SNX/USD,2.6871,2.7494,2.4662,2.5723,4926.976624,12673.661969915198
1652932800000,2022-05-19 04:00:00,SNX/USD,2.4985,2.7775,2.4075,2.6871,9914.888463,26642.2967889273
1652846400000,2022-05-18 04:00:00,SNX/USD,2.7286,2.8316,2.3552,2.4985,27307.878765,68228.73509435251
1652760000000,2022-05-17 04:00:00,SNX/USD,2.8501,2.9886,2.6475,2.7286,30587.723758,83461.6630460788
1652673600000,2022-05-16 04:00:00,SNX/USD,2.9354,2.9749,2.665,2.8501,38014.985341,108346.5097203841
1652587200000,2022-05-15 04:00:00,SNX/USD,2.6387,3.0919,2.6387,2.9354,32217.612302,94571.5791512908
1652500800000,2022-05-14 04:00:00,SNX/USD,2.6879,2.7865,2.4,2.6387,31681.002542,83596.6614075754
1652414400000,2022-05-13 04:00:00,SNX/USD,2.7312,2.9958,2.5846,2.6879,52440.566437,140954.9985260123
1652328000000,2022-05-12 04:00:00,SNX/USD,2.331,2.8233,2.1414,2.7312,140443.795424,383580.0940620288
1652241600000,2022-05-11 04:00:00,SNX/USD,3.2309,3.2309,2.3,2.331,116231.338622,270935.250327882
1652155200000,2022-05-10 04:00:00,SNX/USD,3.4002,3.7735,3.1302,3.2309,85216.314035,275325.3890156815
1652068800000,2022-05-09 04:00:00,SNX/USD,4.0983,4.1528,3.15,3.4002,140333.820926,477163.05791258515
1651982400000,2022-05-08 04:00:00,SNX/USD,4.2852,4.3782,4.0397,4.0983,35369.733412,144955.7784423996
1651896000000,2022-05-07 04:00:00,SNX/USD,4.5499,4.7442,4.1836,4.2852,21489.482586,92086.73077752719
1651809600000,2022-05-06 04:00:00,SNX/USD,4.5761,4.7536,4.3048,4.5499,29142.109878,132593.6857339122
1651723200000,2022-05-05 04:00:00,SNX/USD,5.0534,5.2178,4.3957,4.5761,44656.589641,204353.0198561801
1651636800000,2022-05-04 04:00:00,SNX/USD,4.6902,5.1022,4.6121,5.0534,21762.977746,109977.0317416364
1651550400000,2022-05-03 04:00:00,SNX/USD,4.6844,4.9564,4.5128,4.6902,20362.944222,95506.28099002439
1651464000000,2022-05-02 04:00:00,SNX/USD,4.7072,4.8832,4.3879,4.6844,15775.333714,73897.9732498616
1651377600000,2022-05-01 04:00:00,SNX/USD,4.4445,4.8883,4.3779,4.7072,10140.127527,47731.608295094404
1651291200000,2022-04-30 04:00:00,SNX/USD,5.096,5.1381,4.2395,4.4445,31298.311318,139105.344652851
1651204800000,2022-04-29 04:00:00,SNX/USD,5.5187,5.7695,4.9085,5.096,28227.148306,143845.547767376
1651118400000,2022-04-28 04:00:00,SNX/USD,5.6849,5.7828,5.4693,5.5187,13002.104432,71754.7137288784
1651032000000,2022-04-27 04:00:00,SNX/USD,5.6017,6.0001,5.6017,5.6849,11713.338143,66589.1560091407
1650945600000,2022-04-26 04:00:00,SNX/USD,6.1611,6.7518,5.3773,5.6017,67912.10635,380423.246140795
1650859200000,2022-04-25 04:00:00,SNX/USD,5.6651,6.3392,5.3086,6.1611,34020.627195,209604.4862111145
1650772800000,2022-04-24 04:00:00,SNX/USD,6.1669,6.1957,5.56,5.6651,15959.078716,90409.7768340116
1650686400000,2022-04-23 04:00:00,SNX/USD,5.443,6.1993,5.3859,6.1669,28560.601493,176130.37334718168
1650600000000,2022-04-22 04:00:00,SNX/USD,5.8816,6.012,5.3166,5.443,37238.33254,202688.24401522
1650513600000,2022-04-21 04:00:00,SNX/USD,6.7768,6.9271,5.8441,5.8816,22634.363416,133126.27186754558
1650427200000,2022-04-20 04:00:00,SNX/USD,6.14,6.9326,6.14,6.7768,9918.84693,67218.041875224
1650340800000,2022-04-19 04:00:00,SNX/USD,5.0748,6.3087,5.0748,6.14,126253.851882,775198.6505554799
1650254400000,2022-04-18 04:00:00,SNX/USD,5.0,5.2231,4.7608,5.0748,15011.890799,76182.3434267652
1650168000000,2022-04-17 04:00:00,SNX/USD,5.2194,5.3211,4.9828,5.0,16640.686298,83203.43149
1650081600000,2022-04-16 04:00:00,SNX/USD,5.4961,5.5022,5.1747,5.2194,6877.025337,35893.9460439378
1649995200000,2022-04-15 04:00:00,SNX/USD,5.4196,5.773,5.2695,5.4961,17651.414223,97013.9377110303
1649908800000,2022-04-14 04:00:00,SNX/USD,5.2466,5.6031,5.1252,5.4196,36202.730383,196204.3175837068
1649822400000,2022-04-13 04:00:00,SNX/USD,4.9583,5.2985,4.9583,5.2466,16406.298172,86077.2839892152
1649736000000,2022-04-12 04:00:00,SNX/USD,4.5636,5.0671,4.5636,4.9583,26753.965611,132654.18768902132
1649649600000,2022-04-11 04:00:00,SNX/USD,4.9504,5.0173,4.444,4.5636,26594.519617,121366.7497241412
1649563200000,2022-04-10 04:00:00,SNX/USD,5.3908,5.3908,4.9325,4.9504,11033.017845,54617.851539888004
1649476800000,2022-04-09 04:00:00,SNX/USD,5.2385,5.4331,5.1539,5.3908,23436.949572,126343.90775273759
1649390400000,2022-04-08 04:00:00,SNX/USD,5.7099,5.7902,5.1697,5.2385,14506.017383,75989.7720608455
1649304000000,2022-04-07 04:00:00,SNX/USD,5.4349,5.8447,5.4124,5.7099,28298.964414,161584.2569074986
1649217600000,2022-04-06 04:00:00,SNX/USD,5.9477,5.9477,5.2778,5.4349,16677.011047,90637.88733934029
1649131200000,2022-04-05 04:00:00,SNX/USD,6.9401,6.955,5.7923,5.9477,32589.702129,193833.7713526533
1649044800000,2022-04-04 04:00:00,SNX/USD,7.2097,7.4,6.6757,6.9401,48074.266436,333640.21649248357
1648958400000,2022-04-03 04:00:00,SNX/USD,7.2048,7.4624,7.036,7.2097,33407.326737,240856.80357574893
1648872000000,2022-04-02 04:00:00,SNX/USD,7.686,7.7899,7.0688,7.2048,52515.444689,378363.2758953072
1648785600000,2022-04-01 04:00:00,SNX/USD,7.0217,8.1663,6.7494,7.686,101679.310416,781507.1798573759
1648699200000,2022-03-31 04:00:00,SNX/USD,6.8945,7.2441,6.5521,7.0217,43557.850307,305850.1575006619
1648612800000,2022-03-30 04:00:00,SNX/USD,5.8301,6.9978,5.8301,6.8945,23094.169144,159222.749163308
1648526400000,2022-03-29 04:00:00,SNX/USD,5.4534,6.0487,5.4463,5.8301,18955.329143,110511.46443660429
1648440000000,2022-03-28 04:00:00,SNX/USD,5.4564,5.7714,5.2731,5.4534,27549.887422,150240.5560671348
1648353600000,2022-03-27 04:00:00,SNX/USD,5.1589,5.4564,5.1106,5.4564,9508.483246,51882.087983474405
1648267200000,2022-03-26 04:00:00,SNX/USD,5.069,5.267,5.0474,5.1589,24566.232245,126734.7355287305
1648180800000,2022-03-25 04:00:00,SNX/USD,5.2513,5.413,4.9756,5.069,46766.835815,237061.090746235
1648094400000,2022-03-24 04:00:00,SNX/USD,5.3211,5.5355,5.1545,5.2513,51629.67991,271122.938111383
1648008000000,2022-03-23 04:00:00,SNX/USD,5.0389,5.39,5.0389,5.3211,15012.338198,79882.15278537781
1647921600000,2022-03-22 04:00:00,SNX/USD,5.081,5.3934,5.0309,5.0389,62425.103683,314553.8549482687
1647835200000,2022-03-21 04:00:00,SNX/USD,5.1711,5.1711,4.9321,5.081,11277.703212,57302.010020172005
1647748800000,2022-03-20 04:00:00,SNX/USD,5.2999,5.4988,4.9117,5.1711,42701.28941,220812.637668051
1647662400000,2022-03-19 04:00:00,SNX/USD,5.1987,5.6259,5.0932,5.2999,119446.939422,633056.8342426578
1647576000000,2022-03-18 04:00:00,SNX/USD,4.3767,5.2836,4.3677,5.1987,105996.841707,551045.7809821808
1647489600000,2022-03-17 04:00:00,SNX/USD,4.2119,4.579,4.1842,4.3767,61148.31874,267627.846629358
1647403200000,2022-03-16 04:00:00,SNX/USD,3.9051,4.2989,3.9051,4.2119,28261.337836,119033.9288314484
1647316800000,2022-03-15 04:00:00,SNX/USD,3.8819,4.0825,3.7896,3.9051,16834.323568,65739.7169653968
1647230400000,2022-03-14 04:00:00,SNX/USD,3.9099,4.0222,3.8726,3.8819,48483.094342,188206.52392620977
1647144000000,2022-03-13 04:00:00,SNX/USD,4.2687,4.2833,3.8483,3.9099,12070.235476,47193.413687612396
1647057600000,2022-03-12 04:00:00,SNX/USD,4.1484,4.3416,4.108,4.2687,13071.834041,55799.7379708167
1646971200000,2022-03-11 04:00:00,SNX/USD,4.6222,4.6222,4.0952,4.1484,46469.918719,192775.8108138996
1646884800000,2022-03-10 04:00:00,SNX/USD,4.6294,4.9055,4.378,4.6222,72152.128513,333501.5684127886
1646798400000,2022-03-09 04:00:00,SNX/USD,4.3231,4.8279,4.3231,4.6294,27754.945724,128488.74573468561
