https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT
1655769600,2022-06-21 00:00:00,ALGO/USDT,0.3186,0.3199,0.3147,0.3179,581997.78193205,184674.309478605053
1655683200,2022-06-20 00:00:00,ALGO/USDT,0.3145,0.3268,0.3016,0.3187,15072096.01520704,4752300.923564578269
1655596800,2022-06-19 00:00:00,ALGO/USDT,0.2956,0.319,0.285,0.3146,21093856.53192943,6387328.687263082966
1655510400,2022-06-18 00:00:00,ALGO/USDT,0.3102,0.3147,0.2751,0.2957,19780825.32160438,5832310.07232144267
1655424000,2022-06-17 00:00:00,ALGO/USDT,0.302,0.3178,0.2989,0.3103,16468416.84225794,5094280.162310355808
1655337600,2022-06-16 00:00:00,ALGO/USDT,0.3403,0.3445,0.296,0.3021,17831222.97018589,5612133.625333305594
1655251200,2022-06-15 00:00:00,ALGO/USDT,0.3085,0.3415,0.2785,0.3403,35862878.71009125,10959365.490498617852
1655164800,2022-06-14 00:00:00,ALGO/USDT,0.304,0.3112,0.2824,0.3086,33022700.05112172,9940304.094034112572
1655078400,2022-06-13 00:00:00,ALGO/USDT,0.3249,0.3379,0.2884,0.3041,45952685.77598205,14031449.803919900979
1654992000,2022-06-12 00:00:00,ALGO/USDT,0.3507,0.3518,0.3239,0.325,19485229.82760978,6537604.848660396852
1654905600,2022-06-11 00:00:00,ALGO/USDT,0.3689,0.3798,0.3383,0.3506,13637742.73447067,4861169.100023614641
1654819200,2022-06-10 00:00:00,ALGO/USDT,0.4039,0.405,0.3631,0.369,10561683.79235384,4023135.372684222396
1654732800,2022-06-09 00:00:00,ALGO/USDT,0.4166,0.4184,0.3997,0.4042,6900281.59058759,2826563.819586219431
1654646400,2022-06-08 00:00:00,ALGO/USDT,0.3991,0.4317,0.3987,0.4164,15922420.33646702,6571913.47687639062
1654560000,2022-06-07 00:00:00,ALGO/USDT,0.4127,0.4134,0.3767,0.3991,9815105.21048779,3851314.31866517727
1654473600,2022-06-06 00:00:00,ALGO/USDT,0.3918,0.4246,0.3908,0.4127,7713557.15691454,3155733.00044341001
1654387200,2022-06-05 00:00:00,ALGO/USDT,0.3884,0.4029,0.3793,0.3921,7969694.61140033,3129414.236431096268
1654300800,2022-06-04 00:00:00,ALGO/USDT,0.3812,0.3904,0.3672,0.3885,7658980.17439559,2877781.474613231882
1654214400,2022-06-03 00:00:00,ALGO/USDT,0.3949,0.3973,0.3714,0.3811,8071283.24044692,3080672.200868480801
1654128000,2022-06-02 00:00:00,ALGO/USDT,0.3848,0.3972,0.3765,0.3948,10967523.49428004,4216481.281348998068
1654041600,2022-06-01 00:00:00,ALGO/USDT,0.4111,0.4287,0.3744,0.3849,18890178.77426836,7679232.535193568045
1653955200,2022-05-31 00:00:00,ALGO/USDT,0.4199,0.4253,0.3955,0.4111,14462578.53071617,5952280.485938988612
1653868800,2022-05-30 00:00:00,ALGO/USDT,0.3791,0.4237,0.3765,0.4202,14509486.0861548,5852567.023060873089
1653782400,2022-05-29 00:00:00,ALGO/USDT,0.3671,0.38,0.3527,0.3789,14037787.69649912,5140762.609887205136
1653696000,2022-05-28 00:00:00,ALGO/USDT,0.3606,0.3739,0.3548,0.3671,12409020.46903478,4530476.690186399525
1653609600,2022-05-27 00:00:00,ALGO/USDT,0.3793,0.3847,0.3557,0.3605,22910046.9812112,8449676.061753826435
1653523200,2022-05-26 00:00:00,ALGO/USDT,0.4058,0.4126,0.3663,0.3795,20611826.11524109,7979731.358729096729
1653436800,2022-05-25 00:00:00,ALGO/USDT,0.419,0.4294,0.3988,0.4056,12459184.71741444,5079187.33650253856
1653350400,2022-05-24 00:00:00,ALGO/USDT,0.4171,0.4221,0.3908,0.419,12406022.44049249,5058382.722572757168
1653264000,2022-05-23 00:00:00,ALGO/USDT,0.4426,0.4525,0.4106,0.417,13629937.75326131,5982370.111284591799
1653177600,2022-05-22 00:00:00,ALGO/USDT,0.4351,0.449,0.4241,0.4427,9375614.46391634,4103783.945787608111
1653091200,2022-05-21 00:00:00,ALGO/USDT,0.4332,0.4437,0.4215,0.4351,11386280.49868787,4912462.377064155996
1653004800,2022-05-20 00:00:00,ALGO/USDT,0.4515,0.4594,0.42,0.4334,12048124.78098853,5303208.779730092079
1652918400,2022-05-19 00:00:00,ALGO/USDT,0.4336,0.464,0.4211,0.4516,14947969.21321849,6608902.761093502768
1652832000,2022-05-18 00:00:00,ALGO/USDT,0.495,0.5043,0.4312,0.4334,16257494.47976552,7517545.389794257325
1652745600,2022-05-17 00:00:00,ALGO/USDT,0.4605,0.5082,0.4593,0.495,13360594.99023473,6498783.565619392575
1652659200,2022-05-16 00:00:00,ALGO/USDT,0.4903,0.4903,0.438,0.4603,13042478.97664286,6030965.856922216434
1652572800,2022-05-15 00:00:00,ALGO/USDT,0.4638,0.4941,0.444,0.491,11153085.55785815,5153704.005144181006
1652486400,2022-05-14 00:00:00,ALGO/USDT,0.443,0.4735,0.4186,0.4635,14433664.61635711,6431101.868038103786
1652400000,2022-05-13 00:00:00,ALGO/USDT,0.423,0.509,0.4149,0.443,21511396.35862456,10036911.598788062401
1652313600,2022-05-12 00:00:00,ALGO/USDT,0.4509,0.4807,0.3575,0.423,28370498.51905205,11575047.558426849084
1652227200,2022-05-11 00:00:00,ALGO/USDT,0.5849,0.6071,0.4055,0.4511,45654281.50349989,22427414.382674189188
1652140800,2022-05-10 00:00:00,ALGO/USDT,0.5736,0.6609,0.5521,0.5851,37600697.95959276,22980905.492279475787
1652054400,2022-05-09 00:00:00,ALGO/USDT,0.7293,0.7552,0.5669,0.5743,38315475.85318471,25248249.286120765039
1651968000,2022-05-08 00:00:00,ALGO/USDT,0.7488,0.7852,0.7078,0.7292,26279788.55009136,19485400.975380494873
1651881600,2022-05-07 00:00:00,ALGO/USDT,0.6975,0.775,0.6727,0.7488,41398606.69157273,30580327.152906530341
1651795200,2022-05-06 00:00:00,ALGO/USDT,0.6339,0.725,0.626,0.6975,29192251.09010363,19644470.840089230131
1651708800,2022-05-05 00:00:00,ALGO/USDT,0.716,0.7301,0.6147,0.634,14395564.24081317,9584052.167267359058
1651622400,2022-05-04 00:00:00,ALGO/USDT,0.6706,0.7186,0.653,0.7157,17436345.61880038,11863251.951494858688
1651536000,2022-05-03 00:00:00,ALGO/USDT,0.6162,0.7414,0.6114,0.6705,31169561.90689113,21550724.098897653434
1651449600,2022-05-02 00:00:00,ALGO/USDT,0.6015,0.6473,0.5799,0.6165,9311014.73750445,5639860.795858730947
1651363200,2022-05-01 00:00:00,ALGO/USDT,0.5671,0.6052,0.5639,0.6015,9913090.8413632,5790552.953363341858
1651276800,2022-04-30 00:00:00,ALGO/USDT,0.6381,0.6395,0.5368,0.5673,10604375.21705621,6356826.21165463875
1651190400,2022-04-29 00:00:00,ALGO/USDT,0.6985,0.7096,0.6187,0.638,10239897.37411873,6719772.326356789055
1651104000,2022-04-28 00:00:00,ALGO/USDT,0.6712,0.7154,0.6612,0.6988,9679464.06500981,6612961.425482031708
1651017600,2022-04-27 00:00:00,ALGO/USDT,0.6558,0.6782,0.649,0.6711,5525064.2950584,3671350.968990014841
1650931200,2022-04-26 00:00:00,ALGO/USDT,0.7031,0.728,0.6431,0.656,9142131.90049405,6262533.875052062716
1650844800,2022-04-25 00:00:00,ALGO/USDT,0.701,0.7057,0.6556,0.7032,8292165.0185356,5645813.267964263851
1650758400,2022-04-24 00:00:00,ALGO/USDT,0.7076,0.7147,0.6963,0.7011,3678245.23101239,2599268.268241627727
1650672000,2022-04-23 00:00:00,ALGO/USDT,0.7193,0.7233,0.7041,0.7068,3284860.26900505,2351365.941174158239
1650585600,2022-04-22 00:00:00,ALGO/USDT,0.718,0.7321,0.7116,0.7189,4587138.23162664,3310035.487085377777
1650499200,2022-04-21 00:00:00,ALGO/USDT,0.7413,0.7742,0.7089,0.7183,6243401.52535006,4656506.995728242456
1650412800,2022-04-20 00:00:00,ALGO/USDT,0.7592,0.7711,0.7306,0.7412,4424722.29264084,3320373.56219524394
1650326400,2022-04-19 00:00:00,ALGO/USDT,0.7364,0.7628,0.7286,0.7589,4208835.68330971,3149547.607422061936
1650240000,2022-04-18 00:00:00,ALGO/USDT,0.7103,0.7402,0.6879,0.7367,4009013.58293976,2863754.244506359847
1650153600,2022-04-17 00:00:00,ALGO/USDT,0.7436,0.7453,0.7061,0.7105,2121078.76888089,1551354.808955047902
1650067200,2022-04-16 00:00:00,ALGO/USDT,0.7391,0.7512,0.7282,0.7436,2180014.34981341,1611439.107031821572
1649980800,2022-04-15 00:00:00,ALGO/USDT,0.7264,0.7429,0.7213,0.7391,3440989.59709047,2522394.098701234066
1649894400,2022-04-14 00:00:00,ALGO/USDT,0.7459,0.7612,0.7136,0.7264,5376040.02158269,3972428.44302307987
1649808000,2022-04-13 00:00:00,ALGO/USDT,0.726,0.7478,0.7139,0.7461,6306209.43596254,4630790.262575263562
1649721600,2022-04-12 00:00:00,ALGO/USDT,0.6937,0.7445,0.6858,0.7252,7376705.27814349,5284419.417699323096
1649635200,2022-04-11 00:00:00,ALGO/USDT,0.7502,0.7606,0.6817,0.6935,8872174.89648136,6379976.218367665781
1649548800,2022-04-10 00:00:00,ALGO/USDT,0.7882,0.7899,0.7471,0.7503,3303607.65928849,2562740.697280487391
1649462400,2022-04-09 00:00:00,ALGO/USDT,0.7588,0.7896,0.7574,0.788,4174867.2306095,3235224.239999160186
1649376000,2022-04-08 00:00:00,ALGO/USDT,0.7992,0.8099,0.7516,0.7593,5737425.61260578,4507276.666522292623
1649289600,2022-04-07 00:00:00,ALGO/USDT,0.7657,0.8085,0.751,0.7994,6735012.74841594,5310888.426966128429
1649203200,2022-04-06 00:00:00,ALGO/USDT,0.8347,0.8373,0.765,0.7658,9729222.5455212,7788621.823062755806
1649116800,2022-04-05 00:00:00,ALGO/USDT,0.8825,0.9004,0.8308,0.8343,7532451.62171344,6548741.68775051196
1649030400,2022-04-04 00:00:00,ALGO/USDT,0.9353,0.9367,0.8501,0.8824,9554296.96198384,8570424.637355827315
1648944000,2022-04-03 00:00:00,ALGO/USDT,0.9063,0.9476,0.888,0.9353,6712436.44338917,6177339.846321809366
1648857600,2022-04-02 00:00:00,ALGO/USDT,0.9392,0.9768,0.8981,0.9065,9520030.20667336,9037103.498998670352
1648771200,2022-04-01 00:00:00,ALGO/USDT,0.9294,0.9624,0.8895,0.9394,7758528.6778448,7211185.053579935905
1648684800,2022-03-31 00:00:00,ALGO/USDT,0.9268,0.9884,0.9103,0.9295,11204558.54998149,10583508.246068811652
1648598400,2022-03-30 00:00:00,ALGO/USDT,0.9224,0.9556,0.882,0.9268,6828752.33928414,6336266.946861378148
1648512000,2022-03-29 00:00:00,ALGO/USDT,0.907,0.9636,0.8984,0.9228,6003957.53299402,5576015.736421676864
1648425600,2022-03-28 00:00:00,ALGO/USDT,0.9489,0.9736,0.8919,0.907,5887933.67121579,5589816.286594110346
1648339200,2022-03-27 00:00:00,ALGO/USDT,0.9115,0.95,0.8952,0.9495,4623521.01948604,4273890.235789396357
1648252800,2022-03-26 00:00:00,ALGO/USDT,0.8888,0.92,0.875,0.9121,4911246.5553644,4421603.482588500699
1648166400,2022-03-25 00:00:00,ALGO/USDT,0.8911,0.9492,0.8822,0.8895,11601648.48580865,10576289.834555905942
1648080000,2022-03-24 00:00:00,ALGO/USDT,0.8387,0.9083,0.8211,0.8907,7455367.51820427,6471157.757829391138
1647993600,2022-03-23 00:00:00,ALGO/USDT,0.8265,0.8389,0.8045,0.8384,5156041.02361992,4239879.64180295884
