https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AR,Volume USDT
1655769600,2022-06-21 00:00:00,AR/USDT,9.724,10.171,9.703,10.065,8474.5429302,84360.04449487872
1655683200,2022-06-20 00:00:00,AR/USDT,8.612,9.786,8.221,9.719,29378.95563089,268012.88766555504
1655596800,2022-06-19 00:00:00,AR/USDT,7.916,8.814,7.532,8.614,37128.78403119,302296.71820112511
1655510400,2022-06-18 00:00:00,AR/USDT,8.167,8.356,7.133,7.946,39025.83179353,299431.14490061456
1655424000,2022-06-17 00:00:00,AR/USDT,8.73,9.164,8.027,8.177,19699.21883776,168364.58046568539
1655337600,2022-06-16 00:00:00,AR/USDT,9.764,9.864,8.277,8.734,29108.93133514,261657.69746852907
1655251200,2022-06-15 00:00:00,AR/USDT,8.778,9.852,7.715,9.741,51867.16413972,440616.24506559266
1655164800,2022-06-14 00:00:00,AR/USDT,9.116,9.712,8,8.766,45466.370322,393630.00430479662
1655078400,2022-06-13 00:00:00,AR/USDT,10.058,10.277,8.442,9.089,60097.26071772,545098.03740562912
1654992000,2022-06-12 00:00:00,AR/USDT,11.102,11.148,9.942,10.058,28652.92879674,299145.4667390398
1654905600,2022-06-11 00:00:00,AR/USDT,12.33,12.624,10.8,11.08,18463.28488094,213411.7878689663
1654819200,2022-06-10 00:00:00,AR/USDT,13.279,13.567,12.205,12.332,11965.74125558,153206.01249100247
1654732800,2022-06-09 00:00:00,AR/USDT,13.837,14.225,12.955,13.268,18614.21320628,250543.06440259504
1654646400,2022-06-08 00:00:00,AR/USDT,14.055,14.787,13.354,13.873,30533.69556512,430336.88008511407
1654560000,2022-06-07 00:00:00,AR/USDT,13.028,14.765,12.262,14.058,26277.18538794,354986.04299168314
1654473600,2022-06-06 00:00:00,AR/USDT,12.715,13.945,12.679,13.087,18559.78081683,247510.67274676701
1654387200,2022-06-05 00:00:00,AR/USDT,12.822,12.97,12.379,12.75,5154.46466403,65404.50383160584
1654300800,2022-06-04 00:00:00,AR/USDT,12.492,12.96,12.01,12.839,5607.75062412,70720.43160883138
1654214400,2022-06-03 00:00:00,AR/USDT,13.25,13.392,12.15,12.5,15154.57989259,190410.36201008179
1654128000,2022-06-02 00:00:00,AR/USDT,13.01,13.354,12.678,13.25,13898.18564254,180764.41715468184
1654041600,2022-06-01 00:00:00,AR/USDT,15.274,15.34,12.965,13.023,23201.32147522,328056.04366503751
1653955200,2022-05-31 00:00:00,AR/USDT,15.184,16.415,14.335,15.291,35805.3765419,548636.04287388755
1653868800,2022-05-30 00:00:00,AR/USDT,13.317,15.595,13.22,15.248,28210.30759586,417610.19567320359
1653782400,2022-05-29 00:00:00,AR/USDT,13.087,13.505,12.662,13.342,13783.24365862,180497.2006228858
1653696000,2022-05-28 00:00:00,AR/USDT,13.019,13.532,12.852,13.082,21019.97197099,274794.78814909619
1653609600,2022-05-27 00:00:00,AR/USDT,13.877,14.167,12.314,13,32379.06541964,423246.66122794151
1653523200,2022-05-26 00:00:00,AR/USDT,14.581,15.006,12.858,13.819,26951.47259158,370692.39888655891
1653436800,2022-05-25 00:00:00,AR/USDT,14.685,15.777,14.376,14.556,20891.42833532,313297.17490722602
1653350400,2022-05-24 00:00:00,AR/USDT,14.722,15.312,13.63,14.65,19612.98182391,282490.09309163539
1653264000,2022-05-23 00:00:00,AR/USDT,15.705,16.419,14.426,14.694,16088.33124392,252066.9113628312
1653177600,2022-05-22 00:00:00,AR/USDT,14.975,16.017,14.861,15.705,14593.3623231,226089.95725763766
1653091200,2022-05-21 00:00:00,AR/USDT,14.485,15.306,14.059,14.978,19281.5341167,283025.38563166499
1653004800,2022-05-20 00:00:00,AR/USDT,15.493,15.897,14.256,14.516,25777.01633429,386270.75062408777
1652918400,2022-05-19 00:00:00,AR/USDT,14.256,15.72,13.612,15.487,29875.05110038,442858.36760778279
1652832000,2022-05-18 00:00:00,AR/USDT,15.668,16.121,14.025,14.244,29896.13447098,448242.53254259827
1652745600,2022-05-17 00:00:00,AR/USDT,15.485,16.5,14.715,15.668,34719.71870617,545427.4262980982
1652659200,2022-05-16 00:00:00,AR/USDT,18.82,19.119,15.265,15.469,46025.5854731,776458.74164648338
1652572800,2022-05-15 00:00:00,AR/USDT,15.48,19.734,14.705,18.827,51452.3682938,908994.12514961013
1652486400,2022-05-14 00:00:00,AR/USDT,13.8,15.636,12.966,15.483,20962.60319212,295674.12069968231
1652400000,2022-05-13 00:00:00,AR/USDT,15.033,16.471,13.289,13.689,60888.36141423,915444.85569896339
1652313600,2022-05-12 00:00:00,AR/USDT,14.838,16.6,9.894,15.052,109374.61648358,1429629.80191287429
1652227200,2022-05-11 00:00:00,AR/USDT,17.899,19.353,12.5,14.816,99365.58618478,1607236.04018788396
1652140800,2022-05-10 00:00:00,AR/USDT,17.044,20.45,15.895,17.922,69372.09881634,1268463.87880649927
1652054400,2022-05-09 00:00:00,AR/USDT,19.776,20.443,16.45,17.089,102318.83696724,1845313.49420582508
1651968000,2022-05-08 00:00:00,AR/USDT,20.221,20.56,19.362,19.735,22298.41738872,445732.89771570399
1651881600,2022-05-07 00:00:00,AR/USDT,22.241,22.299,20.002,20.223,19142.25243225,406251.59159598184
1651795200,2022-05-06 00:00:00,AR/USDT,22.64,22.979,21.193,22.228,21346.99797105,473327.91401409668
1651708800,2022-05-05 00:00:00,AR/USDT,26.308,26.985,22.145,22.652,23990.24197922,574385.87740948246
1651622400,2022-05-04 00:00:00,AR/USDT,24.343,26.55,23.802,26.267,18004.06106853,453433.58478292294
1651536000,2022-05-03 00:00:00,AR/USDT,24.856,25.621,24.078,24.356,12692.2660162,315007.26720712848
1651449600,2022-05-02 00:00:00,AR/USDT,25.139,25.408,22.951,24.815,16318.93509639,397221.00191538773
1651363200,2022-05-01 00:00:00,AR/USDT,22.752,25.637,22.499,25.149,22801.57583939,548667.41261138911
1651276800,2022-04-30 00:00:00,AR/USDT,25.201,25.986,22.022,22.754,16491.27934554,399465.87785465873
1651190400,2022-04-29 00:00:00,AR/USDT,26.201,26.641,24.206,25.201,20024.16116992,502083.33587029084
1651104000,2022-04-28 00:00:00,AR/USDT,26.51,27.434,25.94,26.241,13927.14099574,369774.45263220458
1651017600,2022-04-27 00:00:00,AR/USDT,26.333,28.307,25.852,26.507,35934.0572708,982887.21998680366
1650931200,2022-04-26 00:00:00,AR/USDT,27.677,28.386,24.797,26.264,20466.85085365,537455.43241325878
1650844800,2022-04-25 00:00:00,AR/USDT,26.749,27.883,25.39,27.684,19925.28512226,524553.29322009682
1650758400,2022-04-24 00:00:00,AR/USDT,27.871,28.81,26.716,26.791,10215.2161346,282790.68239528513
1650672000,2022-04-23 00:00:00,AR/USDT,28.429,28.68,27.782,27.836,6357.94847856,179745.64422657059
1650585600,2022-04-22 00:00:00,AR/USDT,28.2,29.381,28.066,28.377,19994.83754144,572414.26940026958
1650499200,2022-04-21 00:00:00,AR/USDT,29.814,30.595,27.642,28.211,20251.51287582,600148.20147180146
1650412800,2022-04-20 00:00:00,AR/USDT,30.958,31.87,27.789,29.792,26875.56959477,820072.02377831152
1650326400,2022-04-19 00:00:00,AR/USDT,30.403,31.381,29.544,30.975,25798.08314022,787901.97409236997
1650240000,2022-04-18 00:00:00,AR/USDT,28.693,30.398,27.752,30.392,19233.30142825,560725.01087434949
1650153600,2022-04-17 00:00:00,AR/USDT,29.792,30.362,28.559,28.741,7669.21599483,227606.76957621697
1650067200,2022-04-16 00:00:00,AR/USDT,30.239,30.561,29.339,29.845,9018.04410882,269957.24256055655
1649980800,2022-04-15 00:00:00,AR/USDT,30.255,30.697,29.853,30.271,11543.39264423,348522.91420268606
1649894400,2022-04-14 00:00:00,AR/USDT,31.642,32.313,29.79,30.265,18993.65934111,586267.1491006651
1649808000,2022-04-13 00:00:00,AR/USDT,31.687,32.004,30.095,31.691,30739.65660174,960074.43372219371
1649721600,2022-04-12 00:00:00,AR/USDT,30.058,32.664,29.78,31.647,34648.70474167,1082885.5605703334
1649635200,2022-04-11 00:00:00,AR/USDT,33.917,35.073,29.186,30.042,69881.3564486,2243490.10704867812
1649548800,2022-04-10 00:00:00,AR/USDT,34.232,35.349,33.7,33.959,20733.83476103,714782.48566220217
1649462400,2022-04-09 00:00:00,AR/USDT,33.391,34.901,32.91,34.269,17794.75787102,603640.64298895652
1649376000,2022-04-08 00:00:00,AR/USDT,34.313,35.502,32.972,33.285,54301.9129987,1865083.41529657902
1649289600,2022-04-07 00:00:00,AR/USDT,32.73,34.585,32.1,34.334,26823.37732881,899388.19731731082
1649203200,2022-04-06 00:00:00,AR/USDT,36.651,36.96,32.53,32.722,47336.68210848,1647191.4468026824
1649116800,2022-04-05 00:00:00,AR/USDT,38.976,39.542,36.601,36.671,43992.73633002,1671110.30468496082
1649030400,2022-04-04 00:00:00,AR/USDT,40.896,40.903,37.073,38.964,41543.23315451,1613392.86259798758
1648944000,2022-04-03 00:00:00,AR/USDT,39.201,41.792,38.141,40.888,48312.21662224,1939073.99978528905
1648857600,2022-04-02 00:00:00,AR/USDT,39.445,41.38,38.523,39.095,55916.22829861,2226574.03263245985
1648771200,2022-04-01 00:00:00,AR/USDT,36.823,39.873,34.671,39.455,52727.05217401,1978854.52819721843
1648684800,2022-03-31 00:00:00,AR/USDT,38.71,40.758,35.52,36.78,87326.97227699,3329960.49950880657
1648598400,2022-03-30 00:00:00,AR/USDT,39.237,41.5,36.35,38.779,68673.62821016,2674262.56081892084
1648512000,2022-03-29 00:00:00,AR/USDT,37.143,40.609,37.143,39.202,73409.18170781,2854524.04310331509
1648425600,2022-03-28 00:00:00,AR/USDT,37.615,40.304,36.2,37.078,102085.80323952,3918911.61162401864
1648339200,2022-03-27 00:00:00,AR/USDT,35.25,37.693,34,37.66,61997.78096938,2225884.80712062971
1648252800,2022-03-26 00:00:00,AR/USDT,34.287,35.675,33.41,35.229,43232.23251786,1490891.29953685225
1648166400,2022-03-25 00:00:00,AR/USDT,32.836,34.716,32,34.301,85076.56377924,2839696.26467962029
1648080000,2022-03-24 00:00:00,AR/USDT,32.943,33.536,32.145,32.79,39541.6724679,1302268.46654296208
1647993600,2022-03-23 00:00:00,AR/USDT,31.998,33.483,31.5,32.95,40989.16830701,1327729.53025375367
1647907200,2022-03-22 00:00:00,AR/USDT,32.747,34.269,31.679,31.986,28823.40831044,951785.17015486485
1647820800,2022-03-21 00:00:00,AR/USDT,32.382,33.431,31.398,32.799,17283.32116559,563234.80752104858
1647734400,2022-03-20 00:00:00,AR/USDT,33.832,35.52,31.988,32.354,28356.89979836,930651.14182254117
1647648000,2022-03-19 00:00:00,AR/USDT,33.859,36.556,33.51,33.887,25457.46013468,885205.44195988092
1647561600,2022-03-18 00:00:00,AR/USDT,33.647,35.019,32.508,33.858,34731.77937238,1184021.12965180421
1647475200,2022-03-17 00:00:00,AR/USDT,33.995,34.838,32.5,33.613,26716.63250325,895490.22998044067
1647388800,2022-03-16 00:00:00,AR/USDT,29.954,34.14,29.579,33.95,62795.35337955,2033066.76537210826
1647302400,2022-03-15 00:00:00,AR/USDT,30.749,31.326,29.639,29.948,24451.07116132,744415.78523752516
1647216000,2022-03-14 00:00:00,AR/USDT,30.379,31.95,29.579,30.768,18327.24366122,562104.138313132
1647129600,2022-03-13 00:00:00,AR/USDT,30.625,31.874,29.556,30.447,19594.41326778,601532.77482502748
1647043200,2022-03-12 00:00:00,AR/USDT,31.976,32.659,30.57,30.667,17835.31089746,563308.69059846935
1646956800,2022-03-11 00:00:00,AR/USDT,32.019,34.006,30.071,32.078,44204.90472869,1409534.75021733108
1646870400,2022-03-10 00:00:00,AR/USDT,37.211,38.075,31.778,31.938,53860.43604804,1870677.10634866454
1646784000,2022-03-09 00:00:00,AR/USDT,32.571,38.944,32.571,37.208,56444.45579273,2058930.23547906176
1646697600,2022-03-08 00:00:00,AR/USDT,29.774,33.188,29.513,32.559,53584.82410855,1694370.15532418809
1646611200,2022-03-07 00:00:00,AR/USDT,28.2,31.076,27.274,29.78,22936.26644685,669135.38302234276
1646524800,2022-03-06 00:00:00,AR/USDT,29.234,29.674,28.043,28.153,15628.02218258,448012.72386801634
1646438400,2022-03-05 00:00:00,AR/USDT,28.661,29.569,28,29.235,13773.04648191,393968.48610172221
1646352000,2022-03-04 00:00:00,AR/USDT,31.588,32.35,28.198,28.674,31777.21657518,960657.25532535676
1646265600,2022-03-03 00:00:00,AR/USDT,31.622,32.361,29.918,31.584,23848.29085394,740818.10820167232
1646179200,2022-03-02 00:00:00,AR/USDT,33.784,34.627,31.36,31.617,26256.40303161,867743.78522558801
1646092800,2022-03-01 00:00:00,AR/USDT,32,33.965,30.441,33.865,44928.02022302,1425272.04982187166
1646006400,2022-02-28 00:00:00,AR/USDT,28.89,32.686,28.032,32,41335.57178967,1265983.38242200218
1645920000,2022-02-27 00:00:00,AR/USDT,27.473,30.972,26.338,28.894,45245.87838545,1310726.95873320283
1645833600,2022-02-26 00:00:00,AR/USDT,29.258,30.344,27.22,27.426,22178.30140771,639998.91741694326
1645747200,2022-02-25 00:00:00,AR/USDT,27.567,30.006,26.894,29.246,28108.56012454,797367.2164852977
1645660800,2022-02-24 00:00:00,AR/USDT,25.771,27.883,22.206,27.559,44815.40770465,1094486.5215447192
1645574400,2022-02-23 00:00:00,AR/USDT,26.299,28.714,25.779,25.779,20194.56892347,552787.45790481886
1645488000,2022-02-22 00:00:00,AR/USDT,24.002,27.364,23.374,26.258,26983.13096876,678868.22640292105
1645401600,2022-02-21 00:00:00,AR/USDT,26.166,27.684,23.728,23.908,26453.5387296,683044.4896977595
