https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT
1655769600,2022-06-21 00:00:00,ATOM/USDT,6.8165,6.8536,6.675,6.7279,42498.92343313,287366.202620523542
1655683200,2022-06-20 00:00:00,ATOM/USDT,6.7737,6.9721,6.4845,6.8147,1375166.29509517,9245135.72727725089
1655596800,2022-06-19 00:00:00,ATOM/USDT,6.0811,6.8691,5.8509,6.7747,1659547.65726371,10503668.831807444636
1655510400,2022-06-18 00:00:00,ATOM/USDT,6.3819,6.5086,5.5521,6.0776,1166010.85644099,6953766.991856169415
1655424000,2022-06-17 00:00:00,ATOM/USDT,6.3443,6.6117,6.2499,6.3829,1117076.69372239,7201308.077153381552
1655337600,2022-06-16 00:00:00,ATOM/USDT,7.326,7.499,6.18,6.3385,1774868.31592704,11961523.029611742727
1655251200,2022-06-15 00:00:00,ATOM/USDT,6.3616,7.3382,5.923,7.3261,2460188.97148826,16203974.398059162528
1655164800,2022-06-14 00:00:00,ATOM/USDT,6.5011,6.7984,5.9453,6.36,2043880.60771566,13177330.275382709798
1655078400,2022-06-13 00:00:00,ATOM/USDT,7.0687,7.2057,5.8782,6.5063,2575582.40771931,16463212.155952652413
1654992000,2022-06-12 00:00:00,ATOM/USDT,7.559,7.7437,6.9236,7.0749,1464146.99745709,10707725.591729579399
1654905600,2022-06-11 00:00:00,ATOM/USDT,8.1081,8.3469,7.3573,7.553,1076269.10371513,8430600.978517885179
1654819200,2022-06-10 00:00:00,ATOM/USDT,8.7815,8.9982,8.0044,8.1056,1277463.87578651,10827271.98234999787
1654732800,2022-06-09 00:00:00,ATOM/USDT,8.7621,9.2053,8.6564,8.779,915888.52983741,8121046.7180213781
1654646400,2022-06-08 00:00:00,ATOM/USDT,9.1924,9.4357,8.6745,8.7616,842281.26293545,7548892.111234453857
1654560000,2022-06-07 00:00:00,ATOM/USDT,9.4649,9.4791,8.5648,9.1954,1111943.57035791,9933486.191913974882
1654473600,2022-06-06 00:00:00,ATOM/USDT,9.1764,9.7567,9.1521,9.463,568471.16873643,5389934.092920445282
1654387200,2022-06-05 00:00:00,ATOM/USDT,9.2516,9.3864,9.0367,9.1708,316958.31696961,2925041.51124381474
1654300800,2022-06-04 00:00:00,ATOM/USDT,9.1899,9.2888,8.9,9.2541,236533.21754053,2158221.651031127949
1654214400,2022-06-03 00:00:00,ATOM/USDT,9.629,9.6918,8.9368,9.1818,699045.29757325,6509302.414143507786
