https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EGLD,Volume USDT
1655769600,2022-06-21 00:00:00,EGLD/USDT,56.9,57.86,56.09,57.04,2443.1637432,138632.7146054929
1655683200,2022-06-20 00:00:00,EGLD/USDT,52.96,59.07,50.91,56.83,55245.75200043,3079575.3628869116
1655596800,2022-06-19 00:00:00,EGLD/USDT,45.73,54.32,43.25,52.9,51688.57547994,2491039.5578985166
1655510400,2022-06-18 00:00:00,EGLD/USDT,52.53,53.6,43.09,45.73,71515.40347549,3346649.7563811844
1655424000,2022-06-17 00:00:00,EGLD/USDT,50.49,55.73,50.21,52.52,43772.46171265,2298856.0918520311
1655337600,2022-06-16 00:00:00,EGLD/USDT,55.93,57.85,49.11,50.49,62560.10352656,3303276.3846524484
1655251200,2022-06-15 00:00:00,EGLD/USDT,45.81,58.35,41.34,55.93,76382.9731708,3658030.4351310167
1655164800,2022-06-14 00:00:00,EGLD/USDT,41.65,47.77,39.05,45.81,88286.62177669,3945819.6406114788
1655078400,2022-06-13 00:00:00,EGLD/USDT,44.93,45.58,38,41.58,133580.59829151,5492218.5751140883
1654992000,2022-06-12 00:00:00,EGLD/USDT,50.72,52.89,42.63,44.97,118246.13441315,5612035.7343951114
1654905600,2022-06-11 00:00:00,EGLD/USDT,56.59,57.5,49.43,50.66,72361.15973667,3833576.7753998035
1654819200,2022-06-10 00:00:00,EGLD/USDT,61.79,62.75,55.7,56.57,60124.7257654,3508286.315708448
1654732800,2022-06-09 00:00:00,EGLD/USDT,65.13,65.17,60.83,61.75,52950.46125761,3311456.5693591922
1654646400,2022-06-08 00:00:00,EGLD/USDT,66.61,68.38,64.99,65.12,60289.09392322,4011058.5912945352
1654560000,2022-06-07 00:00:00,EGLD/USDT,69.32,69.66,64.78,66.6,51203.70547799,3461626.4460796605
1654473600,2022-06-06 00:00:00,EGLD/USDT,73.12,74.52,64.22,69.46,182100.27870698,12692881.7176071431
1654387200,2022-06-05 00:00:00,EGLD/USDT,77.15,77.63,72.53,73.15,27016.66243508,2021901.2994162436
1654300800,2022-06-04 00:00:00,EGLD/USDT,77.37,78,75.4,76.96,12182.40579718,932464.9216696273
1654214400,2022-06-03 00:00:00,EGLD/USDT,77.97,79.17,75.38,77.42,20015.95819124,1535330.1847105306
1654128000,2022-06-02 00:00:00,EGLD/USDT,75.61,82.33,74.37,78.01,36536.35426829,2824301.0599182729
1654041600,2022-06-01 00:00:00,EGLD/USDT,81.48,86.26,75.09,75.61,30116.33926611,2401539.3871766915
1653955200,2022-05-31 00:00:00,EGLD/USDT,86.8,86.94,80.14,81.47,19622.59606242,1624858.6447631965
1653868800,2022-05-30 00:00:00,EGLD/USDT,82.79,88.04,80.69,86.8,37692.13571977,3143391.9172750356
1653782400,2022-05-29 00:00:00,EGLD/USDT,70.23,83.07,69.04,82.77,25738.47327411,1919321.9243007123
1653696000,2022-05-28 00:00:00,EGLD/USDT,67.6,71.27,67.08,70.23,18486.22235209,1278594.5925944152
1653609600,2022-05-27 00:00:00,EGLD/USDT,72.92,73.7,65.76,67.41,41592.68546618,2875784.4313100128
1653523200,2022-05-26 00:00:00,EGLD/USDT,87.5,87.89,72.71,72.92,43768.10287816,3425624.1931527007
1653436800,2022-05-25 00:00:00,EGLD/USDT,90.75,90.96,86.88,87.48,15414.41565278,1360289.6555723559
1653350400,2022-05-24 00:00:00,EGLD/USDT,90.91,91.81,88.49,90.75,17901.47187363,1620771.6848030126
1653264000,2022-05-23 00:00:00,EGLD/USDT,92.06,94.7,90.14,90.88,20551.47377747,1893691.9231275823
1653177600,2022-05-22 00:00:00,EGLD/USDT,91.71,93.65,90.12,92.09,17650.18133246,1621624.0030570291
1653091200,2022-05-21 00:00:00,EGLD/USDT,88.8,92.68,87.73,91.76,16123.04798182,1460311.0274068241
1653004800,2022-05-20 00:00:00,EGLD/USDT,91.96,93.78,86.28,88.6,34365.13112815,3087690.7628443382
1652918400,2022-05-19 00:00:00,EGLD/USDT,91.5,95.03,87.33,91.92,25708.97373637,2339696.682091761
1652832000,2022-05-18 00:00:00,EGLD/USDT,100.29,101.28,90.64,91.56,23892.72524055,2274991.6439982852
1652745600,2022-05-17 00:00:00,EGLD/USDT,94.08,109,93.65,100.32,29039.5356709,2886028.1843789519
1652659200,2022-05-16 00:00:00,EGLD/USDT,95.56,95.56,87.98,94.13,19409.03713206,1788570.7781657484
1652572800,2022-05-15 00:00:00,EGLD/USDT,88.52,96.09,85.55,95.6,13875.04216299,1282919.5870100784
1652486400,2022-05-14 00:00:00,EGLD/USDT,87.66,89.18,84.07,88.55,15603.74916769,1353719.0594812883
1652400000,2022-05-13 00:00:00,EGLD/USDT,77.94,92.96,77.08,87.61,42661.27358294,3675093.4026336702
1652313600,2022-05-12 00:00:00,EGLD/USDT,84.93,87.3,72.02,77.93,48335.21603898,3915939.1217642225
1652227200,2022-05-11 00:00:00,EGLD/USDT,108.18,110.35,80.11,85.02,93987.67111544,9100081.6934629817
1652140800,2022-05-10 00:00:00,EGLD/USDT,105.8,119.65,105,108.17,54812.98157591,6116450.025441164
1652054400,2022-05-09 00:00:00,EGLD/USDT,113.26,115.07,104.24,105.91,45573.94346054,4926879.7054694336
1651968000,2022-05-08 00:00:00,EGLD/USDT,116.05,117.77,112.06,113.17,15129.02732102,1736396.0404302133
1651881600,2022-05-07 00:00:00,EGLD/USDT,121.76,122.64,112.53,116.03,14929.81904019,1777158.8557845801
1651795200,2022-05-06 00:00:00,EGLD/USDT,124.96,126.39,118.05,121.73,19979.87146717,2440776.9132086607
