https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1655769600,2022-06-21 00:00:00,GMT/USDT,0.7592,0.7682,0.7438,0.7588,294462.5181219,222541.888925494004
1655683200,2022-06-20 00:00:00,GMT/USDT,0.7489,0.8311,0.7074,0.7594,13207627.63920642,10113175.63558766324
1655596800,2022-06-19 00:00:00,GMT/USDT,0.6008,0.7899,0.5851,0.7491,12655908.10916642,8280851.264393041791
1655510400,2022-06-18 00:00:00,GMT/USDT,0.6163,0.6288,0.5503,0.6006,12493932.17545624,7277535.691734806694
1655424000,2022-06-17 00:00:00,GMT/USDT,0.5945,0.6392,0.5854,0.6164,8136265.08883484,4994386.527714517687
1655337600,2022-06-16 00:00:00,GMT/USDT,0.6813,0.6968,0.5842,0.594,13182508.76987321,8341097.831032384939
1655251200,2022-06-15 00:00:00,GMT/USDT,0.635,0.6868,0.565,0.6812,17179386.22801131,10571347.330299040737
1655164800,2022-06-14 00:00:00,GMT/USDT,0.5923,0.7044,0.5625,0.635,14233310.71166553,9067546.884519597462
1655078400,2022-06-13 00:00:00,GMT/USDT,0.6641,0.6758,0.5347,0.5921,19317783.06340486,11440711.262013318036
1654992000,2022-06-12 00:00:00,GMT/USDT,0.799,0.8067,0.6627,0.6643,15000342.21254252,10761748.002597414779
1654905600,2022-06-11 00:00:00,GMT/USDT,0.908,0.9338,0.7725,0.7989,8146700.93796935,6832263.206185375686
1654819200,2022-06-10 00:00:00,GMT/USDT,0.9917,0.9974,0.8823,0.9079,6209680.36504881,5838903.998229255079
1654732800,2022-06-09 00:00:00,GMT/USDT,0.9683,1.0476,0.9517,0.992,6475764.76812632,6461068.770549401542
1654646400,2022-06-08 00:00:00,GMT/USDT,0.9573,1.0647,0.9336,0.9682,9805570.07776068,9771669.030939941198
1654560000,2022-06-07 00:00:00,GMT/USDT,1.0059,1.0144,0.9331,0.9577,8377998.52764187,8076595.376827077802
1654473600,2022-06-06 00:00:00,GMT/USDT,0.9365,1.0576,0.9297,1.0057,11082488.00980224,11166903.622309221283
1654387200,2022-06-05 00:00:00,GMT/USDT,0.9983,1.0008,0.9008,0.9359,9307254.72430857,8804931.598825743653
1654300800,2022-06-04 00:00:00,GMT/USDT,1.0126,1.0236,0.9869,0.998,4485034.32275974,4500821.720067850391
1654214400,2022-06-03 00:00:00,GMT/USDT,1.0532,1.0744,0.9824,1.0124,10197923.2998207,10398338.380047875426
1654128000,2022-06-02 00:00:00,GMT/USDT,1.0178,1.0839,0.9269,1.0528,14883393.50436674,15118663.534717853451
1654041600,2022-06-01 00:00:00,GMT/USDT,1.1837,1.1967,0.9687,1.0166,14785279.51335617,16034286.152542264735
1653955200,2022-05-31 00:00:00,GMT/USDT,1.2489,1.292,1.1127,1.1833,11497552.97103531,13713531.37672045301
1653868800,2022-05-30 00:00:00,GMT/USDT,1.0808,1.3076,1.0458,1.2498,16694952.44706493,20006932.949163054226
1653782400,2022-05-29 00:00:00,GMT/USDT,1.0393,1.1872,0.8665,1.0807,21659721.52004739,22102705.994757538091
1653696000,2022-05-28 00:00:00,GMT/USDT,1.042,1.0792,0.9918,1.0389,12603929.77188606,13085756.906822037342
1653609600,2022-05-27 00:00:00,GMT/USDT,0.8942,1.1565,0.801,1.0432,34882895.42510404,34187005.736624814235
1653523200,2022-05-26 00:00:00,GMT/USDT,1.3765,1.3893,0.8318,0.8938,31302818.46348757,31942718.850282327342
1653436800,2022-05-25 00:00:00,GMT/USDT,1.3995,1.4337,1.3558,1.3767,5459066.78735137,7589662.935020025133
1653350400,2022-05-24 00:00:00,GMT/USDT,1.3717,1.417,1.2822,1.3998,6556913.51028038,8964056.771909288442
1653264000,2022-05-23 00:00:00,GMT/USDT,1.418,1.5431,1.3438,1.3721,8972847.50510223,12961696.672037598672
1653177600,2022-05-22 00:00:00,GMT/USDT,1.3564,1.4473,1.3432,1.4181,5939309.41199462,8290155.217356984707
1653091200,2022-05-21 00:00:00,GMT/USDT,1.3423,1.4369,1.3055,1.3534,6590799.53826432,9004784.376294716435
1653004800,2022-05-20 00:00:00,GMT/USDT,1.4997,1.5863,1.2984,1.3432,12278087.65444307,17282130.477142176945
1652918400,2022-05-19 00:00:00,GMT/USDT,1.3819,1.5771,1.2708,1.5,9744100.70554641,13710168.224525749597
1652832000,2022-05-18 00:00:00,GMT/USDT,1.5853,1.6516,1.3077,1.3822,11113584.85578224,16720300.209387348281
1652745600,2022-05-17 00:00:00,GMT/USDT,1.4312,1.7039,1.4218,1.5867,9526067.04858851,14880750.271134972258
1652659200,2022-05-16 00:00:00,GMT/USDT,1.6214,1.6214,1.3835,1.4326,6313268.28188385,9246186.64782486023
1652572800,2022-05-15 00:00:00,GMT/USDT,1.5341,1.6563,1.3962,1.6204,9246559.48564984,14066799.937324769597
1652486400,2022-05-14 00:00:00,GMT/USDT,1.4879,1.5843,1.248,1.5319,8142599.18941467,11579230.640012608005
1652400000,2022-05-13 00:00:00,GMT/USDT,1.161,1.754,1.1242,1.4868,13610069.25936331,21198784.964542376443
1652313600,2022-05-12 00:00:00,GMT/USDT,1.3165,1.5073,0.8128,1.1604,18660031.70603694,20304432.253440491352
1652227200,2022-05-11 00:00:00,GMT/USDT,1.8007,1.883,1.1,1.314,31796081.02732202,47104366.656511601363
1652140800,2022-05-10 00:00:00,GMT/USDT,1.765,2.1836,1.6176,1.8003,26400673.5018268,50141815.740188306287
1652054400,2022-05-09 00:00:00,GMT/USDT,2.72,2.7492,1.7417,1.7695,16029041.47682433,37936113.481277959228
1651968000,2022-05-08 00:00:00,GMT/USDT,2.5643,2.7768,2.4582,2.7196,9929656.31089175,26003060.099569898151
1651881600,2022-05-07 00:00:00,GMT/USDT,2.5212,2.841,2.3902,2.5627,10360487.72459319,27536518.432736747995
1651795200,2022-05-06 00:00:00,GMT/USDT,2.7393,2.7504,2.3411,2.5186,10657088.01510447,26650078.202911805625
1651708800,2022-05-05 00:00:00,GMT/USDT,3.3422,3.408,2.5,2.7396,10467027.60756538,30451394.632623253011
1651622400,2022-05-04 00:00:00,GMT/USDT,3.2486,3.5669,3.1617,3.3457,7599668.06801905,25080645.889129372643
1651536000,2022-05-03 00:00:00,GMT/USDT,3.245,3.4536,3.1851,3.247,5324235.5173944,17592315.305025452319
1651449600,2022-05-02 00:00:00,GMT/USDT,3.5044,3.5495,3.1334,3.245,8953440.10651258,30142813.273067871202
1651363200,2022-05-01 00:00:00,GMT/USDT,3.6257,3.69,3.3738,3.5069,7900996.54828979,27853196.914401585736
1651276800,2022-04-30 00:00:00,GMT/USDT,3.9771,4.3989,3.5197,3.6321,13863911.78111491,54342862.952001697005
1651190400,2022-04-29 00:00:00,GMT/USDT,3.7621,4.337,3.4186,3.977,30270382.03567257,115255036.5398159754
1651104000,2022-04-28 00:00:00,GMT/USDT,3.8057,4.18,3.5699,3.7617,31453897.79036936,122618013.844157293191
1651017600,2022-04-27 00:00:00,GMT/USDT,3.3371,3.9521,3.2411,3.8057,17650011.10374898,64126311.296315149434
1650931200,2022-04-26 00:00:00,GMT/USDT,3.3159,3.4888,3.1704,3.3402,9293043.56375462,30953192.771022506574
1650844800,2022-04-25 00:00:00,GMT/USDT,3.3721,3.405,3.1311,3.316,8212102.1553099,26890787.373420199025
1650758400,2022-04-24 00:00:00,GMT/USDT,3.1482,3.4076,3.14,3.372,8048390.29426831,26230309.015503191577
1650672000,2022-04-23 00:00:00,GMT/USDT,3.176,3.449,3.096,3.1497,7508935.20215498,24307818.085659452327
1650585600,2022-04-22 00:00:00,GMT/USDT,3.1232,3.2865,3.0515,3.1756,7993656.29135706,25368666.446777361307
1650499200,2022-04-21 00:00:00,GMT/USDT,3.3599,3.5936,2.97,3.1238,15303091.64662054,49240478.510003578672
1650412800,2022-04-20 00:00:00,GMT/USDT,3.7097,3.8604,3.3,3.357,19954766.80768606,70301232.483762054279
1650326400,2022-04-19 00:00:00,GMT/USDT,3.191,3.8359,3.1345,3.7098,21499822.14373441,74916477.863864542879
1650240000,2022-04-18 00:00:00,GMT/USDT,2.4239,3.3107,2.2421,3.1915,23723283.3585109,66651836.606186095502
1650153600,2022-04-17 00:00:00,GMT/USDT,2.3793,2.6,2.3563,2.4239,8583949.16416586,21388933.662729652273
1650067200,2022-04-16 00:00:00,GMT/USDT,2.2997,2.4495,2.2402,2.3794,6074478.56584586,14300890.381825052408
1649980800,2022-04-15 00:00:00,GMT/USDT,2.228,2.3281,2.174,2.3003,4143604.97647885,9275396.191974350652
1649894400,2022-04-14 00:00:00,GMT/USDT,2.1762,2.3498,2.1463,2.2238,6477546.24363303,14457407.163145885365
1649808000,2022-04-13 00:00:00,GMT/USDT,2.2147,2.2483,2.06,2.1752,4981548.72738622,10787890.678802822441
