https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1655769600,2022-06-21 00:00:00,HNT/USDT,10.679,10.798,10.485,10.644,935.76970125,9935.04929425579
1655683200,2022-06-20 00:00:00,HNT/USDT,11.263,11.5,10.418,10.641,29851.77100094,327533.9849596417
1655596800,2022-06-19 00:00:00,HNT/USDT,10.301,11.506,10.027,11.274,23128.35550475,251545.69110406208
1655510400,2022-06-18 00:00:00,HNT/USDT,11.26,11.9,9.254,10.301,51978.167949,549117.20466503871
1655424000,2022-06-17 00:00:00,HNT/USDT,10.12,11.464,10.091,11.25,35649.41735853,392319.3501494085
1655337600,2022-06-16 00:00:00,HNT/USDT,11.434,11.838,9.849,10.12,40150.39813477,428067.98439977173
1655251200,2022-06-15 00:00:00,HNT/USDT,9.629,11.496,8.789,11.455,41962.348081,412954.27689321937
1655164800,2022-06-14 00:00:00,HNT/USDT,8.209,10.22,7.73,9.634,54721.81807412,516777.97254229834
1655078400,2022-06-13 00:00:00,HNT/USDT,9.127,9.224,7.817,8.188,31888.08896287,267429.91683136762
1654992000,2022-06-12 00:00:00,HNT/USDT,9.841,10.084,9.1,9.127,14847.06538341,143951.07356810407
1654905600,2022-06-11 00:00:00,HNT/USDT,11.317,11.782,9.536,9.802,26524.07217616,276769.95077671327
1654819200,2022-06-10 00:00:00,HNT/USDT,12.218,12.555,11.021,11.276,19193.30516267,225732.34585204842
1654732800,2022-06-09 00:00:00,HNT/USDT,10.975,12.72,10.867,12.262,27915.16831991,331636.43513371537
1654646400,2022-06-08 00:00:00,HNT/USDT,10.414,11.5,9.935,11.024,19116.44440049,206070.77594376668
1654560000,2022-06-07 00:00:00,HNT/USDT,10.97,11.189,9.782,10.41,33704.21421651,351276.27655403744
1654473600,2022-06-06 00:00:00,HNT/USDT,9.432,11.955,9.42,10.97,23768.73250846,254136.97813940651
1654387200,2022-06-05 00:00:00,HNT/USDT,9.727,9.836,9.42,9.432,5607.95034247,54017.33487271178
1654300800,2022-06-04 00:00:00,HNT/USDT,8.679,9.9,8.669,9.736,12277.73185388,115156.93799097251
1654214400,2022-06-03 00:00:00,HNT/USDT,9.013,9.424,8.571,8.679,9820.83134343,87884.09692629126
1654128000,2022-06-02 00:00:00,HNT/USDT,9.133,9.658,8.601,9.027,11338.64378474,101784.20313996985
1654041600,2022-06-01 00:00:00,HNT/USDT,10.025,10.141,9,9.135,13783.19483432,130857.25163190912
1653955200,2022-05-31 00:00:00,HNT/USDT,9.824,10.741,9.363,10.02,22623.00108743,226248.5395671955
1653868800,2022-05-30 00:00:00,HNT/USDT,7.437,14.5,7.404,9.872,78688.00201184,818615.22135982485
1653782400,2022-05-29 00:00:00,HNT/USDT,7.712,7.85,7.014,7.438,7439.50564774,55433.77661261325
1653696000,2022-05-28 00:00:00,HNT/USDT,7.6,8.41,7.5,7.728,10182.26316976,79751.69598579683
1653609600,2022-05-27 00:00:00,HNT/USDT,8.63,8.789,7.519,7.614,8175.77252158,66942.81903375801
1653523200,2022-05-26 00:00:00,HNT/USDT,9.265,9.317,8.596,8.63,5845.73135931,52904.0805368711
1653436800,2022-05-25 00:00:00,HNT/USDT,9.484,9.596,8.466,9.297,7939.18873751,70896.05524854595
1653350400,2022-05-24 00:00:00,HNT/USDT,9.53,9.617,9,9.484,4586.92782651,42441.0198420737
1653264000,2022-05-23 00:00:00,HNT/USDT,9.675,10.333,9.236,9.496,7816.17718738,76152.56909616221
1653177600,2022-05-22 00:00:00,HNT/USDT,10.032,10.22,9.344,9.706,6331.21360441,62226.85119237224
1653091200,2022-05-21 00:00:00,HNT/USDT,9.326,10.4,9.159,10.032,7104.67225634,69261.72793550533
1653004800,2022-05-20 00:00:00,HNT/USDT,9.22,9.86,8.7,9.299,9862.72408525,89950.04272416597
1652918400,2022-05-19 00:00:00,HNT/USDT,8.782,9.5,8.15,9.187,16822.66404895,148445.79405737696
1652832000,2022-05-18 00:00:00,HNT/USDT,9.861,9.935,8.767,8.773,16300.84388454,150438.44081436234
1652745600,2022-05-17 00:00:00,HNT/USDT,9.008,9.861,8.979,9.861,11619.54055264,109244.28947653657
1652659200,2022-05-16 00:00:00,HNT/USDT,10.343,10.371,8.952,9.035,12224.59718428,115263.53898394643
1652572800,2022-05-15 00:00:00,HNT/USDT,10.243,10.642,9.548,10.374,25878.77450946,261153.9253299653
1652486400,2022-05-14 00:00:00,HNT/USDT,9.936,10.425,9.5,10.197,15345.21192052,151391.09258889983
1652400000,2022-05-13 00:00:00,HNT/USDT,9.79,12.039,9.722,9.927,49283.65219879,541468.39905531888
1652313600,2022-05-12 00:00:00,HNT/USDT,8.96,11.399,8.473,9.79,37254.31743872,349178.98833001134
1652227200,2022-05-11 00:00:00,HNT/USDT,12.101,12.455,8.251,8.96,42007.60168474,421139.8078810567
1652140800,2022-05-10 00:00:00,HNT/USDT,11.65,13.532,11.3,12.103,24084.86360496,297780.89071009137
1652054400,2022-05-09 00:00:00,HNT/USDT,14.041,14.435,11.59,11.641,28832.90846804,368240.62616048238
1651968000,2022-05-08 00:00:00,HNT/USDT,14.471,14.667,13.882,14.037,9898.36907846,140742.5097376465
1651881600,2022-05-07 00:00:00,HNT/USDT,15.484,15.783,13.913,14.471,13668.26262757,203620.90511989745
1651795200,2022-05-06 00:00:00,HNT/USDT,15.02,15.921,14.459,15.45,24447.76004447,371638.59864774486
1651708800,2022-05-05 00:00:00,HNT/USDT,17.227,17.37,14.097,15.02,41688.38705756,662826.72375392071
1651622400,2022-05-04 00:00:00,HNT/USDT,15.705,17.597,15.499,17.225,27216.32179971,445788.2819504865
1651536000,2022-05-03 00:00:00,HNT/USDT,15.149,16.954,14.982,15.771,36569.05040509,586707.6621165658
1651449600,2022-05-02 00:00:00,HNT/USDT,14.286,15.2,13.764,15.156,17945.05958661,261808.37668942095
1651363200,2022-05-01 00:00:00,HNT/USDT,13.571,14.53,13.04,14.286,16179.05626868,223362.36271729578
1651276800,2022-04-30 00:00:00,HNT/USDT,15.524,15.62,13.2,13.584,15285.1950181,220411.66144152123
1651190400,2022-04-29 00:00:00,HNT/USDT,16.296,16.977,14.692,15.524,41969.38865153,671734.44346492725
1651104000,2022-04-28 00:00:00,HNT/USDT,16.83,16.971,15.969,16.294,11916.48992839,196845.22724912369
1651017600,2022-04-27 00:00:00,HNT/USDT,16.948,17.418,16.687,16.831,12409.06210999,211150.56693734914
1650931200,2022-04-26 00:00:00,HNT/USDT,17.615,17.824,16.258,16.941,24092.79666071,407326.81380204068
1650844800,2022-04-25 00:00:00,HNT/USDT,18.108,18.12,16.45,17.634,14145.03303287,242197.44751828281
1650758400,2022-04-24 00:00:00,HNT/USDT,17.922,18.224,17.5,18.108,9209.10271373,164710.31304356132
1650672000,2022-04-23 00:00:00,HNT/USDT,18.18,18.761,17.8,17.922,8508.02556477,155554.88729399666
1650585600,2022-04-22 00:00:00,HNT/USDT,18.37,18.68,18,18.14,9887.89828293,181404.15488792656
1650499200,2022-04-21 00:00:00,HNT/USDT,19.37,20.402,18.01,18.414,23718.867924,460407.14928868978
1650412800,2022-04-20 00:00:00,HNT/USDT,19.53,20.173,18.701,19.364,16845.7406735,330206.16868021923
1650326400,2022-04-19 00:00:00,HNT/USDT,19.65,19.954,19.25,19.558,13968.02596188,273352.41985864015
1650240000,2022-04-18 00:00:00,HNT/USDT,20.035,20.035,18.5,19.604,21565.48044509,412417.2979849116
