https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HT,Volume USDT
1655769600,2022-06-21 00:00:00,HT/USDT,5.2721,5.2866,5.2409,5.2588,5.08802335,26.770808243535
1655683200,2022-06-20 00:00:00,HT/USDT,5.1044,5.3367,4.9677,5.2882,2022.66351057,10417.959300655826
1655596800,2022-06-19 00:00:00,HT/USDT,4.9142,5.1744,4.7151,5.1203,1848.83559126,9152.488766313456
1655510400,2022-06-18 00:00:00,HT/USDT,5.3198,5.3206,4.6334,4.8798,5153.24821665,25150.178697017297
1655424000,2022-06-17 00:00:00,HT/USDT,5.2862,5.3597,5.1903,5.2515,1822.99780486,9579.190511157773
1655337600,2022-06-16 00:00:00,HT/USDT,5.7,5.7392,5.181,5.1912,1529.48091265,8320.872349547108
1655251200,2022-06-15 00:00:00,HT/USDT,5.5468,5.72,5.1188,5.6958,11839.79603479,62697.573398583221
1655164800,2022-06-14 00:00:00,HT/USDT,5.8198,5.8447,5.3424,5.5969,31625.96868918,172972.038270106506
1655078400,2022-06-13 00:00:00,HT/USDT,6.7001,6.7485,5.6328,5.7726,6297.64995998,38795.266195709106
1654992000,2022-06-12 00:00:00,HT/USDT,6.9612,6.9818,6.7,6.7189,6664.84403174,45840.554552946873
1654905600,2022-06-11 00:00:00,HT/USDT,6.9987,6.9997,6.7201,6.9964,1963.03385127,13417.874310184091
1654819200,2022-06-10 00:00:00,HT/USDT,6.918,7.0039,6.8591,6.967,1153.08660337,8011.733350139435
1654732800,2022-06-09 00:00:00,HT/USDT,7.1182,7.1791,6.6768,6.8966,8254.06960194,57815.717927749204
1654646400,2022-06-08 00:00:00,HT/USDT,7.2961,7.3053,7.1099,7.1312,1289.49922892,9250.115484437419
1654560000,2022-06-07 00:00:00,HT/USDT,7.4194,7.4194,7.1298,7.2821,2196.69009332,15970.376703623473
1654473600,2022-06-06 00:00:00,HT/USDT,7.4902,7.5676,7.3621,7.4343,4497.65589375,33493.934124266785
1654387200,2022-06-05 00:00:00,HT/USDT,7.1113,7.7515,7.0511,7.4851,2988.68977936,22228.329496806089
1654300800,2022-06-04 00:00:00,HT/USDT,7.0378,7.146,7.0034,7.1175,375.95643387,2643.243242856522
1654214400,2022-06-03 00:00:00,HT/USDT,7.068,7.1702,6.9967,7.0172,1132.08022781,8025.798411833602
1654128000,2022-06-02 00:00:00,HT/USDT,7.0645,7.1357,6.983,7.0731,1328.30288305,9363.560807925047
1654041600,2022-06-01 00:00:00,HT/USDT,7.1551,7.1639,6.9938,7.0713,1891.89202035,13343.126825340013
1653955200,2022-05-31 00:00:00,HT/USDT,7.1803,7.1983,7.0658,7.1751,4421.83271645,31603.48457429296
1653868800,2022-05-30 00:00:00,HT/USDT,7.0343,7.19,7.0052,7.1852,4744.97000075,33704.63370299669
1653782400,2022-05-29 00:00:00,HT/USDT,6.9979,7.05,6.9607,7.0347,7598.80233431,53145.195568100007
1653696000,2022-05-28 00:00:00,HT/USDT,6.9501,7.0069,6.9501,6.9743,1218.19044965,8516.826035356782
1653609600,2022-05-27 00:00:00,HT/USDT,6.934,6.9847,6.7526,6.9558,2564.59365858,17678.449538780503
1653523200,2022-05-26 00:00:00,HT/USDT,6.9902,7.0235,6.656,6.9341,5709.74653871,39490.864346276209
1653436800,2022-05-25 00:00:00,HT/USDT,7.012,7.0858,6.934,6.9858,1147.07896373,8067.900414184707
1653350400,2022-05-24 00:00:00,HT/USDT,6.8808,7.0389,6.8808,7.0205,2674.5221674,18618.43304942414
1653264000,2022-05-23 00:00:00,HT/USDT,7.0188,7.0703,6.8008,6.8967,4722.90035664,32870.167062282524
1653177600,2022-05-22 00:00:00,HT/USDT,7.0407,7.0641,6.8374,7.0242,10144.60870501,70675.957326561854
1653091200,2022-05-21 00:00:00,HT/USDT,7.0075,7.1251,6.8391,7.0679,6057.39540232,42233.734455342758
1653004800,2022-05-20 00:00:00,HT/USDT,6.9997,7.09,6.8351,7.0053,1699.6728084,11847.292040107627
1652918400,2022-05-19 00:00:00,HT/USDT,6.9205,7.1576,6.87,6.9927,11216.78723737,77879.151350114572
1652832000,2022-05-18 00:00:00,HT/USDT,7.0563,7.092,6.878,6.878,4551.21640456,31855.995307540154
1652745600,2022-05-17 00:00:00,HT/USDT,6.985,7.0945,6.9272,7.0579,2818.08508484,19777.371940501081
1652659200,2022-05-16 00:00:00,HT/USDT,7.2367,7.2371,6.8724,6.9726,6189.17892414,43896.871353357517
1652572800,2022-05-15 00:00:00,HT/USDT,7.0528,7.2454,6.9618,7.2085,14219.38002266,100469.008928633429
1652486400,2022-05-14 00:00:00,HT/USDT,6.9487,7.0566,6.791,7.0481,5888.79774435,40961.456251189384
1652400000,2022-05-13 00:00:00,HT/USDT,7.0408,7.2381,6.7154,6.9515,20545.88069734,143565.175066259364
1652313600,2022-05-12 00:00:00,HT/USDT,7.39,7.6003,5.995,7.0393,28340.64120198,189067.171708422622
1652227200,2022-05-11 00:00:00,HT/USDT,8.2197,8.3341,7.2514,7.3985,38752.61199042,307085.19517684562
1652140800,2022-05-10 00:00:00,HT/USDT,7.8833,8.4574,7.7373,8.237,28370.82371213,230421.578712996114
1652054400,2022-05-09 00:00:00,HT/USDT,8.7201,8.8112,7.8451,7.8923,16087.88926798,132096.845146724965
1651968000,2022-05-08 00:00:00,HT/USDT,8.89,8.9773,8.5488,8.7047,7108.16939875,62550.978192071497
1651881600,2022-05-07 00:00:00,HT/USDT,9.0036,9.3296,8.7486,8.8842,4997.49741617,45754.756952393977
1651795200,2022-05-06 00:00:00,HT/USDT,9.2755,9.2755,8.8101,9.0105,9285.93826445,83647.25182007038
1651708800,2022-05-05 00:00:00,HT/USDT,9.5744,9.6164,9.063,9.2493,6408.1813862,59978.132754924599
1651622400,2022-05-04 00:00:00,HT/USDT,9.4202,9.5966,9.3821,9.5685,4835.75496205,45776.635719113665
1651536000,2022-05-03 00:00:00,HT/USDT,9.4787,9.6099,9.3305,9.4269,10638.99940772,100550.036755702925
1651449600,2022-05-02 00:00:00,HT/USDT,9.4483,9.5342,9.3893,9.4535,5822.08001518,55133.678728973775
1651363200,2022-05-01 00:00:00,HT/USDT,9.1995,9.45,9.1728,9.45,4345.25013827,40364.436263693025
