https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAVA,Volume USDT
1655769600,2022-06-21 00:00:00,KAVA/USDT,1.6631,1.6954,1.6522,1.681,11564.12869177,19451.198839228193
1655683200,2022-06-20 00:00:00,KAVA/USDT,1.592,1.6896,1.517,1.664,84083.88041712,136863.191777845588
1655596800,2022-06-19 00:00:00,KAVA/USDT,1.5177,1.6246,1.4356,1.5935,58719.87726245,90450.153044280946
1655510400,2022-06-18 00:00:00,KAVA/USDT,1.6552,1.6825,1.4009,1.519,60789.4195854,93842.306389643683
1655424000,2022-06-17 00:00:00,KAVA/USDT,1.5985,1.7054,1.5796,1.6605,109316.16134937,181564.572764596799
1655337600,2022-06-16 00:00:00,KAVA/USDT,1.8357,1.8466,1.5696,1.6,244738.02585359,433485.623151633406
1655251200,2022-06-15 00:00:00,KAVA/USDT,1.6893,1.8403,1.4819,1.8391,1020449.76961038,1659954.61738271035
1655164800,2022-06-14 00:00:00,KAVA/USDT,1.7393,1.7605,1.5678,1.6883,1006139.6495919,1683196.973644644703
1655078400,2022-06-13 00:00:00,KAVA/USDT,1.8882,1.9048,1.5615,1.746,1082586.60549973,1837440.295567401765
1654992000,2022-06-12 00:00:00,KAVA/USDT,2.1193,2.1343,1.8846,1.8874,840951.79041198,1676080.290949039094
1654905600,2022-06-11 00:00:00,KAVA/USDT,2.3603,2.4307,2.0826,2.1189,784954.71440583,1772299.490451377805
1654819200,2022-06-10 00:00:00,KAVA/USDT,2.5309,2.6245,2.3363,2.3621,720707.25193463,1779851.474097577699
1654732800,2022-06-09 00:00:00,KAVA/USDT,2.5957,2.728,2.5113,2.532,678092.43908911,1755397.409695902594
1654646400,2022-06-08 00:00:00,KAVA/USDT,2.6275,2.7176,2.558,2.5901,695102.39569227,1820890.448726435798
1654560000,2022-06-07 00:00:00,KAVA/USDT,2.6245,2.6774,2.4262,2.6315,769454.29438831,1964155.4395040175
1654473600,2022-06-06 00:00:00,KAVA/USDT,2.5626,2.7541,2.552,2.6249,717471.98334745,1905354.654544563125
1654387200,2022-06-05 00:00:00,KAVA/USDT,2.5395,2.6221,2.4677,2.5624,716927.48544508,1817866.59418595738
1654300800,2022-06-04 00:00:00,KAVA/USDT,2.4718,2.5827,2.3976,2.5364,710855.22924759,1768532.283330819948
1654214400,2022-06-03 00:00:00,KAVA/USDT,2.6289,2.6289,2.4187,2.4716,712948.74420386,1785055.012562567313
1654128000,2022-06-02 00:00:00,KAVA/USDT,2.6105,2.7371,2.56,2.6286,703515.06547509,1863177.130725178067
1654041600,2022-06-01 00:00:00,KAVA/USDT,2.9135,2.9138,2.5579,2.6126,714932.43759634,1944248.898157224567
1653955200,2022-05-31 00:00:00,KAVA/USDT,2.6935,3.2204,2.6358,2.9218,779562.86956046,2252837.120337506778
1653868800,2022-05-30 00:00:00,KAVA/USDT,2.3715,2.718,2.3363,2.6975,779153.47404317,1986318.978016821037
1653782400,2022-05-29 00:00:00,KAVA/USDT,2.3708,2.3935,2.279,2.3712,749296.15530104,1754078.770170690582
1653696000,2022-05-28 00:00:00,KAVA/USDT,2.312,2.4251,2.2481,2.3705,753949.21826052,1753106.551449382693
1653609600,2022-05-27 00:00:00,KAVA/USDT,2.4543,2.5054,2.2488,2.312,793639.31798415,1887902.57880978951
1653523200,2022-05-26 00:00:00,KAVA/USDT,2.7042,2.7368,2.4146,2.4546,787468.4508618,2030989.776275139905
1653436800,2022-05-25 00:00:00,KAVA/USDT,2.8212,2.9953,2.6685,2.701,708883.3695465,1988088.704600514454
1653350400,2022-05-24 00:00:00,KAVA/USDT,2.5535,2.908,2.4533,2.8248,767120.82495531,1996999.591598744361
1653264000,2022-05-23 00:00:00,KAVA/USDT,2.7847,2.929,2.5216,2.5538,799061.78980431,2206145.347099708367
1653177600,2022-05-22 00:00:00,KAVA/USDT,2.7798,2.8654,2.682,2.7847,643208.60858152,1778100.886723778352
1653091200,2022-05-21 00:00:00,KAVA/USDT,2.4704,2.8875,2.4125,2.7823,844925.00800282,2261404.411063229721
1653004800,2022-05-20 00:00:00,KAVA/USDT,2.5109,2.5935,2.328,2.4705,708668.32659698,1758473.087058838276
1652918400,2022-05-19 00:00:00,KAVA/USDT,2.3509,2.6809,2.213,2.5179,911954.28494863,2187891.376493771461
1652832000,2022-05-18 00:00:00,KAVA/USDT,2.6443,2.6804,2.3081,2.3509,746878.62987117,1854951.46530641396
1652745600,2022-05-17 00:00:00,KAVA/USDT,2.3971,2.7155,2.3727,2.6451,762335.57489578,1938900.632066453074
1652659200,2022-05-16 00:00:00,KAVA/USDT,2.679,2.679,2.2683,2.3954,698274.4064282,1685290.852770567772
1652572800,2022-05-15 00:00:00,KAVA/USDT,2.2678,2.84,2.1995,2.679,839828.42775415,1999275.348896592183
1652486400,2022-05-14 00:00:00,KAVA/USDT,2.0442,2.2934,1.93,2.2641,873128.70308474,1828752.830693774858
1652400000,2022-05-13 00:00:00,KAVA/USDT,1.6557,2.415,1.5966,2.0451,1373768.20729701,2735139.154056291841
1652313600,2022-05-12 00:00:00,KAVA/USDT,1.9085,2.0326,1.4098,1.6566,1096755.66490492,1798026.663612430497
1652227200,2022-05-11 00:00:00,KAVA/USDT,2.6863,2.7713,1.6278,1.9045,1262702.77696849,2814056.878830977327
1652140800,2022-05-10 00:00:00,KAVA/USDT,2.6205,3.017,2.5331,2.6871,706986.93135643,1968678.825924477658
1652054400,2022-05-09 00:00:00,KAVA/USDT,3.3928,3.4772,2.587,2.6075,718137.86395647,2215408.682684363392
1651968000,2022-05-08 00:00:00,KAVA/USDT,3.6692,3.686,3.344,3.3926,553878.53983412,1935210.884928147759
1651881600,2022-05-07 00:00:00,KAVA/USDT,3.7679,3.9022,3.5359,3.6715,522767.21262854,1962645.535390272677
1651795200,2022-05-06 00:00:00,KAVA/USDT,3.9798,3.9994,3.65,3.7715,491350.47823797,1861474.512397220659
1651708800,2022-05-05 00:00:00,KAVA/USDT,4.5619,4.5659,3.8312,3.9826,505518.77858719,2135842.086277117507
1651622400,2022-05-04 00:00:00,KAVA/USDT,4.1929,4.5788,4.026,4.5624,514654.54958856,2188373.021883945018
1651536000,2022-05-03 00:00:00,KAVA/USDT,4.1088,4.3267,3.9945,4.1914,505838.70528935,2084812.450027912804
1651449600,2022-05-02 00:00:00,KAVA/USDT,4.2751,4.5,3.9277,4.1088,530621.73397454,2210201.67618833478
1651363200,2022-05-01 00:00:00,KAVA/USDT,4.3367,4.3776,4.0462,4.2766,521528.87247463,2190222.004032414266
1651276800,2022-04-30 00:00:00,KAVA/USDT,5.2241,5.3557,4.1385,4.3406,538849.85133271,2562869.878737813728
1651190400,2022-04-29 00:00:00,KAVA/USDT,5.5702,5.6536,5.01,5.2266,484768.70090773,2574826.424085033613
1651104000,2022-04-28 00:00:00,KAVA/USDT,5.168,5.5989,5.0929,5.572,518974.97057236,2779364.511625522527
