https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STX,Volume USDT
1655769600,2022-06-21 00:00:00,STX/USDT,0.3742,0.4352,0.374,0.406,646867.05842887,265782.277333628099
1655683200,2022-06-20 00:00:00,STX/USDT,0.3557,0.381,0.3378,0.3752,1292981.61018548,471935.203297894676
1655596800,2022-06-19 00:00:00,STX/USDT,0.3392,0.3595,0.316,0.356,609779.51799054,204197.016630836319
1655510400,2022-06-18 00:00:00,STX/USDT,0.381,0.3869,0.3175,0.3387,1918954.1624518,659903.039318366283
1655424000,2022-06-17 00:00:00,STX/USDT,0.3288,0.4425,0.3259,0.3826,3825109.80469878,1510387.940739797823
1655337600,2022-06-16 00:00:00,STX/USDT,0.3646,0.375,0.3237,0.3288,860107.68966319,294183.734416591499
1655251200,2022-06-15 00:00:00,STX/USDT,0.3425,0.365,0.3033,0.3645,1325833.12704534,442197.266635107189
1655164800,2022-06-14 00:00:00,STX/USDT,0.3465,0.3536,0.3063,0.3424,906597.62349865,305096.194043370598
1655078400,2022-06-13 00:00:00,STX/USDT,0.4161,0.4198,0.3356,0.3462,1092454.09286674,392759.650939634871
1654992000,2022-06-12 00:00:00,STX/USDT,0.4686,0.4712,0.414,0.4167,534857.37204006,231783.044806411168
1654905600,2022-06-11 00:00:00,STX/USDT,0.4955,0.5076,0.4622,0.4686,711580.11977686,341333.459708414336
1654819200,2022-06-10 00:00:00,STX/USDT,0.538,0.5387,0.4919,0.4959,351242.48332183,178852.179561909199
1654732800,2022-06-09 00:00:00,STX/USDT,0.5492,0.5636,0.5344,0.538,203306.9370532,111567.155687401612
1654646400,2022-06-08 00:00:00,STX/USDT,0.5419,0.5661,0.5381,0.5497,411462.06658221,226365.891625375198
1654560000,2022-06-07 00:00:00,STX/USDT,0.5598,0.5599,0.5217,0.5399,531696.33341959,286710.049111550656
1654473600,2022-06-06 00:00:00,STX/USDT,0.5333,0.5825,0.5326,0.5598,1207924.13717537,678962.41384791994
1654387200,2022-06-05 00:00:00,STX/USDT,0.5294,0.5462,0.5218,0.5334,442746.34046264,236420.887871043846
1654300800,2022-06-04 00:00:00,STX/USDT,0.5363,0.5378,0.5188,0.5292,327589.59985222,172904.722064155773
1654214400,2022-06-03 00:00:00,STX/USDT,0.5673,0.5674,0.5271,0.5372,539930.86128998,293854.067056596188
1654128000,2022-06-02 00:00:00,STX/USDT,0.5294,0.5771,0.5264,0.5667,859358.35718141,477020.828238447466
1654041600,2022-06-01 00:00:00,STX/USDT,0.5656,0.5853,0.517,0.5273,722861.47270469,403028.243322902552
1653955200,2022-05-31 00:00:00,STX/USDT,0.5715,0.5831,0.5474,0.5655,803484.3374475,456161.079248010591
1653868800,2022-05-30 00:00:00,STX/USDT,0.5256,0.5738,0.5165,0.5714,794131.54599585,434574.645123998384
1653782400,2022-05-29 00:00:00,STX/USDT,0.5184,0.5284,0.4955,0.5254,592566.80202304,302606.63662844263
1653696000,2022-05-28 00:00:00,STX/USDT,0.5151,0.528,0.5034,0.5195,794151.03040991,411317.133159427618
1653609600,2022-05-27 00:00:00,STX/USDT,0.5362,0.5587,0.4944,0.5152,2029165.11874897,1055161.636307968446
1653523200,2022-05-26 00:00:00,STX/USDT,0.5857,0.59,0.5093,0.5366,1806659.73587153,992368.878608307131
1653436800,2022-05-25 00:00:00,STX/USDT,0.5901,0.637,0.5647,0.5856,2305832.78402337,1365211.824229752008
1653350400,2022-05-24 00:00:00,STX/USDT,0.6317,0.6317,0.5535,0.5905,2215467.64483735,1280497.980337592396
1653264000,2022-05-23 00:00:00,STX/USDT,0.553,0.6333,0.5426,0.6319,2455219.16801638,1403700.911335922186
1653177600,2022-05-22 00:00:00,STX/USDT,0.527,0.5645,0.5198,0.5529,1203970.06940749,654576.26481305091
1653091200,2022-05-21 00:00:00,STX/USDT,0.51,0.5279,0.495,0.5271,991180.66076792,508078.849037188182
1653004800,2022-05-20 00:00:00,STX/USDT,0.5345,0.5432,0.4937,0.5093,1764653.29545372,908585.303699198849
1652918400,2022-05-19 00:00:00,STX/USDT,0.5042,0.5396,0.4832,0.5345,1310006.95598537,681180.465730479567
1652832000,2022-05-18 00:00:00,STX/USDT,0.5732,0.5804,0.5018,0.5031,628129.06128966,331489.971542633592
1652745600,2022-05-17 00:00:00,STX/USDT,0.5506,0.58,0.5387,0.573,930534.56717471,521139.469593455478
1652659200,2022-05-16 00:00:00,STX/USDT,0.6114,0.6114,0.5449,0.5513,630097.35687967,357383.401351691281
1652572800,2022-05-15 00:00:00,STX/USDT,0.5608,0.6123,0.534,0.6122,818810.09539092,474454.877852027192
1652486400,2022-05-14 00:00:00,STX/USDT,0.535,0.581,0.5043,0.5594,1473172.82371605,797946.699558497834
1652400000,2022-05-13 00:00:00,STX/USDT,0.5019,0.6128,0.4939,0.5337,2054948.75903579,1142877.638827877586
1652313600,2022-05-12 00:00:00,STX/USDT,0.5831,0.6078,0.46,0.5027,2465220.19252777,1266089.518257430684
1652227200,2022-05-11 00:00:00,STX/USDT,0.6694,0.7164,0.5243,0.5842,2631085.05844592,1607562.214723946414
1652140800,2022-05-10 00:00:00,STX/USDT,0.6429,0.7415,0.6129,0.6691,1516686.4577464,1029858.537386677941
1652054400,2022-05-09 00:00:00,STX/USDT,0.7778,0.7907,0.64,0.6416,1585850.10126336,1133116.352792282381
1651968000,2022-05-08 00:00:00,STX/USDT,0.814,0.8186,0.7621,0.7768,480236.07984064,376776.61883580361
1651881600,2022-05-07 00:00:00,STX/USDT,0.8606,0.8688,0.7875,0.8145,289670.49453537,243029.659242893121
1651795200,2022-05-06 00:00:00,STX/USDT,0.881,0.8946,0.8325,0.8607,546890.6899744,468915.447485316094
1651708800,2022-05-05 00:00:00,STX/USDT,0.9866,1.003,0.8638,0.8806,1036426.75343137,956813.951086613115
1651622400,2022-05-04 00:00:00,STX/USDT,0.9161,0.9895,0.9085,0.9855,658844.21959976,621629.159577086617
1651536000,2022-05-03 00:00:00,STX/USDT,0.9404,0.9494,0.9071,0.9172,321793.91847484,300254.62029555749
1651449600,2022-05-02 00:00:00,STX/USDT,0.9461,1.0109,0.9097,0.9389,701962.08332344,670622.347369644069
1651363200,2022-05-01 00:00:00,STX/USDT,0.9195,0.96,0.8937,0.9475,592641.66221659,549192.084746152074
1651276800,2022-04-30 00:00:00,STX/USDT,1.003,1.0078,0.9166,0.9186,539290.17040557,521095.387240474437
1651190400,2022-04-29 00:00:00,STX/USDT,1.0486,1.1107,0.9876,1.0022,798041.6215263,832788.575520877473
1651104000,2022-04-28 00:00:00,STX/USDT,1.0499,1.0829,1.0266,1.0483,884224.73994951,931560.008710379577
1651017600,2022-04-27 00:00:00,STX/USDT,1.0294,1.0591,1.0113,1.0496,840259.79305973,872679.35031445484
1650931200,2022-04-26 00:00:00,STX/USDT,1.1123,1.1203,1.023,1.0296,803207.68102568,863968.340998568325
1650844800,2022-04-25 00:00:00,STX/USDT,1.1166,1.121,1.0382,1.1137,1157397.95585922,1243675.982876830394
1650758400,2022-04-24 00:00:00,STX/USDT,1.1277,1.2088,1.1113,1.1166,1582764.60190574,1815153.394981108853
1650672000,2022-04-23 00:00:00,STX/USDT,1.1406,1.147,1.1159,1.1267,351015.89155314,397083.195116463107
1650585600,2022-04-22 00:00:00,STX/USDT,1.1483,1.1957,1.1239,1.1415,765183.25468156,881338.930825294474
1650499200,2022-04-21 00:00:00,STX/USDT,1.1841,1.215,1.1434,1.149,529216.02989497,629596.91822694403
1650412800,2022-04-20 00:00:00,STX/USDT,1.2249,1.2249,1.1675,1.1841,624226.2745948,749406.357960757411
1650326400,2022-04-19 00:00:00,STX/USDT,1.211,1.292,1.1922,1.225,1138711.3320402,1387685.641211819489
1650240000,2022-04-18 00:00:00,STX/USDT,1.1288,1.3006,1.0767,1.213,3885101.75398666,4707893.097021569639
1650153600,2022-04-17 00:00:00,STX/USDT,1.1752,1.1759,1.1276,1.128,185309.75397294,215335.044282545803
1650067200,2022-04-16 00:00:00,STX/USDT,1.1821,1.1853,1.1498,1.1752,137294.52618217,160297.468622004146
1649980800,2022-04-15 00:00:00,STX/USDT,1.1836,1.1999,1.1644,1.1832,327544.87342926,386380.793594426196
